DATE-OBS,id,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,TARGET,REDSHIFT,GRATING,ROTANGLE,D2CCD,LSHIFT,PARANGLE,TARGETX,TARGETY,LBDA_REF,PSF_REG,TRACE_R,MEANFWHM,PIXSHIFT,CHI2_FIT,A2_FIT,AM_FIT,VERSION,REBIN,CONFIG,EXPTIME,AIRMASS,DEC,HA,OUTTEMP,OUTPRESS,OUTHUM,FILTER,CAM_ROT,S_X0,S_Y0,S_XMIN,S_XMAX,S_YMIN,S_YMAX,S_NX,S_NY,S_DEG,S_SAT,S_ORDER,A1_x,A1_err_x,A2_x,A2_err_x,A3,A3_err,VAOD_x,VAOD_err_x,angstrom_exp_x,angstrom_exp_err_x,ozone [db]_x,ozone [db]_err_x,PWV [mm]_x,PWV [mm]_err_x,D_CCD [mm]_x,D_CCD [mm]_err_x,shift_x [pix],shift_x [pix]_err,shift_y [pix],shift_y [pix]_err,angle [deg],angle [deg]_err,B_x,B_err_x,x_c_0_1,x_c_0_1_err,x_c_1_1,x_c_1_1_err,x_c_2_1,x_c_2_1_err,y_c_0_1,y_c_0_1_err,y_c_1_1,y_c_1_1_err,y_c_2_1,y_c_2_1_err,gamma_0_1,gamma_0_1_err,gamma_1_1,gamma_1_1_err,gamma_2_1,gamma_2_1_err,alpha_0_1,alpha_0_1_err,alpha_1_1,alpha_1_1_err,alpha_2_1,alpha_2_1_err,saturation_0_1,saturation_0_1_err,x_c_0_2,x_c_0_2_err,x_c_1_2,x_c_1_2_err,x_c_2_2,x_c_2_2_err,y_c_0_2,y_c_0_2_err,y_c_1_2,y_c_1_2_err,y_c_2_2,y_c_2_2_err,gamma_0_2,gamma_0_2_err,gamma_1_2,gamma_1_2_err,gamma_2_2,gamma_2_2_err,alpha_0_2,alpha_0_2_err,alpha_1_2,alpha_1_2_err,alpha_2_2,alpha_2_2_err,saturation_0_2,saturation_0_2_err,x_c_0_3,x_c_0_3_err,x_c_1_3,x_c_1_3_err,x_c_2_3,x_c_2_3_err,y_c_0_3,y_c_0_3_err,y_c_1_3,y_c_1_3_err,y_c_2_3,y_c_2_3_err,gamma_0_3,gamma_0_3_err,gamma_1_3,gamma_1_3_err,gamma_2_3,gamma_2_3_err,alpha_0_3,alpha_0_3_err,alpha_1_3,alpha_1_3_err,alpha_2_3,alpha_2_3_err,saturation_0_3,saturation_0_3_err,A1_y,A1_err_y,A2_y,A2_err_y,VAOD_y,VAOD_err_y,angstrom_exp_y,angstrom_exp_err_y,ozone [db]_y,ozone [db]_err_y,PWV [mm]_y,PWV [mm]_err_y,reso [pix],reso [pix]_err,D_CCD [mm]_y,D_CCD [mm]_err_y,alpha_pix [pix],alpha_pix [pix]_err,B_y,B_err_y,filtered
2023-09-28 00:17:22.483504618+00:00,2023092700216,-64,2,1067,3,True,HD200654,-0.000149,holo4_003,0.1735473476925998,187.00412538567895,0.0,-38.985743255732324,155.5585219513844,873.7288635501108,622.8590840973726,14.022081919209581,49.95895344347355,7.865997122264942,1.0962433453631955,3.7504937520656223,1.0,1.08926252109872,3.0.2,2,,10.0,1.08926252109872,-49.9599090723084,-376.8292907062444,8.35000038146973,741.0499877929691,30.2124996185303,empty,219.5348730305073,-486.8566340826268,19.728863550110745,639,1706,854,899,1067,45,2,68000.0,1,1.0713119695457332,0.010458698885867923,1.0,0.0,1.0,0.0,0.09320351345377036,0.00886080526398779,0.0,0.02876301381528685,334.0022342672986,8.58283621306117,3.3078076168767896,0.05724322961656492,187.040492464006,0.00833061179243097,1.0962433453631955,0.0,0.0,0.0,0.1735473476925998,0.0,1.0,0.0,1020.9515452578579,0.0,533.004941982317,0.0,-0.002879923289360769,0.0,0.40039672961255435,0.004223914028498047,-0.4190305831893993,0.007639613687574225,0.33936506732551264,0.008959841161870938,6.276265270622069,0.017906068372576908,-1.3822716832889301,0.03452912184479802,-1.5354445245839021,0.04086159302029754,2.121355027346867,0.005686324384921244,-0.04342071491593768,0.011247649335198392,-0.6833035001711631,0.011927709100883132,67999.99999999981,0.0,1020.9515452578579,0.0,533.004941982317,0.0,-0.002879923289360769,0.0,-17.830090475916858,0.3827228319474675,-35.098933687790485,0.6640687842891241,-18.03646731194512,0.4035941869865153,-155.6278111653304,0.8524256056170386,-275.0487586774832,1.4818936201731034,-118.53703032383468,0.8667378723403435,-73.27659619619007,0.12179604135560769,-127.52348862282416,0.21378117881854017,-56.625975086321816,0.10301684857351913,67999.99999999981,0.0,1020.9515452578579,0.0,533.004941982317,0.0,-0.002879923289360769,0.0,-318125.16486594785,39236.779013790874,-489114.87715858384,60240.40959789272,-171636.94701724235,21073.847252068892,41165.90600143952,23210.56863955657,62346.74121363928,35561.0723237999,21163.043680916824,12384.416796708467,-80266.90352868597,14217.709568698752,-123177.047330823,21828.51128331999,-43050.173737421974,7636.263160950988,67999.99999999981,0.0,1.0477421177212993,0.0016239300015695119,0.0,0.0,0.1,0.0,0.0,0.03221138204324434,600.0,14.886742617803872,2.1787393484218396,0.054054104132885694,2.604925978249052,0.09467770473729606,186.97657630913096,0.01316863977885536,1.0962433453631955,0.0,0.0,0.0,False
2023-09-28 00:20:51.389002941+00:00,2023092700222,-64,2,1067,3,True,HD200654,-0.000149,holo4_003,-0.17980167821125076,183.34092305514935,0.0,-37.26243551065349,320.25900729622543,858.1568489223699,622.8590840973726,16.46029066657939,22.84015768023241,19.512126237528907,-2.0,0.9523012219134136,1.0,1.08640764009288,3.0.2,2,,10.0,1.08640764009288,-49.9652660811858,-375.9465065604298,8.39999961853027,741.0499877929691,28.75,empty,219.53483130510762,-490.2306424979806,18.156848922369974,813,1880,840,885,1067,45,2,68000.0,1,1.2769540936896697,0.10925816336940955,1.0,0.0,1.0,0.0,0.04699810459424428,0.017958306527582193,1.0493094970011454,0.604810263262162,465.09933731757343,48.394232013065555,4.700881376137231,0.256513363154613,183.63217484714858,0.07835013494885212,-2.0,0.0,0.0,0.0,-0.17980167821125076,0.0,1.0,0.0,1021.2284072723378,0.0,532.9948337604841,0.0,0.002944422280138744,0.0,-0.14288574481797697,0.087166613881566,-0.008239922663220198,0.16529279041118328,-0.017501975593825575,0.161389508237905,10.017753991119713,0.19927767314007602,-4.432219906867568,0.25572624840776254,-3.5738339819073692,0.26670468257863533,1.0699789788313956,0.013736592815522308,-0.011546232381434995,0.004602889117350419,-0.011525107405017526,0.004290865868566136,67999.99999999984,0.0,1021.2284072723378,0.0,532.9948337604841,0.0,0.002944422280138744,0.0,-14.885024784816558,13.795084128378027,-26.8234968030875,24.265896457173046,-11.559830551025303,11.305031755342211,-6.538217217626709,22.155220185159628,-30.497188850948785,38.82080402338034,-16.304944235582056,18.05151659791579,0.5306242570571073,0.2781864876010263,-0.9450891477900484,0.48847964718947096,-0.4308001223750959,0.22361353497215145,67999.99999999984,0.0,1021.2284072723378,0.0,532.9948337604841,0.0,0.002944422280138744,0.0,17144.889957080566,6903.293723930485,25902.32184261958,10415.558307485515,8747.034705332679,3512.688333520232,5436.12776697771,7319.543349565195,7955.543072327871,11047.84323380928,2509.973640079854,3728.8966642408986,-103.67093023436003,194.62265580834466,-158.3301181225511,296.2236426293879,-53.72027415996159,101.69358857907454,67999.99999999984,0.0,1.392863653853982,0.0035238885883510573,0.0,0.0,0.1,0.0,0.0,0.07197998990587529,0.0,26.051735523215484,9.344526909847506,0.34143748513460725,5.128281430566124,0.34125390838354386,183.17454777269378,0.05281495364501772,-2.0,0.0,0.0,0.0,False
2023-09-28 00:21:25.064995394+00:00,2023092700223,-64,2,1066,3,True,HD200654,-0.000149,holo4_003,-0.4266350554957057,185.17780701453282,0.0,-36.98968989199861,286.2410484343084,860.4917834746232,622.8590840973726,0.5759370267001109,22.317907750600043,17.971875549692683,-0.5385688445628823,0.9850984639304392,1.0,1.08596274689875,3.0.2,2,,10.0,1.08596274689875,-49.9643247868138,-375.80744205908843,8.39999961853027,741.2000122070309,28.4750003814697,empty,219.53487772492412,-488.99868084988253,23.491783474623134,777,1843,837,882,1066,45,2,68000.0,1,0.9982777884596178,0.10967235025435818,1.0,0.0,1.0,0.0,0.05000651424287546,0.021755723622700122,1.1983544889565694,0.7393649396393016,399.9452325057312,51.66533102935003,5.000187952870298,0.2534397036187449,185.177710774884,0.02936303529853232,-0.5385688445628823,0.0,0.0,0.0,-0.4266350554957057,0.0,1.0,0.0,1020.9957830339366,0.0,532.4839748114822,0.0,0.008390123652763027,0.0,-0.0010129560494932365,0.03205166998661975,0.0015245908160903474,0.07454792591433224,-0.0005883616445072975,0.07318271174342211,9.593607529094793,0.17365994248759084,-7.784872290501369,0.20751302701310892,-2.2284043274204035,0.1270472313175915,1.1026273779858966,0.014168724855164773,-0.004427464018553615,0.003238915353558704,0.0014816364314805426,0.002296735339193482,68000.00000000026,0.0,1020.9957830339366,0.0,532.4839748114822,0.0,0.008390123652763027,0.0,0.03395381297731145,38.23979154525085,0.06813778805723683,65.57122833725037,0.025368350266481963,30.215251433119736,9.559277202975458,79.02484511305681,-7.8596155462563075,136.37845561230978,-2.2769458246989283,63.80762949405235,1.1038620213822339,0.6127238255610407,-0.002400767321507996,1.045200068210308,0.0023019225187925958,0.4837250568386929,68000.00000000026,0.0,1020.9957830339366,0.0,532.4839748114822,0.0,0.008390123652763027,0.0,94.22789382771873,428674.32117746025,145.35230203361476,653928.2462478925,51.371287823404906,225610.06816592475,157.94798531665663,468853.273364989,217.3516915695905,717999.5283439708,74.43090924225947,249648.4335813716,0.5514767976970953,4780.8169120488865,-0.8294235860527773,7343.7527721669885,-0.27340588893733303,2569.013618285868,68000.00000000026,0.0,0.9556825028098312,0.003194707775363136,0.0,0.0,0.0,0.004366443092979461,2.613962688322144,0.0,0.0,29.48254873029964,5.924934508974556,0.2237238675972105,1.1171200865575843,0.0704358137413611,185.14753280885034,0.01832798825510188,-0.5385688445628823,0.0,0.0,0.0,False
2023-09-28 00:22:32.406005680+00:00,2023092700225,-64,2,1066,3,True,HD200654,-0.000149,holo4_003,0.20009339122072703,188.0,0.0,-36.44095218381325,220.6504145490967,860.96046196198,622.8590840973726,9.10699294212753e-06,52.077966483386405,38.75429405298267,1.6927954252416222,59.60796734306211,1.0,1.08508257422732,3.0.2,2,,10.0,1.08508257422732,-49.9625904025542,-375.5293783060255,8.39999961853027,741.2000122070309,29.0499992370605,empty,219.5346830110656,-486.8823780197631,19.960461961979888,702,1768,841,886,1066,45,2,68000.0,1,0.44704382878066506,0.0006115999246325692,1.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,10.0,0.0,186.55650350383306,0.0,1.6927954252416222,0.0,0.0,0.0,0.20009339122072703,0.0,1.0,0.0,1021.074997229596,0.0,532.5056838141704,0.0,-0.003300505920382361,0.0,-1.2428823705536904,0.024119172401874667,0.18143441103985106,0.042912840486792864,2.393112697621109,0.04312850892396761,231.87007385310488,0.8924407127662675,82.02990091045605,0.5363576689907271,50.25351518753198,1.0063342394464594,87.60642181984879,0.6238814809192162,-61.197039809730555,0.43160759020475403,159.34536516389812,1.191653888768385,68000.00000000026,0.0,1021.074997229596,0.0,532.5056838141704,0.0,-0.003300505920382361,0.0,-6.4988130336989505,0.3236736555521247,-10.545669779829316,0.5642473311639647,-2.23162861376417,0.31662546413814024,-7918.499333228369,0.49669124628049277,-11552.53187885606,0.8645509635750821,-197.78667759120268,0.48725213361250236,17222.089118478394,0.1767812679699013,32144.753191529013,0.3077394748048171,23045.63550302808,0.17393977799167387,68000.00000000026,0.0,1021.074997229596,0.0,532.5056838141704,0.0,-0.003300505920382361,0.0,-3729.517341746791,1607.4093677250887,-5805.610830888706,2448.924972407325,-2095.30990974399,842.7030014141095,-268717455.38125896,4732.479349860561,-416154163.9057755,7210.670576658084,-148212040.29563054,2481.781986752126,-512837828.88729143,783.5272938304995,-794813421.4273239,1193.7576117417743,-283507876.12174714,410.8174061011379,68000.00000000026,0.0,2.0,0.002353698000704598,0.0,0.0,0.05,0.0,1.2,0.0,400.0,0.0,5.0,0.0,1.0,0.0,188.0,0.0,1.6927954252416222,0.0,0.0,0.0,False
2023-09-28 00:24:47.020494847+00:00,2023092700229,-64,2,1067,3,True,HD200654,-0.000149,holo4_003,-0.30479691163931055,186.74130111635282,0.0,-35.33172936749717,119.49936120514273,861.5059372947941,622.8590840973726,0.4201215895600819,18.935408608504307,29.83576594608237,1.3523384932243745,1.3604115326356765,1.0,1.08337539465548,3.0.2,2,,10.0,1.08337539465548,-49.9590150152289,-374.9736401077531,8.5,741.2000122070309,29.7999992370605,empty,219.5348609896879,-486.4324024250524,23.50593729479408,604,1671,838,883,1067,45,2,68000.0,1,1.6160151388008819,0.018822094025325715,1.0,0.0,1.0,0.0,0.04501709297406444,0.0076724214170098455,3.0,0.38516259397801644,369.38075280519246,30.398052676190357,0.28484384293903553,0.08332272360778853,187.653355539454,0.08968330741444125,1.3523384932243745,0.0,0.0,0.0,-0.30479691163931055,0.0,1.0,0.0,1020.8127750931296,0.0,532.9871852181549,0.0,0.00654659030414908,0.0,4.358813173114134,0.04722878863905812,-7.275826628232066,0.08537618357614409,3.0051643657609204,0.05984340224636355,22.09122585242271,0.25573027507413204,-26.56997587759167,0.40871676721819455,1.2367940614566322,0.19224465943872668,1.1715984135724278,0.010268531799494671,-0.5073718629457673,0.01426892210318876,-0.031739526951479954,0.010077136737918971,67999.99999999978,0.0,1020.8127750931296,0.0,532.9871852181549,0.0,0.00654659030414908,0.0,8756.341710936358,17469.563610621233,15077.30465746974,29912.91733574972,9630.556675736598,20114.732263888836,495.6124701184639,10310.678959978846,697.1466697337983,17576.74669955837,1085.9597631104332,12140.860563468146,-211.98959129938117,20.89914186841239,-362.88089321444744,36.62071944151668,-249.28817297927617,21.27202527437189,67999.99999999978,0.0,1020.8127750931296,0.0,532.9871852181549,0.0,0.00654659030414908,0.0,570593491.9307911,270464898.0476182,897126039.7566035,423587137.9179737,330356002.2579052,154907918.5974277,-3900842.453249041,1475018.9162677394,-5929314.123063693,2319226.806745321,-2023883.157402866,856048.1008331378,-646933.7618775001,323575.82868028525,-1006895.7503981,503328.2659789909,-364311.7954794253,181228.6734756043,67999.99999999978,0.0,2.0,0.004221360227642753,0.0,0.0,2.50068236000327e-06,0.0,0.0,2137.1369119906085,0.0,21.582271223383934,10.0,0.20985830710390888,2.0535609756277484,0.21755851255787823,186.63043535115082,0.03484997973256007,1.3523384932243745,0.0,0.0,0.0,False
2023-09-28 00:30:05.168006009+00:00,2023092700238,-64,2,1066,3,True,HD200654,-0.000149,holo4_003,0.2058998632429743,189.35479037694589,0.0,-32.57076504555111,289.23029677122014,908.2342359332984,622.8590840973726,1.59985871960605e-07,494.4035868326743,10.741946569633004,1.8725012557663356,16.908364280023356,1.0,1.07960888044113,3.0.2,2,,10.0,1.07960888044113,-49.9643324315613,-373.6343800889327,8.55000019073486,741.2000122070309,29.1499996185303,empty,219.53506839404798,-486.20674896442586,19.234235933298407,772,1838,889,934,1066,45,2,68000.0,1,0.10200106591502298,0.007497354139754763,1.0,0.0,1.0,0.0,0.08312344408024143,0.0655940528687473,0.5902565735475982,0.8343263485542143,427.3202969700532,95.3384287959294,4.079440781590511,0.744979312046129,189.33490751753297,0.1718437392685872,1.8725012557663356,0.0,0.0,0.0,0.2058998632429743,0.0,1.0,0.0,1020.5791454293214,0.0,532.5055693573773,0.0,-0.0032357528223722083,0.0,0.6856801388741957,0.013038725703902673,0.05820250612357077,0.02295256654480326,0.15075383769182418,0.024230740885348503,8.60012131100814,0.02569333683189881,-2.5632244798000197,0.0322714101330348,-5.05803140730043,0.050288757550139764,1.6359804217394958,0.0036611684904195134,-0.23066201264389735,0.00425884325035258,-0.6705544118073621,0.006622154795332489,68000.00000000029,0.0,1020.5791454293214,0.0,532.5055693573773,0.0,-0.0032357528223722083,0.0,14.743621208406882,2.0893149216962823,27.462974506992914,3.6802480581778796,15.039965422510148,1.8312708304474958,-19.10492776681623,4.454602347655931,-50.802287826622106,7.713546784275564,-30.378043447227068,3.654981230487491,0.20488997504235992,0.38873006743121297,-2.6786838593459272,0.6569337076985954,-1.9799693172831032,0.2885502138200276,68000.00000000029,0.0,1020.5791454293214,0.0,532.5055693573773,0.0,-0.0032357528223722083,0.0,83737.87394750267,0.5277081331921759,131776.1571044922,0.0,48549.954528808594,0.0,2391635.1855938216,0.9335650971502105,3676566.5311049107,0.0,1289689.755931187,0.0,91089.47686975004,0.23960017272244066,140114.63410739438,0.0,49215.67144455468,0.0,68000.00000000029,0.0,0.1784729345419425,0.01840868377695285,0.0,0.0,0.05013219481246867,0.10017285222623579,1.1973229289744824,3.082469917052793,399.75541700525446,83.79116973051411,5.00078800603039,,0.9924775332006505,3.414931979438539,189.3541673177792,0.07978528068948311,1.8725012557663356,0.0,0.0,0.0,False
2023-09-28 01:09:07.731001435+00:00,2023092700282,-64,2,1067,3,True,HD185975,-6.5e-05,holo4_003,0.15528973797599643,186.9450951921199,0.0,5.789457587006142,160.04624901031036,876.8758071100589,619.6450641533553,0.6335049315220371,51.72602751208179,8.798240025523585,1.0537662745627767,6.314778373356126,1.0,1.83707260459048,3.0.2,2,,60.0,1.83707260459048,-87.4678753921719,-354.3650366419858,8.19999980926514,741.2000122070309,31.1499996185303,empty,174.74453089581948,-486.1874590990233,18.8758071100589,643,1710,858,903,1067,45,2,11333.333333333334,1,0.9198440324407485,0.00034110217445499936,1.0,0.0,1.0,0.0,0.0,0.00026118571702533135,1.6167760423906656,0.0,293.8327722411356,1.1479389556899122,2.4443077638348742,0.009461188248404783,186.90337597368273,0.001924416952641802,1.0537662745627767,0.0,0.0,0.0,0.15528973797599643,0.0,1.0,0.0,1020.2419005346931,0.0,533.0159759968811,0.0,-0.009289935142271761,0.0,-0.18907313705640233,0.0009710448641532261,-0.006976989230177886,0.001725734444145015,0.6511605359408459,0.0021794469607308645,7.6277008676795965,0.005660741283521235,-2.8097020811955087,0.009408747393063995,0.09642040541849223,0.014709546808208143,2.4268328333024596,0.0017517301635796487,-0.5228183599650552,0.0029168778340598364,-0.11467955912610864,0.004565345756825329,11333.333333333343,0.0,1020.2419005346931,0.0,533.0159759968811,0.0,-0.009289935142271761,0.0,-3.3165379411474656,0.19714462358831072,-6.546398473330366,0.3464761297933398,-2.635214966004347,0.17608864528093515,40.603983751239426,1.2752491476834575,58.491398141103645,2.226518813700724,36.57801729873629,1.2044654377864876,8.54314282298949,0.35858708182585025,11.288087461367459,0.6255833624571803,7.361454647068325,0.34905542330056805,11333.333333333343,0.0,1020.2419005346931,0.0,533.0159759968811,0.0,-0.009289935142271761,0.0,3428137.5341823976,0.918154422997258,5260303.878910065,0.0,1838003.0471916199,0.0,-1209981.8201920476,39.763763860626185,-1856793.125835001,0.0,-648879.575957768,46.57655031558889,-1767155.1102464553,59557.01427744364,-2714581.2353040553,91455.75655815043,-950746.333330175,32007.33126734679,11333.333333333343,0.0,0.909475480590584,0.0017100739020573456,0.0,0.0,0.0,0.001237598183222857,1.0545259453074152,0.0,288.9688503131544,6.126740209457101,2.480719196305077,0.027643401268415628,1.9022308574941886,0.03647473632277134,186.8423915384184,0.0054996839112582165,1.0537662745627767,0.0,0.0,0.0,False
2023-09-28 01:10:20.660995968+00:00,2023092700283,-64,2,1067,3,True,HD185975,-6.5e-05,holo4_003,0.15371137771021387,186.943714395622,0.0,6.104044389185521,160.66755237146234,876.9174557709432,619.6450641533553,1.2897335578987505,52.088770832661496,8.265920196492141,1.0719838700876345,4.796566894669121,1.0,1.83710176298451,3.0.2,2,,60.0,1.83710176298451,-87.467874855456,-354.05881061755895,8.22500038146973,741.2000122070309,30.9500007629395,empty,174.74318726275732,-486.61161117073505,18.91745577094315,644,1711,858,903,1067,45,2,11333.333333333334,1,0.9224068822881324,0.0003780982556917958,1.0,0.0,1.0,0.0,0.0,0.00027276023560593644,1.386901453122573,0.0,309.88599860192187,1.1471142362671116,2.3741635194132167,0.009421360822723619,186.95065129294994,0.002026103770816811,1.0719838700876345,0.0,0.0,0.0,0.15371137771021387,0.0,1.0,0.0,1020.6844765690706,0.0,533.0157751902993,0.0,-0.009173136930913187,0.0,-0.2567972979627618,0.000913271831710796,-0.030698250800203882,0.001607073693897399,0.6604841295175097,0.0020811980079949847,6.985566671806353,0.004702417550590991,-3.049980434673086,0.007978671421450416,0.008935519604353988,0.012300806459869664,2.3128923976863818,0.001438250320343446,-0.6420712745316719,0.002443014964756186,-0.1635201170204117,0.0038165114922290443,11333.333333333343,0.0,1020.6844765690706,0.0,533.0157751902993,0.0,-0.009173136930913187,0.0,-2.8486087953221224,0.18811233975554428,-5.986517988987366,0.33077038131274156,-1.550808726372114,0.17056153164855364,44.65960374058365,1.3382065397106369,66.11935103844495,2.3368972445860665,41.01007716079622,1.2807385601161942,8.01314387317851,0.39193618865537694,10.332177901933818,0.6843195493051591,6.9632673418947935,0.38336796947691926,11333.333333333343,0.0,1020.6844765690706,0.0,533.0157751902993,0.0,-0.009173136930913187,0.0,11940.506745326667,3081.394786741657,17808.431598970314,4726.2866199861455,5838.165875388837,1649.8989665644947,-1166691.419979299,2064.060107204854,-1789993.9559825752,3166.422707934802,-625291.7735306827,1105.7785116635655,-411135.3787392478,1008.0523840724715,-630487.2333689051,1545.9492789397973,-220025.7479308215,539.5200195085898,11333.333333333343,0.0,0.9398556128585225,0.0007949166858991943,0.0,0.0,0.005444118589910743,0.0,0.0,0.2118906929479403,313.062497890703,6.251146361252492,2.4619960555658427,0.028418878625097017,2.797371716925463,0.04488528352507976,186.82546345052208,0.006609777542200759,1.0719838700876345,0.0,0.0,0.0,False
2023-09-28 01:17:58.019506853+00:00,2023092700290,-64,2,1066,3,True,HD200654,-0.000149,holo4_003,0.17178551409184967,186.9885674818763,0.0,-4.197497815318725,157.57877970466512,873.2874915790576,622.8590840973726,9.102981779915227,107.21841462305134,8.856145122175038,1.0275000918056605,2.223973144454834,1.0,1.06165209982741,3.0.2,2,,60.0,1.06165209982741,-49.9609806143708,-361.6410512158369,8.47500038146973,741.2000122070309,29.4249992370605,empty,184.950388127085,-487.6723314316064,20.287491579057615,642,1708,853,898,1066,45,2,11333.333333333334,1,0.970294081700164,0.0006547802600260537,1.0,0.0,1.0,0.0,0.003571217581642927,0.000694613688203735,1.830501115883817,0.0,343.1961492827716,3.5078002338240433,2.3217852786494846,0.019217510271657797,186.9663021644576,0.004094756615314702,1.0275000918056605,0.0,0.0,0.0,0.17178551409184967,0.0,1.0,0.0,1021.198272104818,0.0,532.503981893647,0.0,-0.002325772983949586,0.0,0.8108008601722332,0.0034550536653618928,0.2356493186545495,0.006356799335173598,0.9247716947908233,0.0058267008608197364,7.627021147642093,0.01173876132638731,-2.069715867376146,0.020878034370234173,0.9511309376413744,0.025703415273282012,2.313843610422058,0.003532174855415601,-0.21819689546523122,0.006333246933270735,0.10507789274937696,0.007543125570509853,11333.333333333341,0.0,1021.198272104818,0.0,532.503981893647,0.0,-0.002325772983949586,0.0,28.094804976750893,0.40412164782534965,48.197441918868634,0.7138397266285326,21.99944831269915,0.35169662345119873,35.68552023908521,0.9887339663798551,50.90996883598576,1.7200036565624925,21.63738422394429,0.831231457032489,4.684308673396636,0.15019654222595208,5.074568092141117,0.2602162279275609,1.8441340861242512,0.12378990347343065,11333.333333333341,0.0,1021.198272104818,0.0,532.503981893647,0.0,-0.002325772983949586,0.0,20635.353932059224,1.3011901064522153,31712.579484939575,0.0,11119.529769205938,1.4373676012502037,-608965.2494564968,0.06538367393260064,-934326.5813348844,0.0,-326335.16781252396,0.0,-137199.4528731943,482.46826171875375,-210559.25402751518,734.4780170287587,-73577.9901535196,252.33677788703545,11333.333333333341,0.0,0.9742814615580931,0.0011341087892765384,0.0,0.0,0.0092159533750347,0.0013070193968241015,2.168672638378897,0.0,349.1918267718982,10.710662506557368,2.357837272298612,0.04071288209548785,2.6377939658414924,0.06452663027750917,186.74905777072638,0.009650652882687296,1.0275000918056605,0.0,0.0,0.0,False
2023-09-28 01:19:11.107990687+00:00,2023092700291,-64,2,1066,3,True,HD200654,-0.000149,holo4_003,0.17298454825160342,187.0690573829396,0.0,-3.4179446579071815,159.74205231447826,873.8332647313955,622.8590840973726,11.693310986382729,48.469786793591894,8.770303088204813,1.0957769613190687,34.322696578037444,1.0,1.06154676232075,3.0.2,2,,60.0,1.06154676232075,-49.9609776114741,-361.3357714440609,8.58749961853027,741.2000122070309,28.6375007629395,empty,184.95046623005362,-487.6235933749174,19.833264731395474,644,1710,854,899,1066,45,2,11333.333333333334,1,1.0090626637059104,0.0034939840416345386,1.0,0.0,1.0,0.0,0.016768577933633066,0.0032537443943700638,0.0,0.0,501.5749957347859,3.15371293942796,0.2694920738242605,0.008891464635985773,187.79659583796715,0.0033226329827301705,1.0957769613190687,0.0,0.0,0.0,0.17298454825160342,0.0,1.0,0.0,1021.217931621222,0.0,532.5040254826945,0.0,-0.002347969172439816,0.0,0.5184586762243942,0.0010299135289020115,-0.2801820010292924,0.001825881924739715,0.44920792092223977,0.0027652132044464505,8.362933356969265,0.008833911892173635,-0.11408332718739539,0.01357643063470069,4.045128466292858,0.020696688051134244,2.6733151376457376,0.0029804910985128294,0.30286085914769545,0.004470715681333875,1.040376782589515,0.006680037578140115,11333.333333333341,0.0,1021.217931621222,0.0,532.5040254826945,0.0,-0.002347969172439816,0.0,-29.18087404769889,0.06646454287540789,-53.12528133638617,0.11632420692341126,-25.619164894027403,0.053697317433140004,-202.82915298576918,0.0802414655093536,-348.92275924636743,0.1400087115107408,-151.2483529504949,0.07130670200140317,-170.28069651731423,0.01979749736218117,-280.69964158030456,0.03425561220083932,-114.3820476658868,0.01639684483903314,11333.333333333341,0.0,1021.217931621222,0.0,532.5040254826945,0.0,-0.002347969172439816,0.0,75756789072.11777,0.0,-15260527.831999637,0.0,-3501810221.5199494,0.0,972590201.7391839,0.0,24407439.43717842,0.0,-297704.6940720193,0.0,230385282.4448072,0.0,8659611.977413002,0.0,3000602.5487408657,0.0,11333.333333333341,0.0,0.9704489067995611,0.0027839379666618276,0.0,0.0,0.0005721059662015793,0.0029016431787866424,3.0,0.0,0.0,612.1052955856832,2.7978046576192765,0.0764683073397448,1.3228978391015587,0.06397365004676597,187.02811454325462,0.01181983300066108,1.0957769613190687,0.0,0.0,0.0,False
