,wavelength,throu,errthrou,sedtoa,errsedtoa
0,600.0,0.043257264585339385,0.002674777477736362,4.949320722102448e-13,3.0603718761403576e-14
1,618.75,0.12257906307705124,0.003523495812899288,1.3479432892047652e-12,3.874619707733647e-14
2,637.5,0.14365066256810266,0.001290535462219942,1.5220783190278565e-12,1.3674117556195215e-14
3,656.25,0.14481867667516557,0.0038115473877089723,1.474969684762735e-12,3.8820385450127585e-14
4,675.0,0.1396763305939246,0.0014754593254768498,1.3881927865324127e-12,1.4664059284344003e-14
5,693.75,0.13537010493179,0.003754889946664128,1.2879768158545186e-12,3.5725843603545015e-14
6,712.5,0.1333737077355147,0.002004334579247164,1.211219863662742e-12,1.82021621579605e-14
7,731.25,0.12706151790371792,0.0014234740531373614,1.1022261597577574e-12,1.2348273222214463e-14
8,750.0,0.11663167601643018,0.0018766855635870983,9.748848653248896e-13,1.56865820281708e-14
9,768.75,0.10881866364969149,0.0019255225626295465,8.770023869878003e-13,1.5518366307650992e-14
10,787.5,0.11022857015460494,0.001801572053528143,8.565277159426311e-13,1.3999060261329817e-14
11,806.25,0.10543886713301792,0.0024062551309607725,7.825684007844461e-13,1.7859251345518913e-14
12,825.0,0.10110098054976338,0.002055318174037062,7.183574731118532e-13,1.4603747282306525e-14
13,843.75,0.09664329011104254,0.001976865116742065,6.502958474254051e-13,1.3301980663742078e-14
14,862.5,0.09084434230584025,0.001570232136508731,5.820729466863345e-13,1.0061051943137428e-14
15,881.25,0.08384958873437647,0.0009463163590602324,5.260341782304021e-13,5.9367583764922e-15
16,900.0,0.07745330744726435,0.0011376885998005137,4.708383530431223e-13,6.9160045485563005e-15
17,918.75,0.06838717368494325,0.0015096676198812782,3.9799945540573365e-13,8.785958801638656e-15
18,937.5,0.05447131592980224,0.0015608679146232977,3.0408338385142525e-13,8.71346669567219e-15
19,956.25,0.04660504261857544,0.0010551097569033406,2.505321386400075e-13,5.6718949076032905e-15
20,975.0,0.03822782336094162,0.0008293896432848473,1.986865786074048e-13,4.310697708335943e-15
21,993.75,0.025718249272951264,0.0006237554515108073,1.2914108908043265e-13,3.132112822807202e-15
22,1012.5,0.015752779233312388,0.00041091962544292194,7.601549222305833e-14,1.982904548430615e-15
23,1031.25,0.006965193013306249,0.0003130670751722501,3.233907983434304e-14,1.4535564367216078e-15
24,1050.0,0.005316548889473211,0.00035678048721799084,1.1527694643294363e-14,7.735951642386397e-16
