,wavelength,throu,errthrou,sedtoa,errsedtoa
0,350.0,0.022284239587544,0.004273503518710742,6.647888166496364e-14,1.2748818895035412e-14
1,364.2857142857143,0.04391244076483086,0.00766470008030483,2.7894727091648304e-13,4.8688871138921656e-14
2,378.57142857142856,0.06657636698033881,0.009186279016242586,4.4213393413633734e-13,6.100611772229732e-14
3,392.8571428571429,0.09684415640920391,0.009055831741342649,7.473960427966925e-13,6.988849981937506e-14
4,407.14285714285717,0.12287941655361016,0.007243891336876051,1.2148440626310924e-12,7.161653780402922e-14
5,421.42857142857144,0.13501879871009959,0.006318757450139558,1.44304395593883e-12,6.753314971380565e-14
6,435.7142857142857,0.15412166035490635,0.007738951320152495,1.7307256919268973e-12,8.690538271853698e-14
7,450.0,0.17185110395395164,0.007049683570725387,2.159651880428877e-12,8.859333475114141e-14
8,464.2857142857143,0.18374850503394294,0.008008656492693474,2.4060793263004295e-12,1.0486867806054762e-13
9,478.57142857142856,0.19203751626050813,0.007665676617114328,2.4719648243925456e-12,9.867490124674102e-14
10,492.8571428571429,0.19268899591691066,0.009387431794569651,2.441673229664521e-12,1.1895355414061146e-13
11,507.1428571428571,0.19398179697443702,0.008010950640336327,2.3826342491943753e-12,9.83966828948711e-14
12,521.4285714285714,0.19931223110995663,0.008773526107529591,2.4183543744510996e-12,1.0645355341890606e-13
13,535.7142857142858,0.1983687644338297,0.00829767008353356,2.4226258548496874e-12,1.0133727523461328e-13
14,550.0,0.2028178548755434,0.00823675737254618,2.4570315594356526e-12,9.97839801834953e-14
15,564.2857142857143,0.1946890765407692,0.011361360722376763,2.3350274911124845e-12,1.362638833907046e-13
16,578.5714285714286,0.19193256095176858,0.009533809818935826,2.273928993154648e-12,1.1295220808286136e-13
17,592.8571428571429,0.18945181066508576,0.01099668215404028,2.2047240606231185e-12,1.2797264722318927e-13
18,607.1428571428571,0.19208882051568107,0.010681063065756244,2.1702906975928814e-12,1.2067860976907455e-13
19,621.4285714285714,0.19306256502457073,0.010183971347403903,2.1088337588089854e-12,1.1124011831820182e-13
20,635.7142857142858,0.18644020272729706,0.012586084140372785,1.981792701193892e-12,1.33785574790898e-13
21,650.0,0.18777110009554196,0.012931117755728552,1.9326519670187134e-12,1.3309476353732424e-13
22,664.2857142857142,0.1895258439295768,0.010320223049603856,1.905906238153414e-12,1.0378203352933388e-13
23,678.5714285714287,0.18320189589597446,0.010779095827780456,1.8062863588539693e-12,1.062769228412084e-13
24,692.8571428571429,0.17822287395923705,0.013581483282052798,1.6995794777182326e-12,1.2951654156598147e-13
25,707.1428571428571,0.17769700432925992,0.013194252520522856,1.6346390399431933e-12,1.213742480033702e-13
26,721.4285714285714,0.17583538482585584,0.013729026979134562,1.5645768287231347e-12,1.2216038036793464e-13
27,735.7142857142858,0.17622117746112506,0.014327343876675575,1.516623616745997e-12,1.2330633810116748e-13
28,750.0,0.16633935888128976,0.013666762473816289,1.3903911572908953e-12,1.142372185403837e-13
29,764.2857142857143,0.15910010754665285,0.013021981914598758,1.2925212195872844e-12,1.0578992186265709e-13
30,778.5714285714287,0.16436753388724848,0.0148936040624735,1.298898052033052e-12,1.1769522147706308e-13
31,792.8571428571429,0.16943255984087094,0.015264755093174296,1.3000540282835803e-12,1.1712628533902655e-13
32,807.1428571428571,0.17147111627297207,0.01509046537025359,1.2697821631765813e-12,1.117482884445549e-13
33,821.4285714285714,0.17122252043131808,0.014679575228199172,1.225313597306597e-12,1.0505091902915093e-13
34,835.7142857142858,0.17038530021187603,0.016062973975160596,1.178444697763927e-12,1.1109718084722757e-13
35,850.0,0.1643406106540764,0.01613442867897533,1.0924760443620936e-12,1.0725575833688231e-13
36,864.2857142857143,0.15747475028105823,0.01706160330614105,1.0055077909243516e-12,1.0894175110210702e-13
37,878.5714285714286,0.15682312722482805,0.015778927385413692,9.847195035279927e-13,9.907861050936173e-14
38,892.8571428571429,0.14759115570931355,0.012777981333799251,9.100747169202657e-13,7.879142682555717e-14
39,907.1428571428572,0.1445440359222878,0.012984794484419714,8.652332301531957e-13,7.772631781687727e-14
40,921.4285714285714,0.13222205782297558,0.01053556272657542,7.649634406081281e-13,6.095291848243686e-14
41,935.7142857142858,0.11545694197037498,0.008036269117646863,6.458405905100302e-13,4.495311155712323e-14
42,950.0,0.10103322026810604,0.005749278749943384,5.499694805180867e-13,3.129592265860092e-14
43,964.2857142857143,0.09082752139306927,0.005078577867833986,4.807187262289564e-13,2.687916004130897e-14
44,978.5714285714286,0.0765054218866626,0.004029898361314232,3.9529552020959087e-13,2.0822063715790046e-14
45,992.8571428571429,0.06360403638885512,0.003846650524253996,3.200272598986805e-13,1.9354636858872906e-14
46,1007.1428571428572,0.05418210767967627,0.003432669920750903,2.6433111298054623e-13,1.6746514661467872e-14
47,1021.4285714285714,0.04599910143629627,0.0044281744429377455,2.1791739325308794e-13,2.0978153949622794e-14
48,1035.7142857142858,0.04414453523271807,0.004806320970888694,1.94513739951772e-13,2.1178056638894835e-14
49,1050.0,0.09017179443061636,0.012210704006238561,1.9551797074618599e-13,2.6476262158885017e-14
