,index,exposure,spec_date_obs,spec_target_label,spec_filter_label,spec_airmass,spec_pressure,spec_temperature,spec_humidity,spec_hour_angle,spec_parallactic_angle,spec_camera_angle,spec_order,spec_header_target,spec_header_redshift,spec_header_grating,spec_header_rotangle,spec_header_d2ccd,spec_header_lshift,spec_header_parangle,spec_header_targetx,spec_header_targety,spec_header_lbda_ref,spec_header_pixshift,spec_header_psf_reg,spec_header_trace_r,spec_header_chi2_fit,spec_header_a2_fit,spec_header_am_fit,spec_header_meanfwhm,spec_header_version,spec_header_rebin,spec_header_date-obs,spec_header_exptime,spec_header_airmass,spec_header_dec,spec_header_ha,spec_header_outtemp,spec_header_outpress,spec_header_outhum,spec_header_filter,spec_header_cam_rot,spec_header_s_x0,spec_header_s_y0,spec_header_s_xmin,spec_header_s_xmax,spec_header_s_ymin,spec_header_s_ymax,spec_header_s_nx,spec_header_s_ny,spec_header_s_dec,spec_header_s_sat,spec_spectrogram_x0,spec_spectrogram_y0,spec_spectrogram_xmin,spec_spectrogram_xmax,spec_spectrogram_ymin,spec_spectrogram_ymax,spec_spectrogram_deg,spec_spectrogram_saturation,spec_spectrogram_Nx,spec_spectrogram_Ny,refhour,number,chi2_1,pwv_1,oz_1,grey_1,epwv_1,eoz_1,egrey_1,SNR_1,chi2_2,pwv_2,grey_2,epwv_2,egrey_2,SNR_2,chi2_3,pwv_3,grey_3,epwv_3,egrey_3,SNR_3,chi2_4,pwv_4,grey_4,epwv_4,egrey_4,SNR_4,pwv_avg,pwv_sig
0,0,2023021500294,2023-02-16T02:20:14.274003145Z,HD185975,empty,2.13383974272945,0,0,0,-196.3924682528055,163.9972285545449,17.152280706109,1,HD185975,-6.4999999999999e-05,holo4_003,0.5055505731499668,187.4219387485803,0.0,163.9972285545449,150.2654647440044,875.2852672401604,597.2571590735706,0.001812336475227717,0.06255326747076054,226.2773249201315,1.883435017990365,1.0,2.13383974272945,9.8852654667129,2.4,2,2023-02-16T02:20:14.274003145Z,30.0,2.13383974272945,-87.483925695274,-196.3924682528055,0,0,0,empty,17.152280706109,-417.8499292503806,82.28526724016041,568,1705,793,978,1137,185,2,22666.66666666667,-417.8499292503806,82.28526724016041,568,1705,793,978,2,22666.66666666667,1137,185,0.0,294,13.04656834300953,6.4473225719367075,353.0935814062346,1.0136395565048302,0.0753176933335511,5.453619001138922,0.0007311625272457844,0.26755189182373984,7.67370674127394,6.323763369002243,1.0150431550273094,0.0966768015282421,0.0017076480473106068,0.13746905036332635,2.6588053443773307,8.182718106397985,1.021903105578632,0.20932716523436626,0.00126709693974094,0.033113394081328185,6.626334151927714,8.303003516650598,1.028168593342256,0.3071900759943709,0.0019576920226517564,0.004842757803275111,6.592730108474963,1.1775592790680087
1,1,2023021500295,2023-02-16T02:20:57.362002161Z,HD185975,empty,2.13401653516105,0,0,0,-196.2123831173605,164.1731245323928,17.15239381838799,1,HD185975,-6.4999999999999e-05,holo4_003,0.4746883864627678,187.4769558326683,0.0,164.1731245323928,151.0385540360097,877.1987474055484,597.2571590735706,-0.09068624759522342,0.008209420471413586,250.9308852777443,1.901856721703499,1.0,2.13401653516105,10.25553367793611,2.4,2,2023-02-16T02:20:57.362002161Z,30.0,2.13401653516105,-87.4839429856662,-196.2123831173605,0,0,0,empty,17.15239381838799,-417.8064650262166,83.19874740554839,568,1705,794,979,1137,185,2,22666.66666666667,-417.8064650262166,83.19874740554839,568,1705,794,979,2,22666.66666666667,1137,185,0.011944444444444445,295,13.14812526017484,7.056458529115871,373.11576583374557,1.0168459136046009,0.08985733688481957,5.48363946749827,0.0007478565025635517,0.15418102934368555,7.7872710556900975,7.175806300978969,1.023443185384893,0.11374773152677847,0.0018281125949144842,0.08054677112697488,1.865925435903108,9.009108489455452,1.0288759186516425,0.19572821649342306,0.0011446426380266976,0.02677990756566713,5.749508205177865,8.558509410651785,1.035394560835221,0.3013197558858823,0.0019229901950329898,0.008265774028881248,7.378542906157739,1.0241954830715632
2,22,2023021500349,2023-02-16T02:51:06.975495054Z,HD185975,empty,2.14036291024797,0,0,0,-188.6336749043775,171.5736837814708,9.540823928611019,1,HD185975,-6.4999999999999e-05,holo4_003,0.499002298764338,187.4256776851247,0.0,171.5736837814708,150.1924405520953,871.9227853963941,597.2571590735706,-0.00126000477203019,0.3114404369325093,214.9091941326853,1.993587009155106,1.0,2.14036291024797,8.252582787434436,2.4,2,2023-02-16T02:51:06.975495054Z,30.0,2.14036291024797,-87.4781385017629,-188.6336749043775,0,0,0,empty,9.540823928611019,-417.9323492423425,82.92278539639419,568,1705,789,974,1137,185,2,22666.66666666667,-417.9323492423425,82.92278539639419,568,1705,789,974,2,22666.66666666667,1137,185,0.5144444444444445,349,26.631067818328418,5.445995758856525,341.75703568996533,1.0227318456273662,0.09400228997026822,7.54456458694448,0.0010277782788246247,0.8393135629785538,14.488665278951132,5.332245826030414,1.024540813665162,0.11463241982894469,0.0022756940234144167,0.518983078913876,9.257750616125266,6.929916717967705,1.0284458897410496,0.32613672645687247,0.0021218020916098953,0.02008507951865216,11.188562058953638,7.406979773004645,1.0385357020482164,0.35262933329512536,0.0023455744348681914,0.08075707887878114,5.547901140561254,1.1643702524656256
3,23,2023021500350,2023-02-16T02:51:49.918499506Z,HD185975,empty,2.14046739604342,0,0,0,-188.4550293453555,171.74806450549,9.541737353595977,1,HD185975,-6.4999999999999e-05,holo4_003,0.5042750435230717,187.6554948747893,0.0,171.74806450549,145.5479629091943,872.9582974214113,597.2571590735706,-0.1878932258559236,0.3849794077015277,228.936882498128,2.421480389703567,1.0,2.14046739604342,7.509802638071228,2.4,2,2023-02-16T02:51:49.918499506Z,30.0,2.14046739604342,-87.4781374010022,-188.4550293453555,0,0,0,empty,9.541737353595977,-417.3863176599502,82.95829742141129,565,1702,790,975,1137,185,2,22666.66666666667,-417.3863176599502,82.95829742141129,565,1702,790,975,2,22666.66666666667,1137,185,0.5263888888888889,350,56.479106212220074,4.728154528510116,339.33126534809827,1.0275662418084837,0.12657107050336583,10.952826983093447,0.0014934632840697903,1.1597798133532633,22.67061729228657,4.795447333703367,1.0327320781488487,0.13266321066835507,0.0028467752979830434,0.8436152324135794,11.973394963862145,5.260514810449366,1.0304753426189022,0.324257653269567,0.0023093129006087677,0.19126374295614762,23.12246629184851,4.846495132058566,1.0297691945016716,0.43625085754069554,0.0032334356834254154,0.053363982196166566,4.7991108202887185,0.234620508276131
4,46,2023021500409,2023-02-16T03:24:24.390992918Z,HD185975,empty,2.14379162065317,0,0,0,-180.2789002027955,179.7278325963106,1.378282951795995,1,HD185975,-6.4999999999999e-05,holo4_003,0.4854135015514295,187.3862118947887,0.0,179.7278325963106,148.6131843871896,874.7977313731107,597.2571590735706,-0.01480832405708814,0.4534845547567645,182.7525611110925,2.672551332386924,1.0,2.14379162065317,9.62332697592293,2.4,2,2023-02-16T03:24:24.390992918Z,30.0,2.14379162065317,-87.4726660354117,-180.2789002027955,0,0,0,empty,1.378282951795995,-417.5852321672814,82.7977313731107,566,1703,792,977,1137,185,2,22666.66666666667,-417.5852321672814,82.7977313731107,566,1703,792,977,2,22666.66666666667,1137,185,1.0694444444444444,409,60.994676609283985,3.9998707023551936,392.5314333387037,1.0165288464727362,0.11397519413048703,11.488502869584483,0.0015447267852930953,3.027021621989514,26.601307668069776,4.450379114876892,1.0528273973263425,0.13049736690729058,0.003055789772288001,0.9784025417520779,13.59119545680509,6.227434758508603,1.029969043198361,0.37877287060585774,0.002573278147545187,0.11399978939758827,12.419796527693595,7.799158612196597,1.031586622174199,0.3836983399772789,0.002485863992265239,0.14181955240119226,4.4534044954536345,1.9070235996407632
5,47,2023021500410,2023-02-16T03:25:07.292490129Z,HD185975,empty,2.14381575118268,0,0,0,-180.0952735544385,179.90702640848,1.374157385065018,1,HD185975,-6.4999999999999e-05,holo4_003,0.4807989722894931,187.3272159655913,0.0,179.90702640848,149.7906145380653,875.9862229435172,597.2571590735706,0.2178418633657331,3.583542009288581,138.9011717518003,3.14634353588237,1.0,2.14381575118268,9.872833941846617,2.4,2,2023-02-16T03:25:07.292490129Z,30.0,2.14381575118268,-87.4726635052041,-180.0952735544385,0,0,0,empty,1.374157385065018,-418.6585290551781,82.98622294351716,567,1703,793,978,1136,185,2,22666.66666666667,-418.6585290551781,82.98622294351716,567,1703,793,978,2,22666.66666666667,1136,185,1.081388888888889,410,202.50453477536237,3.6540701740017236,331.2442443705375,0.9993810703806806,0.20193660413376527,20.914272240049034,0.0027542188979965345,2.68936357423178,87.12793730388458,3.9264262964628416,1.0145797088076118,0.21493085843514767,0.0053091999254694594,1.3622849396678705,61.46539290951167,2.0554931838763832,0.9902495803046476,0.38534356133156644,0.004102856733483859,0.4773954170454354,47.77014854941955,4.102126543357172,0.9986383506684671,0.5504672375965448,0.004248371136900947,0.2311615551175476,3.5937343459563866,0.8274921215898288
6,66,2023021500470,2023-02-16T03:59:57.762990811Z,HD185975,empty,2.14327354174886,0,0,0,-171.3797732943315,-171.5876823581604,-7.429063197312018,1,HD185975,-6.4999999999999e-05,holo4_003,0.5335358891953096,187.3627315325868,0.0,-171.5876823581604,150.6689013038737,873.3516510408007,597.2571590735706,0.01281570336277243,0.8241381150130023,257.1967045402546,6.787517299939076,1.0,2.14327354174886,5.016229354826406,2.4,2,2023-02-16T03:59:57.762990811Z,30.0,2.14327354174886,-87.4668156429805,-171.3797732943315,0,0,0,empty,-7.429063197312018,-418.4353329271582,82.35165104080069,569,1705,791,976,1136,185,2,22666.66666666667,-418.4353329271582,82.35165104080069,569,1705,791,976,2,22666.66666666667,1136,185,1.6619444444444444,470,66.18142345412977,5.612628695239225,359.97007653979557,1.0102450708552992,0.14862626182204494,11.878331940997237,0.001572485661486611,1.5444833653877534,28.487561950733483,5.694284871699998,1.0179713427285455,0.16362714049817176,0.0030267764488985517,0.7244799934792274,26.17641298207255,6.3539255970196376,1.0168593110687363,0.4563497073376595,0.0031620907399184713,0.057760616936075516,19.58741666015938,7.436790072772699,1.0318104830461372,0.4109662306007705,0.002737191427788579,0.020945482197814846,5.799147189759182,0.8711255001424892
7,67,2023021500471,2023-02-16T04:00:40.665508421Z,HD185975,empty,2.14321062747243,0,0,0,-171.1994909746605,-171.4117209228392,-7.429901906327984,1,HD185975,-6.4999999999999e-05,holo4_003,0.5271898259005028,187.285191023987,0.0,-171.4117209228392,149.0529728495539,872.2785079076934,597.2571590735706,0.01121117959917244,1.375822792844813,195.1860470022777,5.737467263022905,1.0,2.14321062747243,6.824349644992846,2.4,2,2023-02-16T04:00:40.665508421Z,30.0,2.14321062747243,-87.4668118663405,-171.1994909746605,0,0,0,empty,-7.429901906327984,-417.9876009265481,82.2785079076934,567,1704,790,975,1137,185,2,22666.66666666667,-417.9876009265481,82.2785079076934,567,1704,790,975,2,22666.66666666667,1137,185,1.673888888888889,471,85.14590987162799,5.93812177465718,333.5376403653529,1.006606075773282,0.16664051248418502,13.351583549960308,0.0017780498413482461,0.48087724684484145,37.26511276794454,5.689343037116539,0.9973962892926989,0.1888941376794839,0.003446203093519574,0.06201826464455921,32.28667058173647,5.484045449260054,1.0033760825219968,0.4575827787942634,0.0033656607705897894,0.016604077105793716,25.47878208263018,7.161205415393855,1.0263960796297473,0.47287006058657277,0.0031345916316971693,0.06474809945355033,5.888028117374551,0.6756788371604008
