,index,exposure,spec_date_obs,spec_target_label,spec_filter_label,spec_airmass,spec_pressure,spec_temperature,spec_humidity,spec_hour_angle,spec_parallactic_angle,spec_camera_angle,spec_order,spec_header_target,spec_header_redshift,spec_header_grating,spec_header_rotangle,spec_header_d2ccd,spec_header_lshift,spec_header_parangle,spec_header_targetx,spec_header_targety,spec_header_lbda_ref,spec_header_pixshift,spec_header_psf_reg,spec_header_trace_r,spec_header_chi2_fit,spec_header_a2_fit,spec_header_am_fit,spec_header_meanfwhm,spec_header_version,spec_header_rebin,spec_header_date-obs,spec_header_exptime,spec_header_airmass,spec_header_dec,spec_header_ha,spec_header_outtemp,spec_header_outpress,spec_header_outhum,spec_header_filter,spec_header_cam_rot,spec_header_s_x0,spec_header_s_y0,spec_header_s_xmin,spec_header_s_xmax,spec_header_s_ymin,spec_header_s_ymax,spec_header_s_nx,spec_header_s_ny,spec_header_s_dec,spec_header_s_sat,spec_spectrogram_x0,spec_spectrogram_y0,spec_spectrogram_xmin,spec_spectrogram_xmax,spec_spectrogram_ymin,spec_spectrogram_ymax,spec_spectrogram_deg,spec_spectrogram_saturation,spec_spectrogram_Nx,spec_spectrogram_Ny,me_az_rms,me_el_rms,me_rot_rms,me_image_az_rms,me_image_el_rms,me_image_rot_rms,refhour,number,chi2_1,pwv_1,oz_1,grey_1,epwv_1,eoz_1,egrey_1,SNR_1,chi2_2,pwv_2,grey_2,epwv_2,egrey_2,SNR_2,chi2_3,pwv_3,grey_3,epwv_3,egrey_3,SNR_3,chi2_4,pwv_4,grey_4,epwv_4,egrey_4,SNR_4,pwv_avg,pwv_sig
0,2,2022092700546,2022-09-28T05:24:46.622992156Z,HD185975,empty,1.92219544169103,0,0,0,-290.1909752932508,71.1998452811177,109.941047630145,1,HD185975,-6.4999999999999e-05,holo4_003,0.470657971412535,187.3978111934058,0.0,71.1998452811177,162.2756343138116,866.168447490894,597.2571590735706,0.05472266888123321,0.3732501577957203,182.9296724724201,3.569781239812186,1.0,1.92219544169103,10.15925859466712,2.4,2,2022-09-28T05:24:46.622992156Z,30.0,1.92219544169103,-87.5116183713017,-290.1909752932508,0,0,0,empty,109.941047630145,-417.9536499350554,84.16844749089402,580,1716,782,967,1136,185,2,22666.66666666667,-417.9536499350554,84.16844749089402,580,1716,782,967,2,22666.66666666667,1136,185,0.0113818810231055,0.0101468281802003,0.0841767990720498,0.0097292959480659,0.0101468281802003,0.0001142681787019,0.0,546,38.629321582057436,5.579581313299219,372.18926610968754,1.0532616786654105,0.13708315640204569,10.335226626031812,0.0013019174646372218,0.583255085046423,11.154935756736668,5.551327600722738,1.0557806450204315,0.11763643452527026,0.002218016745987333,0.39359339498929286,13.138797394406472,8.194414207902776,1.0604897319253712,0.48269414364940216,0.002810254110163444,0.07346893874109658,10.37943179253945,6.631448728622879,1.062717496352081,0.36920779837571277,0.002393631021940405,0.07192882309754366,5.70282596374404,1.333087883050348
1,3,2022092700547,2022-09-28T05:25:29.532001588Z,HD185975,empty,1.92260647402559,0,0,0,-290.0117456202825,71.38041600775615,109.941229144849,1,HD185975,-6.4999999999999e-05,holo4_003,0.4719393544142453,187.293808169632,0.0,71.38041600775615,164.2222078715007,867.7202408810987,597.2571590735706,0.1032266421236687,0.2102870361641055,186.1492750053923,2.544128922183362,1.0,1.92260647402559,10.48019656538542,2.4,2,2022-09-28T05:25:29.532001588Z,30.0,1.92260647402559,-87.5116079045205,-290.0117456202825,0,0,0,empty,109.941229144849,-418.0366107332943,83.72024088109869,582,1718,784,969,1136,185,2,22666.66666666667,-418.0366107332943,83.72024088109869,582,1718,784,969,2,22666.66666666667,1136,185,0.0081426994235765,0.0125768608751484,0.1411991897257778,0.0069609770715718,0.0125768608751484,0.0001916748370337,0.011666666666666667,547,24.4033434466156,5.654042816593523,379.3915581206316,0.7977835457259315,0.13264267535619986,9.568088889699023,0.00092007377363909,0.6066245112043571,8.221322077774552,5.635646983469132,0.8019795859486446,0.11957524239203308,0.0017078450398612813,0.35790288100752876,6.436299532995114,9.499999999997717,0.8056562513231985,0.43264492871232835,0.0018387308195307653,0.10155230084065399,5.571570966817267,7.10146833249781,0.8088330799196743,0.32236509757511117,0.001554419774581599,0.04845679153444724,5.888190928204769,1.9128388989305691
2,13,2022092700643,2022-09-28T07:12:27.319499621Z,HD185975,empty,1.99088007161315,0,0,0,-262.8316630817744,98.59565734611314,82.90775730418099,1,HD185975,-6.4999999999999e-05,holo4_003,0.4979505664615072,187.3158147276018,0.0,98.59565734611314,150.2207524284633,888.3675325875085,597.2571590735706,0.1466122639183475,0.1354409527106821,225.6029138407553,2.514760014852009,1.0,1.99088007161315,8.179491193623253,2.4,2,2022-09-28T07:12:27.319499621Z,30.0,1.99088007161315,-87.5121141257361,-262.8316630817744,0,0,0,empty,82.90775730418099,-417.9472038906035,83.36753258750852,568,1704,805,990,1136,185,2,22666.66666666667,-417.9472038906035,83.36753258750852,568,1704,805,990,2,22666.66666666667,1136,185,0.0095328518461687,0.0115719481025228,0.1078954863527736,0.0082506082489668,0.0115719481025228,0.0001464657821586,1.7944444444444445,643,26.900612833733067,5.232521309057101,377.63807935296967,1.1626578992211094,0.09675806224311369,7.909594556499255,0.0011294906407991303,1.1702085692697413,12.296098787954456,5.5932527271709755,1.1849823875031809,0.11012850324890017,0.0023594615469817288,0.45690218397224264,5.79106609149639,6.926106725987058,1.1814533209240485,0.2594696780766623,0.0018779690220902235,0.0477113844226827,7.616907064595561,7.12924853383264,1.1813625824173393,0.28337646755644,0.0020432429117720158,0.002216768002483053,5.595072902203568,1.0315998351432536
3,14,2022092700644,2022-09-28T07:13:10.320492047Z,HD185975,empty,1.99135572900523,0,0,0,-262.6519893779675,98.77448703765441,82.90778102022699,1,HD185975,-6.4999999999999e-05,holo4_003,0.5060643825808665,187.3487712419716,0.0,98.77448703765441,150.5200866016454,888.8404359057241,597.2571590735706,0.0570699797310141,0.02501785090533229,260.3050261460983,2.404333082651561,1.0,1.99135572900523,8.15572653775932,2.4,2,2022-09-28T07:13:10.320492047Z,30.0,1.99135572900523,-87.5121096376124,-262.6519893779675,0,0,0,empty,82.90778102022699,-417.6630369247759,82.84043590572418,568,1705,806,991,1137,185,2,22666.66666666667,-417.6630369247759,82.84043590572418,568,1705,806,991,2,22666.66666666667,1137,185,0.0093383969586796,0.0126159452582942,0.1062346682925099,0.0080829603644974,0.0126159452582942,0.0001442112576697,1.8063888888888888,644,37.549175363190855,5.040955303531856,386.47072389454524,1.1562921602531429,0.11915949812255985,9.326069592668121,0.0013369939400889913,1.1065487781784646,21.860565799757122,5.528556838490937,1.1884118927788418,0.14990421418779634,0.003213512729763118,0.518791537425996,3.5214951000593695,7.440287083198851,1.1773082913283837,0.21066781162242007,0.0014903222278440272,0.0627199732027752,4.550336666720839,6.998520937433041,1.1751421746754993,0.21689117408261654,0.001611408099576372,0.012279314031355895,5.7804676103267605,1.101021353002305
4,27,2022092700734,2022-09-28T08:44:30.712000547Z,HD185975,empty,2.05213466594773,0,0,0,-239.3814694619375,121.8307951557401,59.94400853020801,1,HD185975,-6.4999999999999e-05,holo4_003,0.5102878804277605,187.2785704596942,0.0,121.8307951557401,151.4547804000399,884.6195111275149,597.2571590735706,0.0858192687180571,0.1517487072498405,184.465962546793,1.617848828188303,1.0,2.05213466594773,10.95742010022068,2.4,2,2022-09-28T08:44:30.712000547Z,30.0,2.05213466594773,-87.5047532866245,-239.3814694619375,0,0,0,empty,59.94400853020801,-416.980223557381,82.61951112751491,568,1705,802,987,1137,185,2,22666.66666666667,-416.980223557381,82.61951112751491,568,1705,802,987,2,22666.66666666667,1137,185,0.0070556083488374,0.007599299975321,0.0781924537026445,0.0061668642249453,0.007599299975321,0.0001061445596807,3.328888888888889,734,8.740273916808803,6.37610928261319,337.3819034829084,0.6319866866120615,0.09000928773666382,6.253685345575353,0.0005115999457031042,0.06351133917603131,3.61551787503628,6.168567409518736,0.6267631044233309,0.09471450406011474,0.0010300357547451068,0.062644050697844,3.3979318376737777,7.465443468544555,0.6345345790207091,0.3171760614238362,0.001213551136366531,0.0704590465529155,3.4290679527116508,7.198237698084738,0.6421883790048,0.28826819542417453,0.0011552893238288076,0.03719964720395338,6.366713931209913,0.6960583107354583
5,28,2022092700735,2022-09-28T08:45:13.622001236Z,HD185975,empty,2.05258177950112,0,0,0,-239.2023135910045,122.0074970229674,59.94430774641901,1,HD185975,-6.4999999999999e-05,holo4_003,0.4917148259171491,187.2868550048223,0.0,122.0074970229674,151.6723826603855,885.6514586435476,597.2571590735706,0.04727231049620421,0.218084600479921,176.4101088339275,1.43504190118391,1.0,2.05258177950112,11.2316241950431,2.4,2,2022-09-28T08:45:13.622001236Z,30.0,2.05258177950112,-87.504759960563,-239.2023135910045,0,0,0,empty,59.94430774641901,-418.3050975946813,83.65145864354761,570,1706,802,987,1136,185,2,22666.66666666667,-418.3050975946813,83.65145864354761,570,1706,802,987,2,22666.66666666667,1136,185,0.0076794727853898,0.009329594521937,0.0868798972922088,0.0067126000012525,0.009329594521937,0.0001179375758978,3.3405555555555555,735,18.287846189599254,6.020976989544912,369.26440266321265,0.9744292488411308,0.10719617182776267,7.175105001465079,0.0009006220970000314,0.545788304917955,8.973149050170012,6.247446132271144,0.9835841646355292,0.11807515181087902,0.0020142695966586964,0.3110983889637707,6.747958264850732,7.207697757773482,0.9830594667146851,0.35953012408714674,0.0020995393236399812,0.011859160723733919,5.505423492682601,7.12176355829153,0.9886048543570577,0.2966504842451726,0.0018399166606491893,0.07246232240017565,6.234264458277024,0.6672503918962052
