,index,exposure,spec_date_obs,spec_target_label,spec_filter_label,spec_airmass,spec_pressure,spec_temperature,spec_humidity,spec_hour_angle,spec_parallactic_angle,spec_camera_angle,spec_order,spec_header_target,spec_header_redshift,spec_header_grating,spec_header_rotangle,spec_header_d2ccd,spec_header_lshift,spec_header_parangle,spec_header_targetx,spec_header_targety,spec_header_lbda_ref,spec_header_pixshift,spec_header_psf_reg,spec_header_trace_r,spec_header_chi2_fit,spec_header_a2_fit,spec_header_am_fit,spec_header_meanfwhm,spec_header_version,spec_header_rebin,spec_header_date-obs,spec_header_exptime,spec_header_airmass,spec_header_dec,spec_header_ha,spec_header_outtemp,spec_header_outpress,spec_header_outhum,spec_header_filter,spec_header_cam_rot,spec_header_s_x0,spec_header_s_y0,spec_header_s_xmin,spec_header_s_xmax,spec_header_s_ymin,spec_header_s_ymax,spec_header_s_nx,spec_header_s_ny,spec_header_s_dec,spec_header_s_sat,spec_spectrogram_x0,spec_spectrogram_y0,spec_spectrogram_xmin,spec_spectrogram_xmax,spec_spectrogram_ymin,spec_spectrogram_ymax,spec_spectrogram_deg,spec_spectrogram_saturation,spec_spectrogram_Nx,spec_spectrogram_Ny,me_az_rms,me_el_rms,me_rot_rms,me_image_az_rms,me_image_el_rms,me_image_rot_rms,refhour,number,chi2_1,pwv_1,oz_1,grey_1,epwv_1,eoz_1,egrey_1,SNR_1,chi2_2,pwv_2,grey_2,epwv_2,egrey_2,SNR_2,chi2_3,pwv_3,grey_3,epwv_3,egrey_3,SNR_3,chi2_4,pwv_4,grey_4,epwv_4,egrey_4,SNR_4,pwv_avg,pwv_sig
0,18,2022092900267,2022-09-30T01:14:05.685510063Z,HD185975,empty,1.83786604007103,0,0,0,-351.6379370626965,8.589005149393923,172.2080812425256,1,HD185975,-6.4999999999999e-05,holo4_003,0.4645518397116772,187.4086200916942,0.0,8.589005149393923,158.9437292277948,869.413889908343,597.2571590735706,0.03701642910880892,0.1137791015331289,310.392647136627,4.297179718350751,1.0,1.83786604007103,4.769463467726071,2.4,2,2022-09-30T01:14:05.685510063Z,30.0,1.83786604007103,-87.4865136239844,-351.6379370626965,0,0,0,empty,172.2080812425256,-417.1267045149873,84.41388990834301,576,1713,785,970,1137,185,2,22666.66666666667,-417.1267045149873,84.41388990834301,576,1713,785,970,2,22666.66666666667,1137,185,0.0066005088478126,0.0061426877310407,0.1221314588934107,0.0055430324111629,0.0061426877310407,0.000165790806063,0.0,267,28.737146183488225,5.88410518677243,330.5205588210403,1.0179631681268333,0.09155993207311626,7.997234255879484,0.0009226687941894044,0.5514468501850764,13.991648622993834,5.723389634071287,1.0143708493589272,0.10586698404904507,0.0019209882476902789,0.6000905256211351,7.080795394299118,6.960870547228955,1.0204361128439985,0.24802350740052817,0.001514700461790851,0.09203565178428172,4.591489289585006,6.64689755806123,1.0252023177842162,0.19570205277493322,0.001186552215721366,0.03762897119719411,5.976106790259423,0.6107475270692635
1,19,2022092900268,2022-09-30T01:14:48.493509143Z,HD185975,empty,1.83790951554722,0,0,0,-351.4590824027004,8.772671176449094,172.2081770977277,1,HD185975,-6.4999999999999e-05,holo4_003,0.4749716225707175,187.4554972823796,0.0,8.772671176449094,159.5918433579527,867.7731791215159,597.2571590735706,-0.06243887097425233,0.08491804750363117,333.3898391250752,4.733219194388948,1.0,1.83790951554722,4.558344839914202,2.4,2,2022-09-30T01:14:48.493509143Z,30.0,1.83790951554722,-87.4865148883899,-351.4590824027004,0,0,0,empty,172.2081770977277,-418.6706032539738,83.77317912151587,578,1714,784,969,1136,185,2,22666.66666666667,-418.6706032539738,83.77317912151587,578,1714,784,969,2,22666.66666666667,1136,185,0.009241018268434,0.0069533100768922,0.1043552634560644,0.0077605799911997,0.0069533100768922,0.000141660006374,0.011666666666666667,268,31.990207783387287,6.070753796196359,310.185934579088,1.012478420802519,0.10027292053565136,8.469662065619136,0.0009697218793575485,0.050050554385233835,14.894458511492632,5.739270128470166,1.0021751303135098,0.10873455415953694,0.0019407177545172174,0.3951952354910013,8.010260779888148,6.848364196401322,1.0112462681163765,0.2656806923741136,0.0015912320788562773,0.12840309527346933,4.715438654122106,6.731240917222245,1.0199445401389142,0.19626958034793787,0.001185461526350857,0.020557596626617373,6.0713140107159385,0.536088604286135
2,26,2022092900312,2022-09-30T01:43:52.790993002Z,HD185975,empty,1.84103372479948,0,0,0,-344.0990013258476,16.32689275044379,164.342504170658,1,HD185975,-6.4999999999999e-05,holo4_003,0.4595726925192724,187.3646908564058,0.0,16.32689275044379,164.7231140476018,864.2285129582408,597.2571590735706,0.004830067662335004,0.6112058467268479,245.7746192603153,5.453488705298821,1.0,1.84103372479948,4.904355136723702,2.4,2,2022-09-30T01:43:52.790993002Z,30.0,1.84103372479948,-87.4914105252555,-344.0990013258476,0,0,0,empty,164.342504170658,-417.3602965560999,84.2285129582408,582,1719,780,965,1137,185,2,22666.66666666667,-417.3602965560999,84.2285129582408,582,1719,780,965,2,22666.66666666667,1137,185,0.3061305600096697,0.0126087824247405,0.080276914757355,0.2572706550142368,0.0126087824247405,0.0001089741703445,0.4963888888888889,312,52.81856835302305,5.21820137336609,320.47652698190404,1.0080345212343025,0.11601358541760762,10.823623973331832,0.0012330896855658443,1.4469444007833425,24.207248569358637,5.249562215502468,1.0119071607368473,0.12963044880199961,0.0024672213846090893,0.9596368296667235,19.9375988958121,5.959955397122746,1.012403026229067,0.36938965466572243,0.0024060412032194016,0.015097360567687774,14.334978804393835,6.362306416327386,1.0178292288012714,0.327991080389389,0.00201851413292283,0.0038660372367356525,5.337440837378118,0.6041139242662981
3,27,2022092900313,2022-09-30T01:44:35.756501500Z,HD185975,empty,1.84113036199081,0,0,0,-343.9201302959817,16.51040305633482,164.343224723701,1,HD185975,-6.4999999999999e-05,holo4_003,0.4658773769306053,187.3939161917775,0.0,16.51040305633482,165.6253707543793,863.0372364084243,597.2571590735706,0.116288931115197,0.7453753048923534,240.5240301171679,7.059695740710003,1.0,1.84113036199081,5.539669077293213,2.4,2,2022-09-30T01:44:35.756501500Z,30.0,1.84113036199081,-87.4914210554544,-343.9201302959817,0,0,0,empty,164.343224723701,-417.6451058794985,84.03723640842435,583,1720,779,964,1137,185,2,22666.66666666667,-417.6451058794985,84.03723640842435,583,1720,779,964,2,22666.66666666667,1137,185,0.2527033809295871,0.0133812517008908,0.0854257483250644,0.2123754082849856,0.0133812517008908,0.0001159636002196,0.5083333333333333,313,62.966632890462805,5.292692711872663,311.32877124826734,0.9982268961704881,0.12759537572708732,11.842127103033237,0.0013359629592252218,1.207045928873339,25.682113609408212,5.185089363868405,0.9968311235922536,0.13336088326691548,0.0025079090887689657,1.105996286628307,30.403729051736597,5.790427207454563,0.9965541740344364,0.45582681723163077,0.0029250515483614918,0.001175113987000878,12.202964750385403,6.196257325426206,1.0054203284047973,0.30296658807604987,0.0018402645138731507,0.042539525200994736,5.339104058669075,0.49098850461799765
4,38,2022092900379,2022-09-30T02:38:36.474491501Z,HD185975,empty,1.85246244692408,0,0,0,-330.2580419030248,30.50675676479832,150.294255463751,1,HD185975,-6.4999999999999e-05,holo4_003,0.4696001004414748,187.3722245314596,0.0,30.50675676479832,176.5154559070232,865.1613634580389,597.2571590735706,0.1424163707083682,0.9576074144156465,225.1673245367625,2.986585535066396,1.0,1.85246244692408,4.529814190337014,2.4,2,2022-09-30T02:38:36.474491501Z,30.0,1.85246244692408,-87.4967729851258,-330.2580419030248,0,0,0,empty,150.294255463751,-416.9728021559289,84.16136345803884,593,1730,781,966,1137,185,2,22666.66666666667,-416.9728021559289,84.16136345803884,593,1730,781,966,2,22666.66666666667,1137,185,0.305970345499344,0.0158011273904062,0.0840582733886717,0.2577967516565421,0.0158011273904062,0.0001141072826579,1.4083333333333334,379,33.39075705163114,4.5604230658297125,348.74046520621306,0.3585391063769188,0.16214876149478805,14.888649647258964,0.0006151821187988266,2.4886078567668806,20.381083580242706,4.554849346554521,0.36201786052540347,0.19543416332377048,0.0014031589252971135,1.5748246561539259,10.991754552073356,5.153157403899781,0.35528056528898944,0.4436999499475256,0.0010538534151505517,0.062486073040961085,9.466003185029683,5.776128227618921,0.35916079272600115,0.43446032373398663,0.0009835018076924287,0.009214653931433179,4.685172942177228,0.6003623202849393
5,39,2022092900380,2022-09-30T02:39:19.411001498Z,HD185975,empty,1.85265435699633,0,0,0,-330.0791744335854,30.68971639369469,150.294869260188,1,HD185975,-6.4999999999999e-05,holo4_003,0.4878242885670148,187.4313976698275,0.0,30.68971639369469,176.2106597558359,864.1085995381625,597.2571590735706,0.06920730200458389,0.9103061985843108,287.6259317098766,2.883831908962618,1.0,1.85265435699633,4.709204991736422,2.4,2,2022-09-30T02:39:19.411001498Z,30.0,1.85265435699633,-87.4967911266424,-330.0791744335854,0,0,0,empty,150.294869260188,-416.9789001175637,84.10859953816247,593,1730,780,965,1137,185,2,22666.66666666667,-416.9789001175637,84.10859953816247,593,1730,780,965,2,22666.66666666667,1137,185,0.2628139718310768,0.0105503679694381,0.0929367303088651,0.2214445777574364,0.0105503679694381,0.0001261595953277,1.4202777777777778,380,30.01928569411547,4.151502548088841,345.1444485479518,0.27355341233457164,0.16278696410259233,16.40943109554183,0.0005159302052580231,2.1741958450854946,14.794269692692506,4.3317263433255295,0.27820895099354187,0.17534004270078762,0.001047993753900006,1.0937694862837388,9.654597104946234,4.7814228611255984,0.2730711252046998,0.4522639041176962,0.0008539301414112488,0.10708346505512148,6.116525391019912,5.6952841680277775,0.2737851949434077,0.4078206097361857,0.0006992132095513684,0.01367844049159758,4.376032167847391,0.6994898159394493
6,42,2022092900405,2022-09-30T02:58:22.901993752Z,HD185975,empty,1.85828331912387,0,0,0,-325.2738349587157,35.60128632761773,145.408916296988,1,HD185975,-6.4999999999999e-05,holo4_003,0.4632732956568945,187.3137107843507,0.0,35.60128632761773,162.5168281888602,868.0763246469487,597.2571590735706,0.1297498888296177,0.8320032064160586,234.8685349892481,9.765918224475238,1.0,1.85828331912387,4.514550469665211,2.4,2,2022-09-30T02:58:22.901993752Z,30.0,1.85828331912387,-87.4980255708538,-325.2738349587157,0,0,0,empty,145.408916296988,-417.9126659854929,84.07632464694873,580,1716,784,969,1136,185,2,22666.66666666667,-417.9126659854929,84.07632464694873,580,1716,784,969,2,22666.66666666667,1136,185,0.0194440616960825,0.0140501496444304,0.0957538874484858,0.0164037484108987,0.0140501496444304,0.0001299838250324,1.7380555555555555,405,63.421184192482585,4.651282573237329,336.10659052375007,1.0049874246445674,0.11820911769489917,11.66515552513238,0.0013297939957229307,1.48334093310477,30.729587104470333,4.59842169502762,1.007966576945524,0.13370205506252839,0.0027152457442354678,0.812890273184527,24.201710056149643,5.144525127298141,1.0045598050228102,0.37605984604084036,0.0025269589477289567,0.03551920906337211,13.172084935218582,5.575235491424921,1.0095457601620368,0.2949918460329008,0.0018655464433372617,0.05655185427149264,4.727606220035554,0.47822868418550685
7,43,2022092900406,2022-09-30T02:59:05.883999901Z,HD185975,empty,1.85850751528944,0,0,0,-325.0939760207176,35.78500652048827,145.408764378578,1,HD185975,-6.4999999999999e-05,holo4_003,0.4841672290134855,187.3232320200088,0.0,35.78500652048827,162.1550902642859,867.2358715301382,597.2571590735706,0.0851553915850891,0.6716221334983974,268.4764108490318,10.08879205659353,1.0,1.85850751528944,4.226295536440712,2.4,2,2022-09-30T02:59:05.883999901Z,30.0,1.85850751528944,-87.4980162364861,-325.0939760207176,0,0,0,empty,145.408764378578,-418.1924418460411,84.23587153013814,580,1716,783,968,1136,185,2,22666.66666666667,-418.1924418460411,84.23587153013814,580,1716,783,968,2,22666.66666666667,1136,185,0.0107632379956268,0.0063588497871849,0.1197125998449492,0.009080723006788,0.0063588497871849,0.0001625072573768,1.75,406,74.92009832319258,4.397447359320335,337.29850060277784,1.0033573417254453,0.11830680608031528,12.632140150349294,0.001437393111669258,1.9761235019601209,27.872642795774613,4.500000280920908,1.012312101888909,0.12673550661017016,0.0025760451243732776,0.8770110096008674,21.536677241776193,5.123443266837986,1.007735957271793,0.3543556351926229,0.0023959709207030393,0.02803116851096871,13.838254460093893,5.565522718164157,1.0116555941843308,0.30235109815111266,0.0019031165029577538,0.07665304139827364,4.56089913057895,0.5822691837520787
8,64,2022092900533,2022-09-30T04:27:28.111504469Z,HD185975,empty,1.89545284288275,0,0,0,-302.6762904539158,58.58524311417288,122.670346207793,1,HD185975,-6.4999999999999e-05,holo4_003,0.4821673480690171,187.390486152179,0.0,58.58524311417288,157.2712363023571,869.1657211275061,597.2571590735706,0.07494332965777421,0.1702403486322563,316.4817965386063,7.102729789069019,1.0,1.89545284288275,4.611156254595936,2.4,2,2022-09-30T04:27:28.111504469Z,30.0,1.89545284288275,-87.5140709333172,-302.6762904539158,0,0,0,empty,122.670346207793,-416.9994441482619,83.16572112750615,574,1711,786,971,1137,185,2,22666.66666666667,-416.9994441482619,83.16572112750615,574,1711,786,971,2,22666.66666666667,1137,185,0.0079625583521732,0.0102165582869623,0.0837907766138306,0.0067704696309292,0.0102165582869623,0.0001137441615888,3.222777777777778,533,55.22925214856047,3.3231159945578326,362.9051828098298,1.0176503441077915,0.08809486378982403,10.698390645560188,0.0012488886905490108,2.114915976600408,21.30681245840678,3.5326632990585747,1.033871351635224,0.09474769106948372,0.002302503775434986,0.9389877626913448,9.585182437235769,4.6906695366476985,1.0270157712017804,0.2338048658575828,0.0016617053920741963,0.07333213956544768,4.0099314735899245,4.722798119213353,1.0244539307147118,0.15734358117150019,0.001063607326449906,0.016329320714617734,3.674016644177473,0.7544265570992149
9,65,2022092900534,2022-09-30T04:28:10.934009942Z,HD185975,empty,1.89580596431407,0,0,0,-302.4973475407453,58.76649975176247,122.670401058265,1,HD185975,-6.4999999999999e-05,holo4_003,0.4807897167075544,187.3326572267061,0.0,58.76649975176247,158.0437786402499,868.8296214283093,597.2571590735706,0.08780974593456253,0.3166831819738747,277.6877717819301,8.031975913203414,1.0,1.89580596431407,4.815884910139,2.4,2,2022-09-30T04:28:10.934009942Z,30.0,1.89580596431407,-87.5140641007025,-302.4973475407453,0,0,0,empty,122.670401058265,-417.3031497004989,83.82962142830934,575,1712,785,970,1137,185,2,22666.66666666667,-417.3031497004989,83.82962142830934,575,1712,785,970,2,22666.66666666667,1137,185,0.0125926490983878,0.0119540080315859,0.1286395725772919,0.0107081539323187,0.0119540080315859,0.0001746254292091,3.234722222222222,534,48.3545480353251,3.653539780684069,347.08303730307455,1.0091211327116094,0.08977271339009675,9.943395837159313,0.0011634072465255428,1.5514761799739776,20.34181419104064,3.6757082838647355,1.0142808020857412,0.09364090499741898,0.002225148362626026,0.9413851006262757,11.942017283583771,4.553213169576845,1.0118406982778534,0.25938537338677153,0.0018400062356893805,0.062119020024674655,6.294806172473252,4.5778670369544034,1.0150790881122818,0.19713502092410914,0.001314286283661633,0.05055201896278885,3.7959217580938978,0.5521894167573859
