,index,exposure,spec_date_obs,spec_target_label,spec_filter_label,spec_airmass,spec_pressure,spec_temperature,spec_humidity,spec_hour_angle,spec_parallactic_angle,spec_camera_angle,spec_order,spec_header_target,spec_header_redshift,spec_header_grating,spec_header_rotangle,spec_header_d2ccd,spec_header_lshift,spec_header_parangle,spec_header_targetx,spec_header_targety,spec_header_lbda_ref,spec_header_pixshift,spec_header_psf_reg,spec_header_trace_r,spec_header_chi2_fit,spec_header_a2_fit,spec_header_am_fit,spec_header_meanfwhm,spec_header_version,spec_header_rebin,spec_header_date-obs,spec_header_exptime,spec_header_airmass,spec_header_dec,spec_header_ha,spec_header_outtemp,spec_header_outpress,spec_header_outhum,spec_header_filter,spec_header_cam_rot,spec_header_s_x0,spec_header_s_y0,spec_header_s_xmin,spec_header_s_xmax,spec_header_s_ymin,spec_header_s_ymax,spec_header_s_nx,spec_header_s_ny,spec_header_s_dec,spec_header_s_sat,spec_spectrogram_x0,spec_spectrogram_y0,spec_spectrogram_xmin,spec_spectrogram_xmax,spec_spectrogram_ymin,spec_spectrogram_ymax,spec_spectrogram_deg,spec_spectrogram_saturation,spec_spectrogram_Nx,spec_spectrogram_Ny,refhour,number,chi2_1,pwv_1,oz_1,grey_1,epwv_1,eoz_1,egrey_1,SNR_1,chi2_2,pwv_2,grey_2,epwv_2,egrey_2,SNR_2,chi2_3,pwv_3,grey_3,epwv_3,egrey_3,SNR_3,chi2_4,pwv_4,grey_4,epwv_4,egrey_4,SNR_4,pwv_avg,pwv_sig
0,1,2023051100155,2023-05-11T23:48:05.694491537Z,HD185975,empty,2.12609636466074,0,0,0,-150.5671715034685,-151.2568132036551,-17.42932799208802,1,HD185975,-6.4999999999999e-05,holo4_003,0.4983300026126447,187.3419228617251,0.0,-151.2568132036551,147.586992452717,877.5979354631621,597.2571590735706,0.07473158541476595,0.062006540264798,259.3345092355478,4.360418798254108,1.0,2.12609636466074,9.098178397525778,2.4,2,2023-05-11T23:48:05.694491537Z,30.0,2.12609636466074,-87.4551793518844,-150.5671715034685,0,0,0,empty,-17.42932799208802,-417.7569178681716,82.59793546316212,565,1702,795,980,1137,185,2,22666.66666666667,-417.7569178681716,82.59793546316212,565,1702,795,980,2,22666.66666666667,1137,185,0.0,155,27.76525727821046,5.945672031583791,353.71546112237843,1.002433413423968,0.10301071326526307,7.84829402162716,0.0010357616168962696,0.6320493510613812,11.540205530172043,6.11403788675669,1.016265824825559,0.11523822438020934,0.002019839476205192,0.1927619660019753,4.1884660258807775,7.916189240232254,1.0127828787222481,0.23206998079263122,0.0014460307986600151,0.13156771303792147,3.8536872692297135,7.666487153673418,1.0132715810811501,0.20988922264327362,0.001338727012825758,0.08880062594661836,6.364668861744046,1.0416718028454972
1,2,2023051100160,2023-05-11T23:52:01.599991556Z,HD185975,empty,2.12547651789768,0,0,0,-149.7184232003175,-150.4295891894418,-32.43847492128702,1,HD185975,-6.4999999999999e-05,holo4_003,0.5039071882728231,187.35104995897,0.0,-150.4295891894418,133.0059118675185,873.2029284097098,597.2571590735706,0.04453271363523045,0.2396762494177415,240.4142833687819,3.934228969057362,1.0,2.12547651789768,7.332804476077447,2.4,2,2023-05-11T23:52:01.599991556Z,30.0,2.12547651789768,-87.4431270508788,-149.7184232003175,0,0,0,empty,-32.43847492128702,-418.1614208503765,83.20292840970977,551,1687,790,975,1136,185,2,22666.66666666667,-418.1614208503765,83.20292840970977,551,1687,790,975,2,22666.66666666667,1136,185,0.06527777777777778,160,33.211859759422616,5.274765958197013,399.0924214651246,1.015313607344209,0.09932194560858272,8.4205583677086,0.0011213879735085107,1.4642650205097956,15.945476112978657,5.404371864266318,1.029254687692111,0.11384437117461726,0.0022889659512085594,0.5814900099194796,8.18223490646343,6.47146562614454,1.0192098984725422,0.27320828746145065,0.001850259087431619,0.07400256469738851,6.8109986369088995,7.245592854601917,1.0217303230330381,0.2565979713394169,0.0016748911088822517,0.04227571860523704,5.544981001246795,0.9802093570810075
2,3,2023051100163,2023-05-11T23:53:55.034507293Z,HD185975,empty,2.12405006524659,0,0,0,-149.1240512944415,-149.8449298003216,-17.42858228500802,1,HD185975,-6.4999999999999e-05,holo4_003,0.4829062700504074,187.3599348856399,0.0,-149.8449298003216,158.8151777939406,867.9188979177205,597.2571590735706,-0.00385816000946056,0.1324532136976545,248.5519540652861,6.125837605527762,1.0,2.12405006524659,8.355287948118171,2.4,2,2023-05-11T23:53:55.034507293Z,30.0,2.12405006524659,-87.454800636801,-149.1240512944415,0,0,0,empty,-17.42858228500802,-418.411148521236,82.9188979177205,577,1713,785,970,1136,185,2,22666.66666666667,-418.411148521236,82.9188979177205,577,1713,785,970,2,22666.66666666667,1136,185,0.09694444444444444,163,28.64875052882172,6.107821376540605,346.98577178793255,1.0057014689621333,0.11027793599971972,7.849316589785729,0.0010472482467052363,0.8126140669085125,15.670709201295944,6.189825294092681,1.0133915634313182,0.1330749339637033,0.0023302045778849137,0.45568836268413815,5.821367886891489,7.525400755826688,1.0140518476793507,0.2618096578545875,0.0016312401131096525,0.11071715394881497,5.361622720028338,7.320346228140439,1.0172056416090005,0.23415132371548536,0.0015190579599273486,0.08625469495715787,6.384324745295654,0.7570460401467533
3,13,2023051100203,2023-05-12T00:20:48.671994986Z,HD185975,empty,2.11347828604249,0,0,0,-142.4334592065404,-143.2951922272752,-25.51552837216502,1,HD185975,-6.4999999999999e-05,holo4_003,0.4761936885281046,187.3572800128727,0.0,-143.2951922272752,150.4608111822485,881.2174644640374,597.2571590735706,0.1390970618174668,0.3257898127053187,210.8912116693339,4.511436895473186,1.0,2.11347828604249,8.345485447437243,2.4,2,2023-05-12T00:20:48.671994986Z,30.0,2.11347828604249,-87.4493090963368,-142.4334592065404,0,0,0,empty,-25.51552837216502,-417.9053187774128,83.2174644640375,568,1705,798,983,1137,185,2,22666.66666666667,-417.9053187774128,83.2174644640375,568,1705,798,983,2,22666.66666666667,1137,185,0.545,203,28.879748627659897,5.485089464069625,336.22554062476405,1.0129699928651084,0.09467170658577578,7.890871599415634,0.001047700421347316,0.8715052120599263,15.149662554496725,5.5214724631319,1.0192628077784043,0.12125559256866777,0.0022621867292542557,0.4317787525289897,9.352232257930266,6.711275899894142,1.019011552845961,0.30591027472465165,0.002014438557884643,0.06770713212386574,9.08736462458185,7.026845922205844,1.0241987221956026,0.3038801731490939,0.0019756521475990173,0.014075853629977556,5.6455723567552125,0.8781794017900926
4,14,2023051100208,2023-05-12T00:25:00.275996890Z,HD185975,empty,2.11238762221875,0,0,0,-141.5391807038216,-142.4227117245582,-40.52207792093401,1,HD185975,-6.4999999999999e-05,holo4_003,0.4896861414467612,187.4195451405996,0.0,-142.4227117245582,113.1955274514028,874.4885015279739,597.2571590735706,-0.00168747785322892,3.52066740896847,164.9491935490584,5.450216265870556,1.0,2.11238762221875,7.560340271589429,2.4,2,2023-05-12T00:25:00.275996890Z,30.0,2.11238762221875,-87.4374427943151,-141.5391807038216,0,0,0,empty,-40.52207792093401,-417.8547089390294,83.48850152797384,531,1668,791,976,1137,185,2,22666.66666666667,-417.8547089390294,83.48850152797384,531,1668,791,976,2,22666.66666666667,1137,185,0.615,208,187.15507206624795,4.800547879611117,343.5809977997303,1.0105172684532002,0.2158863552720511,19.975995389652844,0.0026250206890765077,0.36074432984926785,69.7876667983973,4.906964364231016,1.0086004580275505,0.219713896638182,0.004662114547533409,0.38325207070530865,62.2899534925589,2.2954147312051996,0.9951886891113064,0.38667362023996465,0.004067547995297432,0.4782482456149272,49.091086452232794,4.604829375403747,1.0114969287217295,0.5439554470058391,0.004063251203086982,0.22616535120581382,4.509348570175163,1.135067727605056
5,15,2023051100211,2023-05-12T00:27:16.900995204Z,HD185975,empty,2.11062652822182,0,0,0,-140.8275084959125,-141.7214666678398,-25.51314990744299,1,HD185975,-6.4999999999999e-05,holo4_003,0.4763677720341104,187.3353726805922,0.0,-141.7214666678398,156.0893747322768,865.6257878232789,597.2571590735706,0.2059812258755915,0.2986242004776991,221.60229068103,3.926721952125461,1.0,2.11062652822182,7.818783750277346,2.4,2,2023-05-12T00:27:16.900995204Z,30.0,2.11062652822182,-87.4487464932971,-140.8275084959125,0,0,0,empty,-25.51314990744299,-417.6288310119711,83.62578782327886,574,1711,782,967,1137,185,2,22666.66666666667,-417.6288310119711,83.62578782327886,574,1711,782,967,2,22666.66666666667,1137,185,0.6530555555555555,211,33.43983368738565,5.095471975675228,344.15688840696095,1.0124035676385954,0.10107300383770709,8.470971895629711,0.001120815560328942,1.563317637405021,15.509984911811541,5.319419067029658,1.0286791969407052,0.11407573571339238,0.0022860437058325415,0.6084835183244158,9.976052789686129,6.656374132958772,1.0224800175392494,0.311375656480173,0.0020649402431190842,0.04493911192749323,8.10773591307263,7.24205686891624,1.0265052122626066,0.2832883756459808,0.0018547367912754272,0.05319021170606738,5.399543339049855,1.126205914259208
6,16,2023051100215,2023-05-12T00:30:20.002006062Z,HD185975,empty,2.10929672344649,0,0,0,-140.0716476796865,-140.9810148004534,-27.99049116834402,1,HD185975,-6.4999999999999e-05,holo4_003,0.4778714888839768,187.3514284406714,0.0,-140.9810148004534,148.9143063658761,878.4910167701343,597.2571590735706,0.127216684702643,0.2316727746151303,237.1284621007969,5.715696554494631,1.0,2.10929672344649,7.276621145764951,2.4,2,2023-05-12T00:30:20.002006062Z,30.0,2.10929672344649,-87.4471748881995,-140.0716476796865,0,0,0,empty,-27.99049116834402,-418.3710533529698,83.49101677013422,567,1703,795,980,1136,185,2,22666.66666666667,-418.3710533529698,83.49101677013422,567,1703,795,980,2,22666.66666666667,1136,185,0.7038888888888889,215,30.477247385724578,5.499992356119989,359.20548950645514,1.0083868792999695,0.09503338799234298,8.156787191891242,0.0010624996554269826,1.0945761373988387,16.161234824893995,5.697351443564967,1.0213151564824348,0.12234842878262861,0.002295274279099346,0.36805652173891756,9.355171272139865,7.034886194365518,1.0199132755813716,0.3065874009216423,0.0019696458473046946,0.07284507097558368,7.004632199536156,7.32512918974415,1.020495404235302,0.259016592927925,0.0016799235332187552,0.07533164355307621,5.77929105573515,1.006336990321577
7,17,2023051100220,2023-05-12T00:34:30.345005479Z,HD185975,empty,2.10810305278215,0,0,0,-139.1848531860075,-140.1155426111045,-43.00179535349298,1,HD185975,-6.4999999999999e-05,holo4_003,0.4896696521079287,187.6159898476072,0.0,-140.1155426111045,113.4455228104855,873.7465065882657,597.2571590735706,-6.3054260937707e-05,10.03604269020066,135.7767625582662,25.114994759119,1.0,2.10810305278215,7.873557450075719,2.4,2,2023-05-12T00:34:30.345005479Z,30.0,2.10810305278215,-87.4355001281274,-139.1848531860075,0,0,0,empty,-43.00179535349298,-417.0457914064148,82.74650658826569,532,1669,791,976,1137,185,2,22666.66666666667,-417.0457914064148,82.74650658826569,532,1669,791,976,2,22666.66666666667,1137,185,0.7733333333333333,220,524.4431472709114,4.353220891584872,265.61834051905583,0.9952141319343495,0.32526074515960796,33.52440244846664,0.00429110238568747,6.200890811929679,172.65243366937634,4.720488677436952,0.9824108333934303,0.3421605970801536,0.007215915486863157,1.6901433026431727,103.71128379980556,1.363952538782262,0.9860902459541554,0.3056406528628516,0.004688292322742452,0.6204254408926592,104.77762323343529,2.6899686623618266,1.0001055571984816,0.5497296716786507,0.0052320713316959915,0.49878323356724086,3.2795371227013947,1.3459377294505914
8,18,2023051100223,2023-05-12T00:36:44.758001017Z,HD185975,empty,2.10630574466459,0,0,0,-138.4753587629715,-139.4158799911889,-27.98885047259103,1,HD185975,-6.4999999999999e-05,holo4_003,0.5334651814596614,187.2803760227147,0.0,-139.4158799911889,161.9921028516559,857.6476084869684,597.2571590735706,1.608404127587492,1.455668553053261,162.0292581159137,14.36102983852127,1.0,2.10630574466459,14.59066313750271,2.4,2,2023-05-12T00:36:44.758001017Z,30.0,2.10630574466459,-87.4467081431967,-138.4753587629715,0,0,0,empty,-27.98885047259103,-416.7347043653675,81.64760848696834,577,1713,776,961,1136,185,2,22666.66666666667,-416.7347043653675,81.64760848696834,577,1713,776,961,2,22666.66666666667,1136,185,0.8108333333333333,223,85.98271170895747,5.464637323060443,334.20733098405583,0.9904063115781955,0.17706630471530355,14.247089564541357,0.0018428951902023085,0.19025062302003176,22.014837002911854,5.40673234101487,0.9886412276901525,0.1482466660130288,0.0028837859605122685,0.14756410961020572,39.453926341027746,3.8958120776872933,0.9891746745457004,0.5384680371226086,0.004203442993544159,0.07110793249031809,33.9662683920213,7.281923005444297,0.9967486634466332,0.7285205663010611,0.0045404905718996955,0.4496681020329113,5.408775644627332,1.2042491947714251
9,19,2023051100228,2023-05-12T00:40:22.965507207Z,HD185975,empty,2.1046197362597,0,0,0,-137.5822078981724,-138.540247245235,-30.51634007393699,1,HD185975,-6.4999999999999e-05,holo4_003,0.4752390769092992,187.354016178527,0.0,-138.540247245235,151.9844815964443,879.5053870966416,597.2571590735706,0.09786166230950065,0.119021385094866,232.5442221146187,5.85968995772388,1.0,2.1046197362597,8.356906876390173,2.4,2,2023-05-12T00:40:22.965507207Z,30.0,2.1046197362597,-87.4454580772205,-137.5822078981724,0,0,0,empty,-30.51634007393699,-418.3652992633205,83.50538709664157,570,1706,796,981,1136,185,2,22666.66666666667,-418.3652992633205,83.50538709664157,570,1706,796,981,2,22666.66666666667,1136,185,0.8713888888888889,228,27.869383143029264,5.691673010644802,353.5079267577895,1.0139702781325706,0.09787233226854115,7.834943003606706,0.0010272403184550772,0.9348534332656757,23.30860908732336,6.133563927011985,1.0359577565141147,0.15601488498012497,0.0028072491081294533,0.20048818634858045,6.478665308227104,7.281533282178391,1.020628422943107,0.265678719633779,0.0016985505534261266,0.08805166193677316,5.457459442196408,7.4605220963109895,1.0246387674029083,0.23388419322238818,0.00152170376755167,0.07487594289999265,6.1020362694763275,0.922779624568112
