,X(mm),Y(mm),degré,tag,Xpix,Ypix,Neff,Nefferr,NarrowScan
0,-6.8343319080007205,-13.536706023815501,0.3048386627693688,248,-683.433190800072,-1353.67060238155,151.5656107402997,0.14768752146084896,False
1,-5.879630922147758,-12.273796351261696,0.2879492138785674,249,-587.9630922147758,-1227.3796351261694,152.00593820254795,0.10836646509498904,False
2,-16.641819753368384,-1.3258055933418653,0.1625261552439391,250,-1664.1819753368384,-132.58055933418655,151.96837611576572,0.09319680967445086,False
3,-16.236803432045615,-1.3269000543042964,0.1936245631809187,251,-1623.6803432045617,-132.69000543042944,152.01263280744809,0.10835333251696869,False
4,-16.35892156321666,-1.439759225384453,0.1757628832931918,252,-1635.8921563216663,-143.97592253844527,152.01151517220606,0.11611832288807805,False
5,1.0100092321128038,-18.228816092828968,0.3497196924968093,265,101.00092321128022,-1822.8816092828968,154.0391088967869,0.2255241205133006,False
6,1.0196908084715588,-12.220971483683607,0.2266286127187806,266,101.96908084715596,-1222.0971483683606,154.0524486596971,0.18096175317307733,False
7,1.1142300314914024,-6.190285889318897,0.1266928600292558,267,111.42300314914019,-619.0285889318895,155.2666129994101,0.21205356163388714,False
8,1.1627607005988772,-0.1227685326021195,0.05239577202720427,268,116.27607005988784,-12.276853260211965,155.888396467415,0.22298832991087816,False
9,1.1982346933808827,5.940730702965119,-0.01968741855668633,269,119.82346933808822,594.073070296512,151.77508500393358,0.16492694563884525,False
10,1.2762601248807606,12.012332287729137,-0.4724407411826523,270,127.62601248807596,1201.2332287729141,150.81662320664486,0.17555951288311689,False
11,-5.161435500870262,-13.334370551352228,0.1317818181503024,272,-516.1435500870261,-1333.4370551352226,151.34172610934408,0.12524854752204084,False
12,-5.022700247676347,-7.269628411516361,0.04946679404083792,273,-502.2700247676348,-726.962841151636,151.36567365279387,0.12055538937884763,False
13,-5.082953421407071,-1.1925284439226296,-0.03187377825905151,274,-508.29534214070713,-119.25284439226289,152.17413958454952,0.1309390400281521,False
14,-4.900590211482909,10.935294245636559,-0.03598401487272559,276,-490.05902114829087,1093.529424563656,155.74011097741436,0.18883359543644676,False
15,-11.467857406591538,-14.405115026107072,-0.04413054414018409,278,-1146.7857406591538,-1440.5115026107069,152.0699525618234,0.10357376387685369,False
16,-11.414768544616791,-8.33637472842269,-0.05796245473949785,279,-1141.476854461679,-833.6374728422688,152.09375041750684,0.1230403917271251,False
17,-11.390139786231508,-2.2829712598543495,-0.1092024675435306,280,-1139.0139786231507,-228.29712598543483,152.28406803212573,0.09519074387375316,False
18,-11.32503166778038,9.86509402418158,-0.1895797585832149,282,-1132.5031667780381,986.5094024181581,152.0328472766903,0.1232287693425566,False
19,-17.701431631684905,-15.436812613754963,-0.1750913132962378,284,-1770.1431631684904,-1543.6812613754962,157.79166121155689,0.10945518233071765,False
20,-17.754264493485966,-9.380841566617898,-0.1438295924954858,285,-1775.4264493485966,-938.0841566617896,151.94147107429788,0.10454125153354296,False
21,-17.778665357186892,-3.298009440793223,-0.1473108574283984,286,-1777.8665357186892,-329.8009440793221,152.08979049880367,0.10259518130595226,False
22,-17.720478965187656,2.7922272470121356,-0.1439657908725942,287,-1772.0478965187656,279.2227247012138,152.4628663311817,0.11372208781797018,False
23,-17.746775557382552,8.888498826465462,-0.1346599892810647,288,-1774.6775557382553,888.8498826465461,152.154778507928,0.10234776719187744,False
24,-17.685871645330703,14.628447029016662,-0.125815334603744,289,-1768.58716453307,1462.844702901666,0.0,0.0,False
25,-17.002933268306755,1.6491854573151024,-0.1589298455341072,290,-1700.2933268306754,164.91854573151022,151.98197868954642,0.12121461174220165,False
26,-17.12203565266119,2.32439941998636,0.04793400730243791,291,-1712.2035652661189,232.4399419986362,152.0467195731177,0.14165096814588032,False
27,-12.306050527558437,-18.109928120376935,-0.1174730821563788,296,-1230.6050527558436,-1810.9928120376935,151.8715862216874,0.10551430398359501,False
28,-12.347208997921818,-17.19628021603447,-0.1181437436335005,297,-1234.720899792182,-1719.6280216034468,151.97789851413958,0.1251530014848004,False
29,-12.301107358271452,-16.25496904328832,-0.1240883604818206,298,-1230.1107358271452,-1625.4969043288318,151.6539673010244,0.12146805935781933,False
30,-13.680905074117227,-18.848642807910753,-0.1367006901184345,303,-1368.0905074117227,-1884.864280791075,151.1502515658681,0.13224356146175387,False
31,-13.620197745526877,-17.884238212454232,-0.1558371575928806,304,-1362.0197745526877,-1788.423821245423,151.71166361260208,0.11077747236965829,False
32,-13.726429803063212,-16.944743335715362,-0.1567042711177194,305,-1372.642980306321,-1694.4743335715361,151.48158448434984,0.12524709670669532,False
33,-15.002568008042825,-0.7069259724407644,-0.1627849933101447,317,-1500.2568008042824,-70.6925972440763,152.04701860253593,0.1177096401923902,True
34,-15.0183907986796,0.30265929280103876,-0.1902530991171013,318,-1501.83907986796,30.265929280104046,152.13167843209777,0.12271861683635733,True
35,-14.982935800770694,1.2719121169313397,-0.1682068710089483,319,-1498.2935800770695,127.19121169313394,152.2975699134284,0.10707520694721014,True
36,-14.951199524692374,2.27246845228958,-0.1666997048688952,320,-1495.1199524692374,227.24684522895814,152.09340091909618,0.11770867642435777,True
