DATE-OBS,id,BITPIX,NAXIS,NAXIS1,NAXIS2,EXTEND,TARGET,REDSHIFT,GRATING,ROTANGLE,D2CCD,LSHIFT,PARANGLE,TARGETX,TARGETY,LBDA_REF,PSF_REG,TRACE_R,MEANFWHM,PIXSHIFT,CHI2_FIT,A2_FIT,AM_FIT,VERSION,CCD_REBIN,CONFIG,EXPTIME,AIRMASS,DEC,HA,OUTTEMP,OUTPRESS,OUTHUM,FILTER,CAM_ROT,S_X0,S_Y0,S_XMIN,S_XMAX,S_YMIN,S_YMAX,S_NX,S_NY,S_DEG,S_SAT,S_ORDER,A1_x,A1_err_x,A2_x,A2_err_x,A3,A3_err,VAOD_x,VAOD_err_x,angstrom_exp_x,angstrom_exp_err_x,ozone [db]_x,ozone [db]_err_x,PWV [mm]_x,PWV [mm]_err_x,D_CCD [mm]_x,D_CCD [mm]_err_x,shift_x [pix],shift_x [pix]_err,shift_y [pix],shift_y [pix]_err,angle [deg],angle [deg]_err,B_x,B_err_x,A_star,A_star_err,x_c_0_1,x_c_0_1_err,x_c_1_1,x_c_1_1_err,x_c_2_1,x_c_2_1_err,y_c_0_1,y_c_0_1_err,y_c_1_1,y_c_1_1_err,y_c_2_1,y_c_2_1_err,gamma_0_1,gamma_0_1_err,gamma_1_1,gamma_1_1_err,gamma_2_1,gamma_2_1_err,alpha_0_1,alpha_0_1_err,alpha_1_1,alpha_1_1_err,alpha_2_1,alpha_2_1_err,saturation_0_1,saturation_0_1_err,x_c_0_2,x_c_0_2_err,x_c_1_2,x_c_1_2_err,x_c_2_2,x_c_2_2_err,y_c_0_2,y_c_0_2_err,y_c_1_2,y_c_1_2_err,y_c_2_2,y_c_2_2_err,gamma_0_2,gamma_0_2_err,gamma_1_2,gamma_1_2_err,gamma_2_2,gamma_2_2_err,alpha_0_2,alpha_0_2_err,alpha_1_2,alpha_1_2_err,alpha_2_2,alpha_2_2_err,saturation_0_2,saturation_0_2_err,x_c_0_3,x_c_0_3_err,x_c_1_3,x_c_1_3_err,x_c_2_3,x_c_2_3_err,y_c_0_3,y_c_0_3_err,y_c_1_3,y_c_1_3_err,y_c_2_3,y_c_2_3_err,gamma_0_3,gamma_0_3_err,gamma_1_3,gamma_1_3_err,gamma_2_3,gamma_2_3_err,alpha_0_3,alpha_0_3_err,alpha_1_3,alpha_1_3_err,alpha_2_3,alpha_2_3_err,saturation_0_3,saturation_0_3_err,A1_y,A1_err_y,A2_y,A2_err_y,VAOD_y,VAOD_err_y,angstrom_exp_y,angstrom_exp_err_y,ozone [db]_y,ozone [db]_err_y,PWV [mm]_y,PWV [mm]_err_y,reso [nm],reso [nm]_err,D_CCD [mm]_y,D_CCD [mm]_err_y,alpha_pix [pix],alpha_pix [pix]_err,B_y,B_err_y,filtered
2023-09-28 00:17:22.483504618+00:00,2023092700216,-64,2,1137,3,True,HD200654,-0.000149,holo4_003,0.15673965797224834,187.32592701502873,0.0,-38.985743255732324,153.43950319814255,873.8475268983451,622.856492438725,1.355969746662523,55.63943318222081,8.409891796754442,0.07859171736010916,0.5187849165769521,0.0,1.08926252109872,3.1.0,2,,10.0,1.08926252109872,-49.9599090723084,-376.8292907062444,8.35000038146973,741.0499877929691,30.2124996185303,empty,219.5348730305073,-417.8639350481438,19.847526898345095,569,1706,854,899,1137,45,2,68000.0,1,0.7340051492183945,0.001529664812366243,1.0,0.0,0.0,0.0,0.014912266384230275,0.0022962425489131215,3.0,0.4189796349508231,338.8604465505837,11.444812335885386,3.1169374261579175,0.07472657955772716,187.35739331098478,0.014030295120236489,0.21873024700725105,0.022866748107046538,0.5821511628338163,0.0,0.16647989618776377,0.0,1.0,0.0,1.0,0.0,985.9423075516377,0.0,568.0059070747118,0.0,-0.005858602321875169,0.0,-0.2081919020696198,0.0028000346767832417,-0.11589774674132418,0.01341666558347947,1.2502507312161895,0.024009038523472838,6.586500741565046,0.018341698881719565,-2.2436153736653486,0.05163353653931649,3.084857991018801,0.122657948163205,2.2719747960873007,0.006031097567510939,-0.22096852608283038,0.019143242296897248,0.825347401331452,0.04450067457478263,67999.99999999994,0.0,985.9423075516377,0.0,568.0059070747118,0.0,-0.005858602321875169,0.0,9.015876370987385,0.9059432836838844,31.27398860382329,3.0798221058707402,25.889017546931424,2.530059408849434,5.281456160726989,0.11906268730540617,0.0,0.0,0.0,0.0,1.5243232458446019,0.01355580982475359,0.0,0.0,0.0,0.0,67999.99999999994,0.0,985.9423075516377,0.0,568.0059070747118,0.0,-0.005858602321875169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.635174716030105,0.0,0.0,0.0,0.0,0.0,2.2881232722015263,0.0,0.0,0.0,0.0,0.0,67999.99999999994,0.0,0.7290168962083101,0.0027919300666717694,0.0,0.0,0.00795744252125527,0.004947659870523288,3.0,2.3746198263244853,405.25917499178,20.41641781654962,4.46675824613569,0.09347355256537349,1.1788701691838053,0.05061186839002079,187.32994550447435,0.011312496968048282,0.07859171736010916,0.0,0.0,0.0,True
2023-09-28 00:30:05.168006009+00:00,2023092700238,-64,2,1136,3,True,HD200654,-0.000149,holo4_003,0.10756473310429011,186.0,0.0,-32.57076504555111,282.68794067872517,916.501517605233,622.856492438725,66.25978159041495,42.30889299781938,6.637488770838064,0.0,0.541153608132977,0.0,1.07960888044113,3.1.0,2,,10.0,1.07960888044113,-49.9643324315613,-373.6343800889327,8.55000019073486,741.2000122070309,29.1499996185303,empty,219.53506839404798,-418.31205932127483,28.50151760523299,701,1837,888,933,1136,45,2,68000.0,1,0.14891135302909073,0.011429726994645083,1.0,0.0,0.0,0.0,0.09067960397557753,0.05749214752976004,0.0,0.0,173.3113657729359,110.17984516644984,1.507162393708819,0.4698096680068314,187.4092781069715,0.265971798284288,1.9979457004442411,1.0282597967383131,10.0,0.0,-0.1754633090945985,0.0,1.0,0.0,1.0,0.0,985.8375567417256,0.0,567.472840570513,0.0,0.015937479551198428,0.0,2.742466974585692,0.005562695600802001,1.0068665803432388,0.023592300177319375,-0.28640080450170463,0.0409427140722427,5.574125006192576,0.022444856301992257,4.686437040655394,0.04839507038395202,1.7785185611400838,0.0750224608493717,1.2780742098659699,0.003520052313920538,0.21392827913070164,0.005098502357666819,0.1203937561774106,0.006523984438918,67999.99999999978,0.0,985.8375567417256,0.0,567.472840570513,0.0,0.015937479551198428,0.0,27.808029036979356,1.456134679733739,97.64548231121869,5.212969434004369,80.22561875920465,4.458165669355078,14.838891298742608,0.40095074749682164,0.0,0.0,0.0,0.0,1.9188269693948652,0.04280302378369074,0.0,0.0,0.0,0.0,67999.99999999978,0.0,985.8375567417256,0.0,567.472840570513,0.0,0.015937479551198428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.258565213113368,0.0,0.0,0.0,0.0,0.0,1.460992994683393,0.0,0.0,0.0,0.0,0.0,67999.99999999978,0.0,0.24784845715729714,0.0005365131245135296,0.0,0.0,0.0,0.0,3.0,0.0,600.0,0.0,10.0,0.0,0.1,0.0,186.11672605520724,0.0,0.0,0.0,0.0,0.0,False
2023-09-28 01:09:07.731001435+00:00,2023092700282,-64,2,1137,3,True,HD185975,-6.5e-05,holo4_003,0.1397736565815929,187.09913009127982,0.0,5.789457587006142,159.97472940590876,876.9933330967359,619.6434547793207,8.662136038004398,50.66602259596581,9.964456388573609,1.1284983063709824,36.23496615370649,0.0,1.83707260459048,3.1.0,2,,60.0,1.83707260459048,-87.4678753921719,-354.3650366419858,8.19999980926514,741.2000122070309,31.1499996185303,empty,174.74453089581948,-416.52890634767806,18.993333096735938,573,1710,858,903,1137,45,2,11333.333333333334,1,0.7027200784652613,0.0025535358780782802,1.0,0.0,0.0,0.0,0.0,0.0020246273595354225,0.098521596158897,0.0,285.9859651416261,1.2837660303992846,2.5131053935804637,0.011437698955814205,187.1306888405077,0.005086833610082263,0.31196515106384815,0.022488371219460474,0.12327511273352262,0.0,0.13849179486106744,0.0,1.0,0.0,1.0,0.0,985.6611638912912,0.0,568.0192093587864,0.0,-0.01894156330679197,0.0,-0.13537387330954298,0.0005266894877236291,-0.06790495010452074,0.001439481664756963,0.9130264467812665,0.003184174218208505,7.744348524236263,0.003893620550963009,-2.0000111952485504,0.010484158668270847,3.162885184592308,0.025325565112529536,2.5280270672594423,0.0012231583671135713,-0.14739005109265715,0.0036783678165121436,0.8499230511632216,0.008776189032621198,11333.33333333337,0.0,985.6611638912912,0.0,568.0192093587864,0.0,-0.01894156330679197,0.0,1.5760167993464753,0.14463238695191752,0.8800729283186411,0.483632502222947,-1.5855643347325217,0.3989787706936212,6.998667872413373,0.025756108637796173,0.0,0.0,0.0,0.0,1.9224221668223707,0.005780394104843603,0.0,0.0,0.0,0.0,11333.33333333337,0.0,985.6611638912912,0.0,568.0192093587864,0.0,-0.01894156330679197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.454151997436725,0.0,0.0,0.0,0.0,0.0,9.057341440453307,0.0,0.0,0.0,0.0,0.0,11333.33333333337,0.0,0.8429661096805332,1.0657857994969795,0.0,0.0,0.09951063323082641,0.6914173060816099,0.17262127594518578,1.2929100326384373,384.23838781043787,12.105056054360249,4.984134951148796,0.0951932234860753,1.0232778428934173,0.03135696506161156,187.09850822088038,0.005137240828607865,1.1284983063709824,0.0,0.0,0.0,True
2023-09-28 01:10:20.660995968+00:00,2023092700283,-64,2,1137,3,True,HD185975,-6.5e-05,holo4_003,0.12974367194627992,187.06323541902515,0.0,6.104044389185521,160.42620741870698,877.1457815458194,619.6434547793207,0.9952621773040067,55.38312912595943,8.716418472225627,1.1153221282977965,1.5667417125512682,0.0,1.83710176298451,3.1.0,2,,60.0,1.83710176298451,-87.467874855456,-354.05881061755895,8.22500038146973,741.2000122070309,30.9500007629395,empty,174.74318726275732,-415.9791184839776,19.145781545819403,573,1710,858,903,1137,45,2,11333.333333333334,1,0.7065314165740819,0.00018755019370484468,1.0,0.0,0.0,0.0,0.0006313079224465522,0.0001706771535446334,3.0,0.0,302.7213661364479,1.2410217116851772,2.5055161253612863,0.011397339005175281,186.99196663753088,0.005081635190075354,1.3727194109262593,0.024635213057683243,-0.18214360636482663,0.0,0.144184878503913,0.0,1.0,0.0,1.0,0.0,985.09816471273,0.0,568.0178671100113,0.0,-0.017637259740657565,0.0,-0.1736416695739716,0.0005172665765572144,-0.17216923604506382,0.0014521908904800696,0.9318484474066069,0.003130806588472427,7.226556209061018,0.0038310170761655443,-2.643457265004424,0.009865727267904828,2.232951325941482,0.024782584104892185,2.4578942781403654,0.0012457115592181386,-0.4225592586902883,0.0034242783819973866,0.48383174353687863,0.008599081725059448,11333.33333333337,0.0,985.09816471273,0.0,568.0178671100113,0.0,-0.017637259740657565,0.0,1.4214517073735815,0.18351127533253941,1.1622964391152697,0.6066025056237512,0.24600582985818517,0.4934388045816476,6.937322225261571,0.029075021169513156,0.0,0.0,0.0,0.0,1.9992350026085177,0.0073160481265251865,0.0,0.0,0.0,0.0,11333.33333333337,0.0,985.09816471273,0.0,568.0178671100113,0.0,-0.017637259740657565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.248035474247214,0.0,0.0,0.0,0.0,0.0,2.4663143653059225,0.0,0.0,0.0,0.0,0.0,11333.33333333337,0.0,0.7067599442820706,0.0006391464778551233,0.0,0.0,0.0022709413334338325,0.0005727900996687041,3.0,0.0,289.6458342027701,6.10273667843091,2.5400986794649407,0.02904984875055392,2.3114332616740305,0.04062475467849731,186.98909004341033,0.006061136183789594,1.1153221282977965,0.0,0.0,0.0,True
2023-09-28 01:17:58.019506853+00:00,2023092700290,-64,2,1136,3,True,HD200654,-0.000149,holo4_003,0.16129001485714917,187.1062979111714,0.0,-4.197497815318725,157.65388524117364,873.2566810555502,622.856492438725,14.563484775012444,106.43878479925777,9.227982679840038,1.1642724277836956,0.8537146819927987,0.0,1.06165209982741,3.1.0,2,,60.0,1.06165209982741,-49.9609806143708,-361.6410512158369,8.47500038146973,741.2000122070309,29.4249992370605,empty,184.950388127085,-416.95519393479293,20.25668105555019,571,1707,853,898,1136,45,2,11333.333333333334,1,0.7381564272153617,0.0007094180667934302,1.0,0.0,0.0,0.0,0.004311670860323353,0.0010138509899898106,1.4096102285866303,0.0,322.12795667695184,3.6877918254462436,2.2897150956016272,0.022553241313671434,187.04733157932773,0.012663311374098402,1.3265322714957752,0.06283131333418296,0.6691395733165971,0.0,0.16778675571935067,0.0,1.0,0.0,1.0,0.0,985.6190079970826,0.0,567.5049960747253,0.0,-0.004959720485456629,0.0,-0.20113026432434492,0.001214151520700593,0.05569952778582668,0.005838860734915579,1.454528331073503,0.009418861475428475,7.25357516858205,0.006713326319390425,-2.3895876868125057,0.019428031497709827,2.2579421947533818,0.043593470488244544,2.259845102710999,0.0018675977344389957,-0.2419860783457721,0.006091990506486269,0.40632418991655034,0.013212433559880396,11333.333333333369,0.0,985.6190079970826,0.0,567.5049960747253,0.0,-0.004959720485456629,0.0,11.495073244612604,0.3363047617465669,41.444285470648694,1.119104024613924,34.494491179542415,0.9069206746742995,5.600668924007395,0.04046843046536111,0.0,0.0,0.0,0.0,1.600558608459966,0.006311003603088786,0.0,0.0,0.0,0.0,11333.333333333369,0.0,985.6190079970826,0.0,567.5049960747253,0.0,-0.004959720485456629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.33944487696149,0.0,0.0,0.0,0.0,0.0,2.283614660935582,0.0,0.0,0.0,0.0,0.0,11333.333333333369,0.0,0.7326889833058023,0.0007263280642549166,0.0,0.0,0.0020844809114235366,0.0010293986324821892,3.0,0.0,273.71701752889805,10.8933643624823,2.5121212279817806,0.04369475536304677,2.6104343334079005,0.06373387639613659,186.78086757700464,0.010389564751818459,1.1642724277836956,0.0,0.0,0.0,True
2023-09-28 01:19:11.107990687+00:00,2023092700291,-64,2,1137,3,True,HD200654,-0.000149,holo4_003,0.15825032440520484,187.1240713071785,0.0,-3.4179446579071815,159.49331493511593,873.8899997204742,622.856492438725,9.102981779915227,116.71573167735393,8.768798890262923,1.1363366571392222,0.8918594984805743,0.0,1.06154676232075,3.1.0,2,,60.0,1.06154676232075,-49.9609776114741,-361.3357714440609,8.58749961853027,741.2000122070309,28.6375007629395,empty,184.95046623005362,-416.05973863594045,19.88999972047415,572,1709,854,899,1137,45,2,11333.333333333334,1,0.7310792807496411,0.0007710109524228319,1.0,0.0,0.0,0.0,0.0,0.0011655527330013057,1.1985776321361068,0.0,321.9855661062538,3.897876661680307,2.1639543446830225,0.02106105772493234,186.99486276498,0.012121308850242235,1.8637086591998555,0.06109838307726201,0.6846626737220277,0.0,0.16738314863326798,0.0,1.0,0.0,1.0,0.0,985.195509158649,0.0,568.0048889472798,0.0,-0.004871404907200429,0.0,-0.19809062558709442,0.001058695595607229,0.09666976300973157,0.0045378494601791275,1.5517629343211679,0.007618189654482912,6.871861163105524,0.0061554179092106346,-2.1412426022090107,0.018173056191987814,2.077518417649831,0.04051606848469463,2.2935213200129057,0.001820043546396566,-0.2147946988449058,0.005908980066832973,0.37762549633059267,0.012901989231045269,11333.333333333392,0.0,985.195509158649,0.0,568.0048889472798,0.0,-0.004871404907200429,0.0,10.583585800887422,0.29068125290958785,38.96900948411447,0.9650509329704601,32.478027434035646,0.7845157464934251,4.6275715974311975,0.027641131264199658,0.0,0.0,0.0,0.0,1.5441081784669353,0.005168018396143995,0.0,0.0,0.0,0.0,11333.333333333392,0.0,985.195509158649,0.0,568.0048889472798,0.0,-0.004871404907200429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.93813156207196,0.0,0.0,0.0,0.0,0.0,2.310276623970778,0.0,0.0,0.0,0.0,0.0,11333.333333333392,0.0,0.7298101983306673,0.0007110234846558869,0.0,0.0,0.003355102699147237,0.0010761515365939178,3.0,0.0,235.85163396810574,10.802060412198333,2.462106621811497,0.04114448281162128,2.23487255968511,0.057457744490579034,186.95014778391504,0.009341846151794213,1.1363366571392222,0.0,0.0,0.0,True
2023-09-28 01:26:38.285000941+00:00,2023092700298,-64,2,1137,3,True,HD160617,0.000335,holo4_003,0.14569164028777937,187.44054905774914,0.0,93.02983744604022,145.0490257592685,872.6980775714047,599.3903840662359,0.18704129469356534,52.48189520880226,9.584881880575146,0.06775602230590097,1.2692024607326884,0.0,1.35193009732497,3.1.0,2,,60.0,1.35193009732497,-40.326026860045,-308.52818550534477,8.64999961853027,741.2000122070309,28.375,empty,87.16284299686299,-417.1465832184964,19.69807757140471,562,1699,853,898,1137,45,2,11333.333333333334,1,0.7527293025027288,0.0003715219125674043,1.0,0.0,0.0,0.0,0.023244226151565232,0.000367633822357587,2.633680645697027,0.0,335.1570799387523,2.5762708465767856,2.0873224799922743,0.017706725669975446,187.38610259786486,0.005584475617116758,0.04834658190365164,0.00571697519045846,0.07550079507644897,0.0,0.16240771233187734,0.0,1.0,0.0,1.0,0.0,985.2168544985686,0.0,568.011804882889,0.0,-0.011629604731987746,0.0,-0.25695892849130464,0.0008803394183605699,-0.2005078262558572,0.00284043314247011,1.1112910359061672,0.005649451895936917,7.586247989273864,0.006577477636106823,-2.183286615923238,0.017048632283182635,4.032027785037315,0.03781621405785531,2.3253715444506873,0.0019065227997356116,-0.0674796809604618,0.005820422385161077,1.0995417448840004,0.012316326530995196,11333.33333333337,0.0,985.2168544985686,0.0,568.011804882889,0.0,-0.011629604731987746,0.0,4.890439469876257,0.22398069994620173,13.674924666745428,0.7432961811182134,8.168221375590539,0.6063270178737457,7.704058814847443,0.039138960540323994,0.0,0.0,0.0,0.0,1.8104727976832597,0.006665224598360298,0.0,0.0,0.0,0.0,11333.33333333337,0.0,985.2168544985686,0.0,568.011804882889,0.0,-0.011629604731987746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.646102684700851,0.0,0.0,0.0,0.0,0.0,2.3444600657308006,0.0,0.0,0.0,0.0,0.0,11333.33333333337,0.0,0.7531976278734986,0.0006909547754404444,0.0,0.0,0.025788971053669243,0.0007615124214177655,3.0,0.0,339.2366551801361,8.38859473560486,2.0507518727439127,0.03414559485104168,1.521405222673301,0.06399245493968038,187.36000284000588,0.008526092146288914,0.06775602230590097,0.0,0.0,0.0,True
2023-09-28 01:27:51.248994256+00:00,2023092700299,-64,2,1137,3,True,HD160617,0.000335,holo4_003,0.05673645042879412,187.02428527290687,0.0,93.21337917208673,148.5336224374405,874.9983175785383,599.3903840662359,4.492623246702942,49.65072020084307,9.572286589958814,1.112744092275088,19.496775221338865,0.0,1.35693404498918,3.1.0,2,,60.0,1.35693404498918,-40.3260241147811,-308.2233841277673,8.625,741.2000122070309,28.1124992370605,empty,87.16282240553599,-416.8082995386262,20.99831757853832,563,1700,854,899,1137,45,2,11333.333333333334,1,0.7453472607668817,0.0004579106627684278,1.0,0.0,0.0,0.0,0.015584312546067205,0.0005409625579133079,2.9426386096698463,0.11811135763838872,362.25759157446794,2.780430268700092,1.9084452515637977,0.016622679055067754,186.95046527359662,0.011051094661418688,1.520564463509749,0.054384163683091215,0.21557709765710945,0.0,0.15164447350833687,0.0,1.0,0.0,1.0,0.0,985.9217890160376,0.0,568.0038106622126,0.0,-0.004043632616268845,0.0,-0.20302794554898698,0.0008660891256047999,-0.13860881764840552,0.0028500849710780857,1.0827411419098036,0.0056431636269068195,7.646617058291984,0.006133324391091468,-1.9751136876760333,0.016874848835005646,4.409000018379291,0.03860579514551382,2.394998258851416,0.0018229471815265194,-0.0341876680201639,0.005999670134734348,1.2970863775263357,0.013287058400479864,11333.333333333392,0.0,985.9217890160376,0.0,568.0038106622126,0.0,-0.004043632616268845,0.0,6.858442522924134,0.21607865871634127,19.415811851190092,0.7159585255055319,12.899826467030948,0.5830536845004162,7.6426496417124765,0.037084969726438634,0.0,0.0,0.0,0.0,1.8376142571527978,0.0062955364253941045,0.0,0.0,0.0,0.0,11333.333333333392,0.0,985.9217890160376,0.0,568.0038106622126,0.0,-0.004043632616268845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.168041372953073,0.0,0.0,0.0,0.0,0.0,6.391467633894677,0.0,0.0,0.0,0.0,0.0,11333.333333333392,0.0,0.6998228922267918,0.0010323163827253776,0.0,0.0,0.0,0.0013510351186725269,3.0,0.0,444.11860240142596,9.501659263328925,1.1024402341102402,0.04433580318822949,3.1282325748693043,0.2038881688005007,187.34308388018735,0.026380994032542307,1.112744092275088,0.0,0.0,0.0,False
2023-09-28 01:40:32.120491504+00:00,2023092700309,-64,2,1137,3,True,HD167060,5.1e-05,holo4_003,0.1522068139136115,187.1775446315165,0.0,65.24735260452098,154.62642738510894,874.873106818269,613.940946961559,59.636233165946365,74.91436010051636,13.242201450163291,1.2167511743461503,1.3769624431489063,0.0,1.36992910794979,3.1.0,2,,60.0,1.36992910794979,-61.7096942131429,-313.77829486217024,8.38749980926514,741.2000122070309,29.75,empty,114.995139001827,-416.07165233207286,19.87310681826898,567,1704,855,900,1137,45,2,11333.333333333334,1,0.7223938429051225,0.0007267792519467977,1.0,0.0,0.0,0.0,0.0,0.000854131943277581,1.2089158888265361,0.0,308.51112924791823,2.7341165240640675,1.9257976952305198,0.020034016948351867,187.03544918889918,0.010680932237745239,1.0622954104237654,0.043200967050768174,0.12261375703036405,0.0,0.16124078864123062,0.0,1.0,0.0,1.0,0.0,985.2908686751531,0.0,568.0127339961358,0.0,-0.012560703868789309,0.0,-0.21128298755923489,0.0012381027976002803,0.024280510183361897,0.0045795345225255945,1.461543163608555,0.009138603277719416,11.253056627484094,0.011631243316555653,-4.00165805482975,0.03243943269925407,3.5655855244377883,0.07356812107578424,2.5795738324790602,0.0028066252812084546,-0.3058575494458553,0.008581522295436116,0.7204645663845656,0.019250131223077935,11333.333333333392,0.0,985.2908686751531,0.0,568.0127339961358,0.0,-0.012560703868789309,0.0,5.693989183739226,0.47331464802694806,19.03062054459095,1.5603212920594745,11.83942464854254,1.2699622311488759,8.26161355316661,0.046021339642782357,0.0,0.0,0.0,0.0,1.670252210703511,0.006088329974054945,0.0,0.0,0.0,0.0,11333.333333333392,0.0,985.2908686751531,0.0,568.0127339961358,0.0,-0.012560703868789309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.458867188871556,0.0,0.0,0.0,0.0,0.0,2.6311993747139164,0.0,0.0,0.0,0.0,0.0,11333.333333333392,0.0,0.8329312259625322,0.0009572670113466458,0.0,0.0,0.1,0.0,0.31472344308539935,0.025725142572575597,476.8454359047115,10.047928977499652,1.5425051536668017,0.035033985018933546,4.6017553518424394,0.07155136429381621,187.01972458275878,0.015074923586105998,1.2167511743461503,0.0,0.0,0.0,False
2023-09-28 01:41:45.038496845+00:00,2023092700310,-64,2,1137,3,True,HD167060,5.1e-05,holo4_003,0.07427559969569292,187.2835557767929,0.0,65.5792104390582,156.16033541076393,877.602235430174,613.940946961559,37.27593720314938,78.22610568887328,11.633194816407684,1.3119896430612035,16.12866390563294,0.0,1.37285445304034,3.1.0,2,,60.0,1.37285445304034,-61.70963124426599,-313.4735418926025,8.44999980926514,741.2000122070309,29.4750003814697,empty,114.994998954294,-415.7772151124349,20.602235430174048,568,1705,857,902,1137,45,2,11333.333333333334,1,0.8097069332407609,0.0038379966426190927,1.0,0.0,0.0,0.0,0.08585326575730812,0.0034389107392124134,0.0696677818331567,0.01111174507073618,310.2792219864993,2.6902653626548796,1.9904445472930459,0.019827040202929972,187.0187572689834,0.008790924533111262,0.9175258320665978,0.034941809978532884,0.13841616733392884,0.0,0.15175552005709023,0.0,1.0,0.0,1.0,0.0,985.0896541755812,0.0,568.0057711837923,0.0,-0.0058660648418084795,0.0,-0.21258390565383672,0.0013695912048028995,-0.07515590297286755,0.0064616178758394585,1.2531472262548906,0.012103273871986783,10.755430796926014,0.012162284214540268,-3.260746750702596,0.03576621760949192,4.046158903932967,0.08978361573046632,2.620667408371205,0.0030726243812247635,-0.31596775259542065,0.009759910513604213,0.8313375648926611,0.025152011827789558,11333.333333333392,0.0,985.0896541755812,0.0,568.0057711837923,0.0,-0.0058660648418084795,0.0,5.525989815333327,0.41357123998244627,19.88898308817462,1.3821974917696251,17.81345051570568,1.1379831757873053,7.192537612487584,0.046789439408675554,0.0,0.0,0.0,0.0,1.645020675091504,0.00667586921814192,0.0,0.0,0.0,0.0,11333.333333333392,0.0,985.0896541755812,0.0,568.0057711837923,0.0,-0.0058660648418084795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.064078819655215,0.0,0.0,0.0,0.0,0.0,8.181613102622274,0.0,0.0,0.0,0.0,0.0,11333.333333333392,0.0,1.0435389957133963,0.007356228111651715,0.0,0.0,0.1,0.0,0.164059974682702,0.08448334997914246,600.0,1544.41196269658,3.0532154364630566,0.10032547372032766,1.3310459957394085,0.09864951285977418,187.22134950533183,0.015753674292701567,1.3119896430612035,0.0,0.0,0.0,False
