,number,object,dateobs,refhour,airmass,pressure,temperature,humidity,filename,targetx_pix,targety_pix,rotangle,d2ccd,number2,chi2,pwv,oz,grey,epwv,eoz,egrey
0,248,HD185975,2023-01-19T01:24:39.497501381Z,-0.22087138946638873,2.05627582308855,0,0,0,2023011800248,287.3140705170484,1762.9050110596659,0.44817069466142373,180.1003483837322,248,29.849315403505678,3.8684664818636523,261.80270639689684,0.9945591422111952,0.024959865938834192,2.860805935480779,0.0003513764869932054
1,249,HD185975,2023-01-19T01:25:22.309003658Z,-0.20897930550055488,2.05671544293999,0,0,0,2023011800249,289.8478050081461,1766.093118421384,0.4613129455112767,179.96478707273343,249,35.49948700308486,4.331144657130528,265.73838332314745,0.9912059627267233,0.025171082993725176,2.6471023549248334,0.00032600917340161944
2,263,HD38666,2023-01-19T01:37:11.815992158Z,-0.011894030917223297,1.02616098152815,0,0,0,2023011800263,302.84398882108934,1754.5740039162433,0.23268764948652618,178.2828961993421,263,3680.460552300648,7.6914167323906275,549.9999999999999,1.0222469205280595,0.020748070246441895,0.9221916880617337,6.046337926890397e-05
3,287,HD185975,2023-01-19T01:55:10.535505895Z,0.28775027845416634,2.07415195081894,0,0,0,2023011800287,304.7751980641147,1762.2662419790572,0.48912014373627843,180.05665397113293,287,66.84822444996854,4.209769132669206,268.53751718819285,0.9939599292403962,0.017718434129034958,1.9125024870087948,0.00023871858763263533
4,288,HD185975,2023-01-19T01:55:53.539995972Z,0.2996959701422215,2.07456574431137,0,0,0,2023011800288,306.3259619502523,1762.6683035727533,0.48820325666031117,180.11552796309027,288,31.463079840804006,3.8223041236348307,284.1394596371532,0.9987667098328943,0.023123645548405042,2.721573515232001,0.00033695166576139116
5,321,HD074000,2023-01-19T02:31:44.296009374Z,0.8971281960872215,1.37329883039915,0,0,0,2023011800321,287.1660527566729,1725.6597547856236,0.28301795304716776,180.25533361787294,321,49.75199575135513,4.006599013315578,332.1270012347405,1.0165569276401658,0.03846404386780228,4.229284434801279,0.00037404024647772844
6,337,HD60753,2023-01-19T02:45:32.810994662Z,1.127271247556112,1.12656828231644,0,0,0,2023011800337,297.82895724069914,1721.4175875537621,0.24701107796241362,180.2505224311229,337,108.20286640849773,3.5592093045936504,423.44301692469753,1.044055148663929,0.030372009621198626,2.7524323467448295,0.00019766415781932755
7,338,HD60753,2023-01-19T02:46:15.633005964Z,1.1391662506955553,1.12566542825154,0,0,0,2023011800338,298.0100878573796,1723.023339250883,0.24542600998904474,180.28757205287772,338,97.94767754589019,4.100626867694565,408.08317740392454,1.0418302076625168,0.0351281288521927,3.0017893103449445,0.00021396689969534573
8,355,HD60753,2023-01-19T02:57:57.100500175Z,1.3340183324208343,1.1119684736207,0,0,0,2023011800355,313.97747928114364,1722.6342599898303,0.23842657374375287,180.32564357374795,355,179.8536790215492,3.0355624129676966,440.13240706346556,1.0442279866665336,0.023267327546690048,2.3345761007284116,0.00016487699268169382
9,356,HD60753,2023-01-19T02:58:39.956998603Z,1.3459229153174999,1.11119382093313,0,0,0,2023011800356,314.92733200295345,1723.3386509288162,0.24074272702303293,180.34082430718675,356,117.63069054849858,3.1120084241034855,425.45142377273277,1.0367452506455996,0.03036843415159501,2.9316764839959855,0.00020669034113362538
10,374,HD185975,2023-01-19T03:14:06.627494309Z,1.6033313863469454,2.11482423456558,0,0,0,2023011800374,305.9709297774038,1747.6401149405558,0.42831732339676254,179.82993973176028,374,130.68413966190494,4.037231448384443,261.76914337782574,0.9758636358819751,0.016491270379119162,1.757317383717508,0.00021809706577774444
11,395,HD38666,2023-01-19T03:35:23.020006753Z,1.9578848620258347,1.02448790138546,0,0,0,2023011800395,273.03728766637494,1754.6430267910882,0.2309213847152643,180.56615154308994,395,1516.2436527813657,4.3170696661608154,357.47526220633813,1.0290471522895444,0.013792892612585124,0.8464033845525274,5.600010958806413e-05
12,407,HD185975,2023-01-19T03:45:43.994508623Z,2.130377779211945,2.12659043648036,0,0,0,2023011800407,308.45547867387785,1759.4250593991294,0.4813454920382868,180.0625764012233,407,32.479577712665375,3.9577254941073035,266.1875576687483,0.9871242250769704,0.02272678788185542,2.657180377157812,0.00033186183732733233
13,408,HD185975,2023-01-19T03:46:26.814002440Z,2.142272083050001,2.12681948142011,0,0,0,2023011800408,306.61317773804063,1755.5196991566245,0.48012725135572154,179.97197541774287,408,515.1309709873309,3.485690628046712,243.95091522987332,0.9839553720498734,0.007112694904203814,0.8638811908209202,0.0001116086266610683
14,431,HD185975,2023-01-19T04:06:25.288502703Z,2.4751816664563906,2.13293186129947,0,0,0,2023011800431,306.71651598142745,1754.0627261740867,0.4712246951813546,179.9891621769331,431,27.554234554364964,3.991154741719467,244.15102153535162,0.9880458902628904,0.027374620584108784,3.0128262178007663,0.00038195781992308525
15,432,HD185975,2023-01-19T04:07:08.060492192Z,2.487062774647778,2.1331161772658,0,0,0,2023011800432,304.56981302493665,1752.8042142305226,0.4825640991339647,179.9966662803656,432,15.206456939024406,3.633461734681476,257.36068233111416,0.9895659408100861,0.03477271514582756,3.83151107327538,0.0004800601437331666
16,444,HD38666,2023-01-19T04:17:13.181002877Z,2.6551518053936123,1.07401548868518,0,0,0,2023011800444,285.9609117479721,1755.1206741943251,0.23835385102742992,179.69619429672557,444,1873.8615640780897,4.7255533652582695,477.7866609346122,1.0267999106234291,0.012589590202913517,0.6959193068107237,4.794972759910112e-05
17,454,HD38666,2023-01-19T04:23:04.898505165Z,2.7528511115847225,1.08345465382409,0,0,0,2023011800454,256.4806159353369,1747.2164513682992,0.23510777556606735,180.0437080966537,454,2241.8848908157934,2.392553169242631,460.38952022061346,1.024493084239781,0.009283277830782748,0.7702160212473836,5.2019104048278936e-05
18,455,HD38666,2023-01-19T04:23:47.713996068Z,2.7647443035022228,1.08465045222619,0,0,0,2023011800455,256.3980210395346,1745.966624283913,0.23523600570250897,180.1332101804883,455,3074.7516176680892,1.333340038653566,487.96247607541005,1.0343259226543366,0.006657871244285031,0.7678053901474836,5.1536634140394434e-05
19,472,HD38666,2023-01-19T04:34:03.485494555Z,2.935791941970834,1.10299002484041,0,0,0,2023011800472,334.77932839625475,1728.9640902417173,0.23857492728355656,180.12364937263055,472,225.5303704243228,2.6433372999352964,329.95822490094923,1.0253052757225583,0.03143774400756043,2.3596216875934717,0.00016106366204222017
20,473,HD38666,2023-01-19T04:34:46.306497114Z,2.9476866649038884,1.10434556596143,0,0,0,2023011800473,333.69018825452736,1727.4464039827933,0.23862714991437925,180.19774797521234,473,3725.5503708816063,1.1572062904096914,329.11436057254605,1.0228081026305924,0.005952667347597902,0.6971890562473605,4.687002550258576e-05
