,number,object,dateobs,refhour,airmass,pressure,temperature,humidity,filename,targetx_pix,targety_pix,rotangle,d2ccd,chi2_1,pwv_1,oz_1,grey_1,epwv_1,eoz_1,egrey_1,SNR_1,chi2_2,pwv_2,grey_2,epwv_2,egrey_2,SNR_2,chi2_3,pwv_3,grey_3,epwv_3,egrey_3,SNR_3,chi2_4,pwv_4,grey_4,epwv_4,egrey_4,SNR_4,pwv_avg,pwv_sig
0,166,HD185975,2023-01-20T01:03:31.518001127Z,-3.807124719569723,2.04451614803411,0,0,0,2023011900166,304.1802806141328,1777.5775828501794,0.4327765627067588,180.1165584418032,19.141082841232457,3.722580294382164,249.31620792371032,0.9799190077702621,0.025986489498284488,3.8558820209080005,0.00046198940979278407,0.8705847251313588,19.141082841232457,3.722580294382164,0.9799190077702621,0.025986489498284488,0.00046198940979278407,0.8705847251313588,6.1827011806268395,4.319469377894784,0.9814520992551381,0.13240514071610593,0.0009543493735467327,0.0013525703727194714,6.672247107278362,3.813363223595092,0.9862699430581023,0.12227420843291513,0.0009602996451518038,0.009052581388604116,3.7355825140374175,0.0812149767797599
1,167,HD185975,2023-01-20T01:04:14.451499751Z,-3.7951987477297235,2.04497206020418,0,0,0,2023011900167,300.26328448002465,1779.8561291648334,0.4340530218387028,180.07168344437264,24.528157256812452,3.6007008502850493,253.61637331844943,0.9781355216790645,0.021739348126292492,3.193179690709243,0.0003813477232564046,0.8851233957980993,24.528157256812452,3.6007008502850493,0.9781355216790645,0.021739348126292492,0.0003813477232564046,0.8851233957980993,8.662242414000017,4.121166246518456,0.9803560739344491,0.1064418270304282,0.0007822825175821864,0.013624220942962367,10.529422072370895,3.9533642119798933,0.9866490489201101,0.10077893331089725,0.0007900283735590411,0.007278327238834599,3.618955520061912,0.08859481145600469
2,184,HD37962,2023-01-20T01:19:03.957500089Z,-3.548113747635834,1.0345892083498,0,0,0,2023011900184,305.4528797230337,1739.4848936095937,0.18745899613927436,179.96703824749497,50.42971767627456,3.7272485591597335,266.0699006687183,1.0009265964354168,0.016581224107702075,3.3076567396724994,0.0002078380602890028,1.0100627824221942,50.42971767627456,3.7272485591597335,1.0009265964354168,0.016581224107702075,0.0002078380602890028,1.0100627824221942,15.697581917574668,4.194041509609821,1.0031854861247171,0.09473600021394521,0.00042659100504702647,0.06807119147094444,14.59542206131077,3.97284433313969,1.0066546959035834,0.09272471247853795,0.00042925673398097006,0.006112097034777739,3.7379889308056664,0.06368637795287665
3,185,HD37962,2023-01-20T01:19:46.873992319Z,-3.5361924997941685,1.03386206189251,0,0,0,2023011900185,313.55195955789253,1739.243392302599,0.18330991630245577,179.66032090054492,62.28855623756523,3.5050855204630613,298.35775482706515,1.0072293548853597,0.015693208410925988,3.110905154226522,0.00019668937746141605,1.984904362831463,62.28855623756523,3.5050855204630613,1.0072293548853597,0.015693208410925988,0.00019668937746141605,1.984904362831463,15.356019158356926,3.9444516185425194,1.008725386845173,0.08760178228511424,0.0004009717916899069,0.04942075478530563,17.58198626913373,3.919156208934124,1.010525334514253,0.08720532644292815,0.00040596179184622345,0.01900652653229933,3.5184107594019554,0.07424819137488271
4,193,HD37962,2023-01-20T01:24:27.552504697Z,-3.458226246355834,1.02930293551839,0,0,0,2023011900193,301.9704942711092,1739.8446556360545,0.19292314517295112,180.37024156811032,53.77640112852949,3.940380718601209,242.87114492351006,1.0083734646002227,0.01733604840559123,3.324896755664995,0.0002104945861358151,0.621667210770947,53.77640112852949,3.940380718601209,1.0083734646002227,0.01733604840559123,0.0002104945861358151,0.621667210770947,19.200865363401757,4.11497024435186,1.0102400380541599,0.09571663251361641,0.0004310894368931333,0.06431047420545052,13.640409012864438,3.9459907307007116,1.0146564755584528,0.09297711053871958,0.00043227390108535813,0.0051018907554999625,3.9432450728106856,0.02181609054897288
5,194,HD37962,2023-01-20T01:25:10.367009888Z,-3.446333328247224,1.02863839037648,0,0,0,2023011900194,307.75166752735214,1737.9491754590972,0.19199851515732633,180.04694465564162,45.73106729373005,3.943505698713368,215.38844537208522,1.0052272375932017,0.01940656011918835,3.6824919977953137,0.00023225153689122665,0.9825699349534582,45.73106729373005,3.943505698713368,1.0052272375932017,0.01940656011918835,0.00023225153689122665,0.9825699349534582,14.341775250182126,4.1201258809994386,1.005880562127715,0.10583878442026423,0.00047532884868386745,0.04343724705470335,14.70901296209268,4.102043650835493,1.0125829592858946,0.10398176844147651,0.000475461889781096,0.0011793263473379514,3.9490462412310725,0.029993316219441585
6,202,HD031128,2023-01-20T01:31:22.579503674Z,-3.342940968862223,1.00199599027966,0,0,0,2023011900202,277.51383812810934,1749.0756298781976,0.13465355424799832,180.02907957117355,25.96041367992646,2.4681145110264073,422.31879663359507,1.0175968253781995,0.02879472939959596,6.8567713634476215,0.00042104745488338505,2.8892713845037354,25.96041367992646,2.4681145110264073,1.0175968253781995,0.02879472939959596,0.00042104745488338505,2.8892713845037354,3.6986228356028796,3.606482903765916,1.0140343213493617,0.19117605823770895,0.000864363426128313,0.003845521264689676,5.830724071970932,3.463616808218776,1.0155630788640484,0.18496715029527744,0.0008583225878017527,0.0009542663609542671,2.4925173815094275,0.15968748096488025
7,203,HD031128,2023-01-20T01:32:05.494490359Z,-3.331020139227501,1.00191168695695,0,0,0,2023011900203,273.7866675609357,1744.4290463999607,0.1373083450555681,180.04508826214064,39.16564627964453,2.7096525992544414,369.47951130793257,0.997208477633931,0.024090005861149136,5.341389277289145,0.00032596851053365414,2.5981841524660667,39.16564627964453,2.7096525992544414,0.997208477633931,0.024090005861149136,0.00032596851053365414,2.5981841524660667,5.595365715267045,3.470333792976189,0.9953632256685351,0.14841570323100914,0.0006666130360693428,0.012492546555143518,8.89498525365304,3.900200035409252,0.9998081311326298,0.1489665092620454,0.0006659711309014335,0.004843875603279458,2.7345858703794765,0.15768734357179362
8,231,HD14943,2023-01-20T01:54:40.914007770Z,-2.954514717724445,1.24683454259277,0,0,0,2023011900231,301.0596616627146,1713.9528192620273,0.11857592198530309,178.39791586597005,2065.2611497470903,0.21882119325686353,549.9999999999999,0.7703826964778261,0.0028293082304839167,1.2595343889919588,7.880697012324025e-05,25.517887434831618,2065.2611497470903,0.21882119325686353,0.7703826964778261,0.0028293082304839167,7.880697012324025e-05,25.517887434831618,725.7810858993274,0.0010000000002539178,0.7692414530803356,0.03362302510518969,0.00016841529768052437,2.319408929156783,208.08872641761022,1.8428052156206944,0.7615422996028636,0.03495600437554272,0.00015737950577895534,0.550431826576457,0.22333869383019916,0.09341677021192739
9,259,HD185975,2023-01-20T02:59:18.947995766Z,-1.8772830543922234,2.11057759977993,0,0,0,2023011900259,261.11555625722326,1764.7540854426284,0.40728065244641926,181.00010482970055,87.2645798698723,2.593071426556303,247.5319162689738,0.9683164022948728,0.016037821307128487,2.529454099487363,0.00032332147267723405,0.3326898759998176,87.2645798698723,2.593071426556303,0.9683164022948728,0.016037821307128487,0.00032332147267723405,0.3326898759998176,19.256455795053228,2.870602394416996,0.9773440307590742,0.08119969648203434,0.0006681867728881884,0.011641027198544464,61.32390951923393,2.1257327202741227,0.9742039646578651,0.07409896681956854,0.0006465079675121146,0.236611886166037,2.5877661652404518,0.07948240802286603
10,273,HD074000,2023-01-20T03:19:24.584997837Z,-1.5423838871502795,1.18432202847015,0,0,0,2023011900273,319.342960266755,1738.0118672508822,0.22876956959938785,179.4818744437698,85.05125859523744,1.4049569353518485,300.4894576985459,1.0085801518820081,0.015144429003495514,3.6119874198022734,0.0002730581140316704,5.393634726745297,85.05125859523744,1.4049569353518485,1.0085801518820081,0.015144429003495514,0.0002730581140316704,5.393634726745297,8.249550189870769,2.9619452020370254,1.0099100359115725,0.10658133620940385,0.000568988911118781,0.058936536290922284,20.239679426641327,2.8679961700555023,1.0134074591536821,0.09960098653396657,0.0005463368346967108,0.09889445501477154,1.436895730546708,0.21714746151594486
11,274,HD074000,2023-01-20T03:20:07.487501158Z,-1.530466525116668,1.18239523524729,0,0,0,2023011900274,303.0062789894948,1733.0937375010856,0.2368341784240404,180.10443364980313,74.02461593391753,1.2270583936819062,296.38552694198285,1.0290511549337666,0.013027672680536477,3.3953986869773307,0.00026311456768338316,5.511414423847001,74.02461593391753,1.2270583936819062,1.0290511549337666,0.013027672680536477,0.00026311456768338316,5.511414423847001,8.114833258457322,2.521986817160709,1.029622167585742,0.09992357924917569,0.0005506362841747465,0.003286767510654998,20.861533855090872,2.4020186513168844,1.030584481978801,0.09290742105833198,0.0005232522978522204,0.15106818756303128,1.249209133833444,0.1638051860331045
