,number,object,dateobs,refhour,airmass,pressure,temperature,humidity,filename,targetx_pix,targety_pix,rotangle,d2ccd,chi2_1,pwv_1,oz_1,grey_1,epwv_1,eoz_1,egrey_1,SNR_1,chi2_2,pwv_2,grey_2,epwv_2,egrey_2,SNR_2,chi2_3,pwv_3,grey_3,epwv_3,egrey_3,SNR_3,chi2_4,pwv_4,grey_4,epwv_4,egrey_4,SNR_4,pwv_avg,pwv_sig
0,211,HD38666,2023-01-19T00:54:29.923007271Z,-3.0872276349202785,1.07847857562148,0,0,0,2023011800211,248.234325718012,1732.4685443967787,0.22842242154689385,180.14055437954832,242.80957416232735,4.598868741072801,267.2802177335265,1.0173913512645423,0.010034166052701065,1.2231625120249596,9.797749813928842e-05,0.6233334928794406,242.80957416232735,4.598868741072801,1.0173913512645423,0.010034166052701065,9.797749813928842e-05,0.6233334928794406,26.927280847337975,4.822161533793549,1.0207287001272098,0.04666075725249599,0.00021219417068403293,0.06374692198416543,62.08500714437097,4.6300018673233385,1.0269881259157263,0.039312298971426705,0.0001846409125909416,0.2052292828841013,4.6047200059369295,0.1095313484268352
1,220,HD38666,2023-01-19T00:59:57.036990263Z,-2.9963626396447216,1.06999569830981,0,0,0,2023011800220,242.32178521178542,1734.4701373123091,0.22465192280636115,180.15724151763757,265.13584670910194,4.443241694585819,303.8516714325557,1.0305441042997818,0.0090207610275114,1.1805930116063585,9.418921979080566e-05,0.5515456516239003,265.13584670910194,4.443241694585819,1.0305441042997818,0.0090207610275114,9.418921979080566e-05,0.5515456516239003,34.68630790990527,4.670420304257898,1.034527955156628,0.044664412335204906,0.00020445501064422222,0.11470050805546202,77.63797306955546,4.295768018322742,1.0389271477718471,0.03679236953955121,0.00017710300415206768,0.1254259997123627,4.443432889058443,0.13539596912295215
2,252,HD185975,2023-01-19T01:27:35.395008735Z,-2.535707634513612,2.05807796990344,0,0,0,2023011800252,282.846208046239,1776.2016841755271,0.43676155196537086,180.1069557587636,55.863643984695045,4.05944074726474,247.6991160326757,0.9925490274427384,0.017450973310016403,2.224500067088297,0.00028042079206331595,1.5510139938476595,55.863643984695045,4.05944074726474,0.9925490274427384,0.017450973310016403,0.00028042079206331595,1.5510139938476595,15.835991385793035,4.762365890960811,0.9943331336734421,0.08176288227828712,0.0005845900448183546,0.03365443051266042,23.000963007826442,4.40588411549187,1.0020338512814155,0.07316077943179922,0.0005723036692521288,0.03183500116560572,4.084046498556654,0.37580165505867685
3,253,HD185975,2023-01-19T01:28:18.197490329Z,-2.523818056293056,2.05851502405749,0,0,0,2023011800253,282.8552861606067,1779.1078653687125,0.44241127366444477,180.05301468191504,45.28041749530103,3.898557892857157,269.64006076328843,1.0029237123158123,0.018287195337316656,2.5523645036637674,0.00032009928889236246,1.860802378738191,45.28041749530103,3.898557892857157,1.0029237123158123,0.018287195337316656,0.00032009928889236246,1.860802378738191,11.316198877754308,4.4728446509677395,1.0042034729830036,0.08827879275787234,0.000658302933035304,0.005688454367259685,16.45684589687689,4.555879617163466,1.0101626414823195,0.08614017860277015,0.0006586331460190572,0.024905735518880645,3.92454906930978,0.4184965316539847
4,267,HD38666,2023-01-19T01:40:08.188998340Z,-2.3265981929566673,1.02367260949517,0,0,0,2023011800267,292.7471184580114,1768.4890697191672,0.1898779236045619,179.41591265770373,172.0321170041011,4.267783835457359,335.83683289331213,1.032493231389803,0.011706685971084737,1.596847609086798,0.00012120676885285972,2.318672507062229,172.0321170041011,4.267783835457359,1.032493231389803,0.011706685971084737,0.00012120676885285972,2.318672507062229,14.095541806642844,4.704816291649487,1.0375748430473113,0.05878093597416718,0.0002605469724333298,0.032114010263463895,45.161481858894234,4.251699868366949,1.037275516570131,0.049691753777796895,0.00023148470747233636,0.13535910929315867,4.275631294888793,0.21499746501930153
5,268,HD38666,2023-01-19T01:40:51.200005903Z,-2.3146506908558324,1.02308590668017,0,0,0,2023011800268,295.34058279664725,1768.451393012709,0.19272294721709665,179.58669433682422,269.0195578049252,4.416631776629503,252.32935180680684,1.014996594283532,0.009950674173916586,1.3531929093291437,0.0001011870360381344,0.9106065205277022,269.0195578049252,4.416631776629503,1.014996594283532,0.009950674173916586,0.0001011870360381344,0.9106065205277022,29.41091272708433,4.7118422973444005,1.0186996612850518,0.05033737081348243,0.00021866485584463028,0.015022011623831566,114.04242035583593,4.186085348772958,1.0233573280717212,0.042051683690133866,0.00019176310899245106,0.0541782354985684,4.415976378509192,0.18734152407753887
6,292,HD185975,2023-01-19T01:58:49.768499413Z,-2.0150483315475007,2.07625079699746,0,0,0,2023011800292,304.18446666243625,1772.6549957483587,0.444433899419867,180.39861731792766,30.903442883930996,3.9034097704492443,260.17329698329013,1.0079119914794665,0.01958299276697037,2.727059887912608,0.0003462522311198103,1.3535496510389802,30.903442883930996,3.9034097704492443,1.0079119914794665,0.01958299276697037,0.0003462522311198103,1.3535496510389802,11.24113568441409,4.420139295389962,1.0105727771568445,0.0941920625088041,0.0007144542113503731,0.012214565387632749,8.366191149753641,4.262039903333167,1.014118814409156,0.0888186613029399,0.0007102017507497751,0.005357892794798901,3.922421445466827,0.3015736405215018
7,316,HD185975,2023-01-19T02:28:12.480994287Z,-1.5254059718602768,2.09260098640131,0,0,0,2023011800316,305.88280734282154,1778.8493415600246,0.43071371640098316,180.17269401066764,71.53832164759224,4.319894368639398,250.44810032176989,0.9905127873527033,0.020535503424915547,2.784177111459815,0.0003454530139100544,0.548187944595158,71.53832164759224,4.319894368639398,0.9905127873527033,0.020535503424915547,0.0003454530139100544,0.548187944595158,14.112272410944744,4.389334337691015,0.9914641227266633,0.09498984799031249,0.0007084348006647586,0.01760607263248259,39.26317665887831,4.206464532926314,1.0046726385247182,0.09084827908616391,0.0007168638797343241,0.048739564217708406,4.318678684392442,0.06630835714426926
8,317,HD185975,2023-01-19T02:28:55.326491866Z,-1.5135044447549992,2.09296919481251,0,0,0,2023011800317,301.0889347860215,1776.993049455786,0.4347345137824847,180.18184564163496,57.7403915488432,4.260538059712632,220.49146392409693,0.9887086650949397,0.021973058735898974,2.9227192949676204,0.0003649215723878948,0.4480289756642787,57.7403915488432,4.260538059712632,0.9887086650949397,0.021973058735898974,0.0003649215723878948,0.4480289756642787,13.267823477260132,4.376845864304775,0.990938025132948,0.10015911644825827,0.0007435891180703984,0.0034811154958388837,31.465537595258287,3.708756877456697,1.003170282284486,0.09332904621094668,0.0007580584368241898,0.04079247388641179,4.248659276617881,0.2775826961728866
9,325,HD074000,2023-01-19T02:34:40.316998221Z,-1.417673748545277,1.35938141097917,0,0,0,2023011800325,292.42127619238533,1733.749305513347,0.27451197566559377,180.1758849844948,83.28792333487552,3.9718517528077557,336.7323615772814,1.034179694880048,0.03344197853967871,5.205328845030746,0.0004583217214647318,2.661977467200239,83.28792333487552,3.9718517528077557,1.034179694880048,0.03344197853967871,0.0004583217214647318,2.661977467200239,4.636306885898321,4.4487992528885965,1.0263508358152627,0.16430409351024924,0.0009286310564237262,0.0037100915127521554,13.283419714271233,4.758327084637843,1.0361144654656866,0.16221061183047394,0.0009279356375464881,0.032711180867001415,3.997374038431342,0.44275756258522436
