,wavelength,newthrou,newthrouerr,oldthrou
0,500.0,1.1615576890817594e-06,2.3977272603198283e-05,2.1506461620494173e-06
1,501.0,1.1629141782001281e-06,2.400299630556061e-05,2.1529450521990363e-06
2,502.0,1.1642709126221797e-06,2.4028456964286632e-05,2.1552439423486558e-06
3,503.0,1.1656278923479136e-06,2.4053811478826716e-05,2.1575428324982752e-06
4,504.0,1.1669851173773298e-06,2.4079446055310256e-05,2.1598417226478947e-06
5,505.0,1.1683425877104285e-06,2.410483352426258e-05,2.162140612797514e-06
6,506.0,1.1697003033472097e-06,2.4130516290185857e-05,2.1644395029471335e-06
7,507.0,1.171058264287673e-06,2.415624539503382e-05,2.1667383930967525e-06
8,508.0,4.034422194084842e-06,8.321327307185214e-05,7.463910969586775e-06
9,509.0,7.3753993965854044e-06,0.00015210937224715052,1.3643562493799966e-05
10,510.0,1.0717036000438927e-05,0.00022100398978555232,1.9823214018013157e-05
11,511.0,1.4059332005645412e-05,0.0002898965799854981,2.6002865542226348e-05
12,512.0,1.7402287412204856e-05,0.0003587885822530914,3.2182517066439535e-05
13,513.0,2.074590222011727e-05,0.00042768053968029085,3.8362168590652726e-05
14,514.0,2.409017642938264e-05,0.0004965733658873435,4.454182011486592e-05
15,515.0,2.743511004000097e-05,0.0005654671203112609,5.072147163907911e-05
16,516.0,3.078070305197227e-05,0.0006343602275527173,5.69011231632923e-05
17,517.0,3.412695546529652e-05,0.0007032534353026829,6.308077468750548e-05
18,518.0,3.747386727997375e-05,0.0007721468715122999,6.926042621171868e-05
19,519.0,4.082143849600392e-05,0.000841040797710257,7.544007773593186e-05
20,520.0,4.4169669113387076e-05,0.0009099363352234951,8.161972926014506e-05
21,521.0,4.751855913212317e-05,0.000978832510700085,8.779938078435825e-05
22,522.0,0.0003716045461753574,0.007653935703001566,0.000686540872955402
23,523.0,0.0009363304613560721,0.019283804341316643,0.0017297037456115983
24,524.0,0.0015011676875074612,0.03091393967204236,0.0027728666182677947
25,525.0,0.0020661162246295244,0.04254427730909565,0.003816029490923991
26,526.0,0.0026311760727222616,0.054174698905377294,0.004859192363580187
27,527.0,0.003196347231785674,0.06580526473151717,0.0059023552362363835
28,528.0,0.00376162970181976,0.07743602794513024,0.006945518108892579
29,529.0,0.004327023482824521,0.089066682821353,0.007988680981548776
30,530.0,0.004892528574799957,0.10069742664989606,0.009031843854204974
31,531.0,0.005458144977746065,0.1028190220444725,0.01007500672686117
32,532.0,0.006023872691662849,0.09919594929901707,0.011118169599517365
33,533.0,0.006589711716550306,0.09454739640684906,0.012161332472173561
34,534.0,0.00715566205240844,0.08927543878577242,0.013204495344829759
35,535.0,0.007721723699237246,0.07977645389205318,0.014247658217485954
36,536.0,0.009134057175362677,0.07476309726009232,0.016851951692353366
37,537.0,0.012662278065196904,0.08175419778689352,0.023359071672750066
38,538.0,0.01619119329899246,0.0654789940625802,0.029866191653146766
39,539.0,0.019720802876749342,0.06301774661233127,0.036373311633543466
40,540.0,0.023251106798467557,0.05960605197849158,0.042880431613940166
41,541.0,0.026782105064147108,0.05481848012602002,0.04938755159433687
42,542.0,0.03031379767378798,0.049244706562056026,0.05589467157473357
43,543.0,0.03384618462739018,0.042472828266730454,0.06240179155513027
44,544.0,0.03737926592495371,0.0362399441147287,0.06890891153552697
45,545.0,0.040913041566478583,0.02897877585677312,0.07541603151592367
46,546.0,0.044447511551964775,0.023292279564476343,0.08192315149632037
47,547.0,0.04798267588141229,0.020667580737409583,0.08843027147671707
48,548.0,0.05151853455482115,0.018908482936990777,0.09493739145711377
49,549.0,0.05505508757219134,0.017981602448860705,0.10144451143751047
50,550.0,0.058592334933522845,0.01730445409375458,0.10795163141790717
51,551.0,0.0612326720993126,0.01511311158094053,0.11280515028144056
52,552.0,0.06387352716111847,0.012193669111459618,0.11765866914497394
53,553.0,0.06651490011894041,0.011666625840111392,0.12251218800850733
54,554.0,0.06915679097277845,0.011759072449062392,0.1273657068720407
55,555.0,0.0717991997226326,0.011890458103007465,0.1322192257355741
56,556.0,0.07444212636850282,0.012014709453836928,0.13707274459910748
57,557.0,0.07708557091038915,0.01212626466431207,0.14192626346264087
58,558.0,0.07972953334829155,0.012206493217970035,0.14677978232617425
59,559.0,0.08237401368221009,0.012235544091207114,0.15163330118970764
60,560.0,0.08501901191214468,0.012205049106823086,0.15648682005324102
61,561.0,0.08766452803809538,0.012107661555299154,0.1613403389167744
62,562.0,0.09031056206006219,0.011952836536461817,0.1661938577803078
63,563.0,0.09295711397804508,0.01172909382232458,0.17104737664384118
64,564.0,0.09560418379204406,0.01145162788399739,0.17590089550737456
65,565.0,0.09672441281370954,0.010938895185995036,0.17794452279311423
66,566.0,0.09723385645978093,0.010336638829070323,0.17886419344773613
67,567.0,0.09774339823955312,0.00979690273934105,0.17978386410235803
68,568.0,0.09825303815302616,0.00938548947690078,0.18070353475697995
69,569.0,0.09876277620020005,0.009056882520654456,0.18162320541160185
70,570.0,0.09927261238107474,0.008778906418846058,0.18254287606622374
71,571.0,0.09978254669565029,0.008537654207641451,0.18346254672084567
72,572.0,0.10029257914392666,0.008322734232786212,0.18438221737546756
73,573.0,0.10080270972590387,0.008130919244397282,0.18530188803008946
74,574.0,0.10131293844158192,0.007951113579247016,0.18622155868471135
