,dateobs,dZp_u,dZp_g,dZp_r,dZp_i,dZp_z,dZp_y
0,20230117.0,22.966360058642426,14.669437917229072,14.861565036028365,13.465060950878238,15.798469628633885,24.530577229485313
1,20230118.0,22.570356433364843,35.86194113841109,28.67086815743451,21.170479372154603,15.053512578241977,20.552968971625813
2,20230119.0,32.76103534663566,17.927264661356446,18.312173091630672,17.481266034852652,30.061798375976334,21.349361037048265
3,20230131.0,21.0155147955093,31.08337059655363,32.143444928718594,27.293318557063674,23.428526079318978,24.688649134694202
4,20230201.0,11.804032354935753,22.248281340309134,19.76218440107873,23.324165850313882,23.534934241700626,22.79806561200876
5,20230202.0,14.75704932767612,21.10240588125415,23.27445272572003,24.70359854259878,24.043692899730647,26.26117605216067
6,20230214.0,27.887995073335535,10.838463318534846,16.554461530904508,20.339604228839185,28.067560121222623,20.799097662370194
7,20230215.0,20.512013517576595,3.6311160958560507,6.317152066052743,8.760001172526879,6.456240653034355,18.043432278883365
8,20230216.0,4.068494428551173,11.109924561782618,11.991362786755372,17.787910287801257,5.381026546504814,10.93437916418378
9,20230228.0,20.673409267201993,2.9663106109253645,3.2867579017156925,3.260000966014358,3.483770313171042,22.035863993573557
