,wavelength,newthrou,newthrouerr,oldthrou
0,350.0,0.006023922455318741,0.00042180384998064256,0.06194709279500001
1,351.0,0.006451210082547722,0.00043716182909797667,0.06275404064218587
2,352.0,0.006884696419117415,0.0004526664020847789,0.06356098848937172
3,353.0,0.0073541582158421145,0.00046774590957539714,0.06436793633655757
4,354.0,0.007894339817133342,0.00048136110613463073,0.06517488418374343
5,355.0,0.008416146300076742,0.0004954348432821859,0.06598183203092929
6,356.0,0.008956210392913598,0.0005097628846369664,0.06678877987811514
7,357.0,0.009531563207567116,0.0005259087790654642,0.067595727725301
8,358.0,0.010178179990804124,0.0005433206164533275,0.06840267557248685
9,359.0,0.010800761729058039,0.0005566399401675894,0.06920962341967271
10,360.0,0.011396561860670137,0.0005696879095414965,0.07001657126685856
11,361.0,0.012057595779827845,0.0005885213882617135,0.07082351911404441
12,362.0,0.01268265201185044,0.0006049741628407147,0.07163046696123027
13,363.0,0.013348882143720535,0.0006235715818913347,0.07243741480841612
14,364.0,0.014088129109831789,0.000642215216808029,0.07324436265560198
15,365.0,0.014850225355164013,0.0006645679004033668,0.07420920300804204
16,366.0,0.015644343687598934,0.0006849450964035738,0.0752372003625838
17,367.0,0.01659091129742746,0.0007069324199765217,0.07626519771712555
18,368.0,0.01752223125500167,0.0007238557701559617,0.07729319507166729
19,369.0,0.018432203901419458,0.0007413594075145151,0.07832119242620904
20,370.0,0.019324538248323628,0.0007564220753205583,0.07934918978075078
21,371.0,0.020265452750901164,0.0007723663387420169,0.08037718713529253
22,372.0,0.021219163898234677,0.0007870283554713556,0.08140518448983428
23,373.0,0.022147401500314537,0.0008015115841986443,0.08243318184437604
24,374.0,0.023104067910079747,0.0008188245126435562,0.08346117919891778
25,375.0,0.024080995729894448,0.0008373005311023645,0.08448917655345953
26,376.0,0.025089800854817823,0.000853898553895225,0.08551717390800127
27,377.0,0.026125520350362925,0.0008705359090949136,0.08654517126254302
28,378.0,0.02718302777298575,0.0008861989329246865,0.08757316861708478
29,379.0,0.028323182451498986,0.0009028906284597327,0.08884996151162299
30,380.0,0.029645642453165803,0.0009277042286163472,0.09045848179282313
31,381.0,0.030870393373589714,0.0009298253449802961,0.09206700207402328
32,382.0,0.032092250913300625,0.0009220673940157449,0.09367552235522342
33,383.0,0.03336325297085,0.0009250009956423839,0.09528404263642357
34,384.0,0.034605112761656974,0.0009214571055694569,0.09689256291762371
35,385.0,0.03587432141487477,0.0009216243385729725,0.09850108319882386
36,386.0,0.03717065458845593,0.0009241381421805437,0.100109603480024
37,387.0,0.03848739399073213,0.0009231881670746095,0.10171812376122415
38,388.0,0.039817913280308745,0.0009231828553514966,0.1033266440424243
39,389.0,0.04113481516301376,0.0009229224441332871,0.10493516432362443
40,390.0,0.04248364388286448,0.0009215158409932103,0.10654368460482458
41,391.0,0.043827248693577354,0.0009257404112393187,0.10815220488602473
42,392.0,0.045139565739116976,0.0009224689418161862,0.10976072516722488
43,393.0,0.0464997764517063,0.0008924176193824113,0.11138078260451337
44,394.0,0.047912413198177156,0.0008878192965130443,0.11307006297833194
45,395.0,0.04934626004976816,0.0008721300636552385,0.11475934335215052
46,396.0,0.050784225445685185,0.0008716909781762339,0.11644862372596909
47,397.0,0.05228728276256224,0.0009064000489632871,0.11813790409978767
48,398.0,0.053737163572115484,0.0009277302765381973,0.11982718447360624
49,399.0,0.055160118419904425,0.0009306603430600816,0.12151646484742482
50,400.0,0.05665763847335307,0.0009184036062963284,0.12320574522124339
51,401.0,0.05824132871025639,0.0009322571166723323,0.12489502559506196
52,402.0,0.059657472359332164,0.0009404128556055369,0.12658430596888054
53,403.0,0.06114988805406046,0.0009459915728663155,0.12827358634269911
54,404.0,0.06275943998316899,0.000959521037204775,0.1299628667165177
55,405.0,0.06423027713427126,0.0009717133654728473,0.13165214709033626
56,406.0,0.06563406367164881,0.0009772875386703363,0.13334142746415484
57,407.0,0.06704288990052028,0.0009793586200984772,0.1350307078379734
58,408.0,0.06847360208735587,0.0009772882227998168,0.1367885171880003
59,409.0,0.07000903788340422,0.0009837537150015644,0.13855774803406193
60,410.0,0.0714885723838995,0.0009970848392409511,0.14032697888012358
61,411.0,0.07299063591944704,0.0010176878267107617,0.1420962097261852
62,412.0,0.07453717062518121,0.00103488691679392,0.14386544057224682
63,413.0,0.07600926411289122,0.0010627197733852672,0.14563467141830846
64,414.0,0.07736657700947133,0.0010919811633905987,0.14740390226437008
65,415.0,0.07869062253042124,0.0010878082031595912,0.14917313311043173
66,416.0,0.08013373393030268,0.0010758407589074716,0.15094236395649335
67,417.0,0.08147640185996102,0.0010890907014076152,0.15271159480255497
68,418.0,0.08277029287072332,0.0010951255094596823,0.15448082564861662
69,419.0,0.08408294049814306,0.0010960512818237397,0.15625005649467824
70,420.0,0.08538712058446742,0.0011093452840665447,0.15801928734073986
71,421.0,0.08671383459328919,0.0011188194997019882,0.1597885181868015
72,422.0,0.08789572658791674,0.001086496032265761,0.1611876243795311
73,423.0,0.08897124519120765,0.0010811848815166318,0.16230913708226163
74,424.0,0.08987475565382391,0.0011149915129290246,0.1634306497849922
75,425.0,0.09085608520954917,0.001102893137945918,0.16455216248772273
76,426.0,0.09200034943783404,0.0010742046558694606,0.16567367519045328
77,427.0,0.09300997776553628,0.0010879310681618309,0.16679518789318384
78,428.0,0.09355157996556829,0.0011244317646186054,0.16791670059591438
79,429.0,0.09434998667336793,0.001105641739684916,0.16903821329864493
80,430.0,0.09519243361508901,0.0010916551350654484,0.17015972600137547
