,wavelength,throu,errthrou
0,350.0,0.009990372030188155,0.002227351509033344
1,351.0,0.009664991685895075,0.002011680706751439
2,352.0,0.009417952738658641,0.0018172134452740054
3,353.0,0.00924727212009202,0.001643898981425652
4,354.0,0.009150959801672798,0.0014917384145586945
5,355.0,0.00912702033815549,0.0013607195116818723
6,356.0,0.009173454431675054,0.001250711217234262
7,357.0,0.009288260459015873,0.0011613206715751217
8,358.0,0.009469435977507601,0.0010917372757956601
9,359.0,0.009714979224781928,0.0010406133630694902
10,360.0,0.010022890595109857,0.0010060396308169748
11,361.0,0.010391174083451915,0.0009856469589135768
12,362.0,0.01081783872723463,0.0009768121573524773
13,363.0,0.011300900000605907,0.0009769002363433556
14,364.0,0.011838381209372528,0.0009834714073435765
15,365.0,0.012428314836370191,0.0009944121913409883
16,366.0,0.013068743871144761,0.0010079879694518815
17,367.0,0.013757723125081611,0.0010228370772156653
18,368.0,0.014493320485826189,0.0010379315311101185
19,369.0,0.015273618168293979,0.0010525244102019312
20,370.0,0.016096713929755424,0.001066096298211883
21,371.0,0.016960722244448334,0.0010783069876038904
22,372.0,0.01786377545636242,0.0010889546744626698
23,373.0,0.018804024894507165,0.0010979427355533586
24,374.0,0.01977964195361892,0.00110525324500269
25,375.0,0.02078881913234909,0.0011109261146836022
26,376.0,0.02182977106508588,0.00111504272765901
27,377.0,0.022900735480561707,0.0011177131148648368
28,378.0,0.02399997415159305,0.0011190658950043593
29,379.0,0.025125773794115958,0.001119240359098719
30,380.0,0.026276446938481968,0.0011183802313509447
31,381.0,0.027450332749822337,0.0011166287378194817
32,382.0,0.028645797829085495,0.0011141247381170553
33,383.0,0.02986123695745846,0.0011109996982455802
34,384.0,0.031095073814867646,0.0011073753730899277
35,385.0,0.032345761653459704,0.0011033620875624272
36,386.0,0.03361178393652153,0.001099057517186177
37,387.0,0.034891654930561344,0.0010945459362491636
38,388.0,0.0361839202723786,0.0010898978451938089
39,389.0,0.03748715747656206,0.0010851699638453627
40,390.0,0.03879997642638955,0.0010804055231482396
41,391.0,0.04012101980197258,0.001075634835398445
42,392.0,0.04144896349907867,0.0010708760935830188
43,393.0,0.04278251696973712,0.0010661363533121966
44,394.0,0.04412042356852908,0.001061412671773691
45,395.0,0.04546146081929692,0.0010566933463610523
