,wavelength,throu,errthrou
0,350.0,0.010137717095403787,0.0011326802732658555
1,351.0,0.009790804091380778,0.001019953488016281
2,352.0,0.009523133802531447,0.0009185785710894397
3,353.0,0.009332751821148122,0.0008285266999547793
4,354.0,0.009217692417223589,0.000749797590961468
5,355.0,0.009175980228974367,0.000682381120885419
6,356.0,0.009205631947679649,0.0006261948753359736
7,357.0,0.009304657978873365,0.0005809999664038454
8,358.0,0.009471064099670912,0.0005463114582481929
9,359.0,0.00970285309904284,0.0005213349539177684
10,360.0,0.009998026387165737,0.0005049639473597193
11,361.0,0.010354585603181476,0.00049585246838256
12,362.0,0.010770534192033665,0.0004925429365693611
13,363.0,0.011243878955610853,0.0004936051791389042
14,364.0,0.01177263158911046,0.0004977459863063966
15,365.0,0.012354810197393817,0.0005038709574032755
16,366.0,0.012988440752678798,0.0005111023067396622
17,367.0,0.01367155857792568,0.000518766933840408
18,368.0,0.014402209745867367,0.0005263694445055622
19,369.0,0.015178452492591532,0.0005335606504105048
20,370.0,0.015998358569959237,0.0005401074445404513
21,371.0,0.01686001458779174,0.0005458666463337551
22,372.0,0.017761523305352966,0.0005507634528869593
23,373.0,0.018701004893955542,0.00055477420457552
24,374.0,0.01967659817751155,0.0005579128255863257
25,375.0,0.020686461813738788,0.0005602202328440144
26,376.0,0.021728775459450844,0.0005617560716199084
27,377.0,0.022801740885824984,0.0005625922666511199
28,378.0,0.023903583061610334,0.0005628079636839018
29,379.0,0.02503255118267589,0.0005624855508099179
30,380.0,0.026186919699512146,0.0005617075200480212
31,381.0,0.027364989250600047,0.000560553995173924
32,382.0,0.028565087594643046,0.0005591007929749529
33,383.0,0.02978557049846131,0.0005574179311156712
34,384.0,0.03102482254962524,0.0005555685086448529
35,385.0,0.032281257982731404,0.0005536079093890895
36,386.0,0.033553321405179304,0.0005515832994369648
37,387.0,0.034839488514080585,0.0005495333739909346
38,388.0,0.03613826677496945,0.0005474883388227726
39,389.0,0.037448196019340685,0.0005454700968310149
40,390.0,0.0387678490531016,0.0005434926144586164
41,391.0,0.040095832165661704,0.0005415624376114942
42,392.0,0.041430785644934076,0.0005396793412925147
43,393.0,0.04277138420911797,0.0005378370669082497
44,394.0,0.044116337424384255,0.0005360241343702411
45,395.0,0.04546439006003311,0.0005342246910083265
46,396.0,0.0468143224081814,0.0005324193770399965
47,397.0,0.04816495056888925,0.000530586179157154
48,398.0,0.049515126672076804,0.0005287012566640375
49,399.0,0.050863739076703496,0.0005267397164242036
50,400.0,0.05220971252401796,0.000524676333172891
51,401.0,0.053552008238966664,0.000522486201866232
52,402.0,0.05488962400568198,0.0005201453076267505
53,403.0,0.05622159418521733,0.000517631034199246
54,404.0,0.0575469897187304,0.0005149225804485493
55,405.0,0.058864918066547034,0.0005120013186662607
56,406.0,0.06017452311903071,0.0005088510724268203
57,407.0,0.06147498507630189,0.0005054583350100431
58,408.0,0.06276552027043181,0.0005018124308183862
59,409.0,0.06404538098854573,0.0004979056218800026
60,410.0,0.06531385521634547,0.0004937331692870304
61,411.0,0.06657026637572017,0.0004892933540570323
62,412.0,0.06781397302233927,0.0004845874646343943
63,413.0,0.06904436851573337,0.0004796197515476884
64,414.0,0.0702608806320768,0.0004743973639305813
65,415.0,0.07146297119061273,0.000468930249694841
66,416.0,0.0726501356011795,0.0004632310611592546
67,417.0,0.07382190242742581,0.0004573150200734043
68,418.0,0.07497783289022664,0.0004511997892929205
69,419.0,0.07611752035700192,0.0004449053207839715
70,420.0,0.07724058981239068,0.00043845369557103306
71,421.0,0.07834669728731569,0.0004318689577821599
72,422.0,0.07943552928168174,0.0004251769359338918
73,423.0,0.08050680215478678,0.0004184050492861336
74,424.0,0.08156026150163598,0.00041158210649314017
75,425.0,0.08259568150128871,0.0004047380924106943
76,426.0,0.08361286425247272,0.00039790393839006017
77,427.0,0.08461163909055358,0.00039111127887470575
78,428.0,0.08559186189859247,0.00038439218805898484
79,429.0,0.08655341437520292,0.0003777789006074108
80,430.0,0.08749620332423547,0.00037130351322421244
81,431.0,0.08842015990353502,0.0003649976665907486
82,432.0,0.08932523888074684,0.0003588922122197873
83,433.0,0.09021141787070519,0.0003530168595867079
84,434.0,0.09107869656509138,0.00034739981995956837
85,435.0,0.09192709595367887,0.00034206743751193786
86,436.0,0.09275665754398688,0.000337043834130458
87,437.0,0.09356744257183891,0.00033235055400144864
88,438.0,0.09435953120532758,0.0003280062480553117
89,439.0,0.09513302175105309,0.00032402638831577937
90,440.0,0.09588802985672373,0.000320423035286743
91,441.0,0.09662468771693966,0.00031720466047636665
92,442.0,0.0973431432732923,0.00031437605914085833
93,443.0,0.09804355941173526,0.0003119383291551934
94,444.0,0.098726113184739,0.000309888936424912
95,445.0,0.09939099500979864,0.00030822187779680336
96,446.0,0.1000384078870411,0.00030692791228467995
97,447.0,0.10066856663388535,0.0003059948663696773
98,448.0,0.10128169708968926,0.00030540800585319804
99,449.0,0.10187803537564832,0.00030515044167560176
100,450.0,0.10245782713514018,0.0003052035759613363
101,451.0,0.10302132677225018,0.00030554755304847803
102,452.0,0.1035687967425929,0.00030616169547291726
103,453.0,0.10410050681230132,0.00030702494888722187
104,454.0,0.10461673335271371,0.00030811626668953785
105,455.0,0.10511775865097661,0.00030941496847828324
106,456.0,0.10560387021018869,0.000310901057478285
107,457.0,0.10607536009752039,0.0003125554742137648
108,458.0,0.1065325242752806,0.0003143603103189466
109,459.0,0.10697566197859487,0.00031629896674887026
110,460.0,0.1074050750726201,0.0003183562662601982
111,461.0,0.10782106747592479,0.00032051851451313966
