,wavelength,throu,errthrou
0,350.0,0.010318484173467368,0.0022545266488436444
1,351.0,0.00993389039763315,0.002032014178252341
2,352.0,0.009632415143187245,0.0018317331999324938
3,353.0,0.00941190652520163,0.0016536206151513597
4,354.0,0.009270204633594403,0.0014976706403512347
5,355.0,0.009205143372128077,0.001363862596767621
6,356.0,0.009214552292633016,0.001252043255714217
7,357.0,0.009296258397171187,0.0011617673955760693
8,358.0,0.009448087947703243,0.0010921259829102573
9,359.0,0.009667868213227848,0.0010416201437298434
10,360.0,0.009953429209417664,0.0010081466709615664
11,361.0,0.010302605422566558,0.000989126218452548
12,362.0,0.010713237483514604,0.0009817411126205183
13,363.0,0.01118317383043177,0.000983201997106526
14,364.0,0.011710272319305659,0.0009909644601661088
15,365.0,0.01229240182601643,0.00100285684677804
16,366.0,0.012927443795206273,0.001017122640592016
17,367.0,0.013613293763228285,0.0010324031377443507
18,368.0,0.014347862845852433,0.0010476885366733858
19,369.0,0.015129079176404048,0.0010622583379528792
20,370.0,0.01595488931525324,0.0010756231915827951
21,371.0,0.016823259623379272,0.0010874738103853964
22,372.0,0.017732177584321107,0.0010976385492463805
23,373.0,0.018679653081790093,0.0011060493114954902
24,374.0,0.019663719655682144,0.001112714638415204
25,375.0,0.02068243568805883,0.0011176986559175888
26,376.0,0.021733885563207878,0.001121104649101421
27,377.0,0.02281618077222447,0.0011230622537620578
28,378.0,0.02392746097621057,0.0011237174266648803
29,379.0,0.025065895025136342,0.0011232245808553273
30,380.0,0.026229681922359305,0.001121740390590175
31,381.0,0.02741705175435527,0.0011194189141000956
32,382.0,0.02862626655519307,0.0011164077767222603
33,383.0,0.02985562114486129,0.0011128451973321828
34,384.0,0.03110344388892372,0.0011088577470493273
35,385.0,0.03236809744157654,0.00110455870151299
36,386.0,0.03364797943231679,0.0011000469235726614
37,387.0,0.034941523074394354,0.001095406235732464
38,388.0,0.03624719776416896,0.001090705169179428
39,389.0,0.037563509618394164,0.0010859971238313384
40,390.0,0.03888900194169764,0.0010813208259321733
41,391.0,0.04022225568314752,0.0010767010870816425
42,392.0,0.04156188980277875,0.0010721497828376735
43,393.0,0.04290656163220774,0.001067667046544317
44,394.0,0.044254967155666236,0.0010632425925685641
45,395.0,0.04560584124965317,0.001058857134779383
46,396.0,0.04695795789848489,0.0010544838716318187
47,397.0,0.0483101303220792,0.0010500899777990597
48,398.0,0.04966121110282984,0.0010456380613639653
49,399.0,0.05101009222926223,0.0010410875941070793
50,400.0,0.05235570512377308,0.0010363962162359022
51,401.0,0.05369702060306736,0.0010315209816967245
52,402.0,0.05503304881585791,0.001026419463278525
53,403.0,0.05636283912599538,0.001021050732870163
54,404.0,0.05768547994512119,0.001015376222582074
55,405.0,0.05900009856259203,0.0010093604704437215
56,406.0,0.060305860876269435,0.001002971704351563
57,407.0,0.06160197114513721,0.000996182363526407
58,408.0,0.06288767166779508,0.000988969455134962
59,409.0,0.06416224242457247,0.0009813148624779784
60,410.0,0.06542500070690949,0.0009732055313933101
61,411.0,0.06667530068762062,0.000964633592390304
62,412.0,0.06791253297160438,0.0009555964145838512
63,413.0,0.06913612411608483,0.0009460965947842071
64,414.0,0.07034553610583316,0.0009361418943528333
65,415.0,0.07154026582156803,0.0009257451449964759
66,416.0,0.07271984444969348,0.0009149241068569904
67,417.0,0.07388383689522016,0.0009037012958570749
68,418.0,0.07503184114557371,0.0008921037990775769
69,419.0,0.07616348763031056,0.0008801630469546248
70,420.0,0.07727843853672312,0.0008679145777374713
71,421.0,0.07837638712999251,0.0008553977966419051
72,422.0,0.07945705700376493,0.000842655682106359
73,423.0,0.08052020138939042,0.0008297345212359119
74,424.0,0.08156560236375299,0.0008166835798361573
75,425.0,0.0825930701098514,0.0008035548028673907
76,426.0,0.08360244210962264,0.0007904024385844858
77,427.0,0.08459358235904801,0.0007772826851694977
78,428.0,0.08556638055461008,0.0007642532760217517
79,429.0,0.08652075127292846,0.0007513730520563559
80,430.0,0.08745663314402918,0.0007387014907139943
81,431.0,0.08837398800460505,0.0007262981983093173
82,432.0,0.08927280005809735,0.0007142223608299553
83,433.0,0.09015307504205339,0.0007025321605513136
84,434.0,0.09101483933545751,0.0006912841497254683
85,435.0,0.09185813913245511,0.0006805325933864044
86,436.0,0.09268303958060642,0.0006703288010640869
87,437.0,0.09348962391140958,0.0006607204245444823
88,438.0,0.09427799259765379,0.000651750778136812
89,439.0,0.09504826248257814,0.0006434581809656992
90,440.0,0.09580056594359121,0.0006358753451968397
91,441.0,0.09653505003780083,0.0006290288319242633
92,442.0,0.09725187566800741,0.0006229386171873862
93,443.0,0.09795121674460461,0.0006176177649300493
94,444.0,0.09863325936612455,0.0006130722308068049
95,445.0,0.09929820099114295,0.0006093008618614238
96,446.0,0.09994624964565446,0.0006062955065547004
97,447.0,0.10057762313408602,0.0006040413118132538
98,448.0,0.10119254824576274,0.000602517161825746
99,449.0,0.10179125998683958,0.0006016962608974408
100,450.0,0.10237400083269677,0.0006015467947203945
101,451.0,0.10294101999443228,0.000602032710973748
102,452.0,0.10349257268126166,0.000603114515368309
103,453.0,0.10402891939793335,0.0006047501240666561
104,454.0,0.10455032525896968,0.0006068956554715153
105,455.0,0.10505705932155252,0.0006095062457290358
106,456.0,0.10554939392795859,0.0006125367608362448
107,457.0,0.10602760406663947,0.0006159424707825601
108,458.0,0.10649196676740758,0.0006196796385256822
109,459.0,0.10694276050162443,0.0006237059934078496
110,460.0,0.10738026462513517,0.0006279811744649263
111,461.0,0.10780475879300866,0.0006324670388703269
