,index,exposure,spec_date_obs,spec_target_label,spec_filter_label,spec_airmass,spec_pressure,spec_temperature,spec_humidity,spec_hour_angle,spec_parallactic_angle,spec_camera_angle,spec_order,spec_header_target,spec_header_redshift,spec_header_grating,spec_header_rotangle,spec_header_d2ccd,spec_header_lshift,spec_header_parangle,spec_header_targetx,spec_header_targety,spec_header_lbda_ref,spec_header_pixshift,spec_header_psf_reg,spec_header_trace_r,spec_header_chi2_fit,spec_header_a2_fit,spec_header_am_fit,spec_header_meanfwhm,spec_header_version,spec_header_rebin,spec_header_date-obs,spec_header_exptime,spec_header_airmass,spec_header_dec,spec_header_ha,spec_header_outtemp,spec_header_outpress,spec_header_outhum,spec_header_filter,spec_header_cam_rot,spec_header_s_x0,spec_header_s_y0,spec_header_s_xmin,spec_header_s_xmax,spec_header_s_ymin,spec_header_s_ymax,spec_header_s_nx,spec_header_s_ny,spec_header_s_dec,spec_header_s_sat,spec_spectrogram_x0,spec_spectrogram_y0,spec_spectrogram_xmin,spec_spectrogram_xmax,spec_spectrogram_ymin,spec_spectrogram_ymax,spec_spectrogram_deg,spec_spectrogram_saturation,spec_spectrogram_Nx,spec_spectrogram_Ny,me_az_rms,me_el_rms,me_rot_rms,me_image_az_rms,me_image_el_rms,me_image_rot_rms,number,chi2_1,pwv_1,oz_1,grey_1,epwv_1,eoz_1,egrey_1,SNR_1,chi2_2,pwv_2,grey_2,epwv_2,egrey_2,SNR_2,chi2_3,pwv_3,grey_3,epwv_3,egrey_3,SNR_3,chi2_4,pwv_4,grey_4,epwv_4,egrey_4,SNR_4,pwv_avg,pwv_sig
0,0,2022092800358,2022-09-29T02:07:48.026501837Z,HD185975,empty,1.84434579644799,0,0,0,-339.1056293362761,21.44812617870326,159.406447255969,1,HD185975,-6.4999999999999e-05,holo4_003,0.4481054033118506,187.4153953894743,0.0,21.44812617870326,172.366831993514,868.2017138288628,597.2571590735706,0.1070274738675887,0.218776162394955,250.2049922823771,3.87811996108246,1.0,1.84434579644799,5.831302665447714,2.4,2,2022-09-29T02:07:48.026501837Z,30.0,1.84434579644799,-87.4899667293666,-339.1056293362761,0,0,0,empty,159.406447255969,-417.0288657000319,84.20171382886286,589,1726,784,969,1137,185,2,22666.66666666667,-417.0288657000319,84.20171382886286,589,1726,784,969,2,22666.66666666667,1137,185,0.0351625570222923,0.0171032054734066,0.0949727378013059,0.0295725958981896,0.0171032054734066,0.0001289234313318,358,32.03645567867051,5.850067660200373,348.2626682121489,1.0077340482700565,0.0987070772889527,8.433198405497869,0.000968073731744638,0.749814365386459,14.308392893378766,5.8611261033679805,1.0114510677694188,0.10902607969629753,0.0019556735593110716,0.407275889077962,12.449918737037395,7.353171494177676,1.0144560238452962,0.3466967537689712,0.0020392137555588358,0.06429511883249359,7.841670668269272,7.4549465923368095,1.0227832078213352,0.2677679248776373,0.00160064137992547,0.008142971269530588,6.02142406298685,0.9853421379489415
1,1,2022092800359,2022-09-29T02:08:31.036003572Z,HD185975,empty,1.84447755249947,0,0,0,-338.925899676446,21.63236099603876,159.406515226812,1,HD185975,-6.4999999999999e-05,holo4_003,0.4579188557942806,187.314831439876,0.0,21.63236099603876,173.3763014617159,867.0284586881777,597.2571590735706,0.100093230994115,0.3464874429751444,241.8057234690523,4.690418229685577,1.0,1.84447755249947,5.944989540532959,2.4,2,2022-09-29T02:08:31.036003572Z,30.0,1.84447755249947,-87.489974137665,-338.925899676446,0,0,0,empty,159.406515226812,-418.4967081002419,84.02845868817775,592,1728,783,968,1136,185,2,22666.66666666667,-418.4967081002419,84.02845868817775,592,1728,783,968,2,22666.66666666667,1136,185,0.0304168301711458,0.013139939835039,0.1080395944256214,0.0255820830987281,0.013139939835039,0.0001466614057413,359,46.88157984427109,5.25246353403515,361.66697747414435,1.0060901191746268,0.11546803893045024,10.30298951385486,0.0011754365626414178,2.0567251159150213,22.330416057060514,5.455831875910067,1.0215638708364156,0.127419442836998,0.002437570561808713,0.7911301570611247,14.318966760642448,7.26886454335127,1.012021121422086,0.3721034528911787,0.0021692913438980848,0.00023409648344069418,8.830569148013677,7.3702014917702705,1.021713397982958,0.28215103928922985,0.0016805355113534014,0.05984076647209818,5.595800349225384,1.2334012480249374
2,20,2022092800469,2022-09-29T03:24:22.341002192Z,HD185975,empty,1.86592363225179,0,0,0,-319.7397233801398,41.24860198394377,139.580308358342,1,HD185975,-6.4999999999999e-05,holo4_003,0.4525452029042498,187.4146559443544,0.0,41.24860198394377,177.442433422428,868.6661274413408,597.2571590735706,0.09491401889205843,0.6205117361328589,221.203966198972,5.350137040242657,1.0,1.86592363225179,5.584370542746609,2.4,2,2022-09-29T03:24:22.341002192Z,30.0,1.86592363225179,-87.4998053451904,-319.7397233801398,0,0,0,empty,139.580308358342,-418.7981353923551,83.6661274413408,596,1732,785,970,1136,185,2,22666.66666666667,-418.7981353923551,83.6661274413408,596,1732,785,970,2,22666.66666666667,1136,185,0.2792831968475747,0.0132847533483686,0.0940019768792752,0.2360056568061054,0.0132847533483686,0.0001276056444387,469,50.97020933167111,5.216691088894103,339.56425749004063,1.010164764485148,0.11567628689644374,10.482535041951943,0.0012174339549692844,1.5928368296579374,24.08884468948591,5.310233709329267,1.017563501806841,0.12971959803850674,0.0024857430876199407,0.8309977049232986,19.9368482448594,6.15939974278565,1.013864852898235,0.39505079486028877,0.0024730662389803103,0.0776161713201476,14.283399571071492,7.019725992493154,1.0254092940917552,0.3464931079890481,0.0020797869200856146,0.04117886314749311,5.395455780255037,0.9029235455592683
3,21,2022092800470,2022-09-29T03:25:05.327496966Z,HD185975,empty,1.86618264068666,0,0,0,-319.5563603230705,41.43561682494354,139.576528565574,1,HD185975,-6.4999999999999e-05,holo4_003,0.4536751484204435,187.3217298343728,0.0,41.43561682494354,178.2711444900541,868.5562927820458,597.2571590735706,0.1774242141787825,0.5979811581852994,216.2310473352715,6.39311819030867,1.0,1.86618264068666,5.958018739270479,2.4,2,2022-09-29T03:25:05.327496966Z,30.0,1.86618264068666,-87.4996756436287,-319.5563603230705,0,0,0,empty,139.576528565574,-417.8949023784519,83.55629278204583,596,1732,785,970,1136,185,2,22666.66666666667,-417.8949023784519,83.55629278204583,596,1732,785,970,2,22666.66666666667,1136,185,0.3609162599609329,0.0067945907479604,0.0991571600826161,0.3050060192868946,0.0067945907479604,0.0001346036938064,470,53.06790701015298,5.148680566678649,337.42026753149776,0.9994923540327911,0.11878702219823616,10.734875132587126,0.0012323686325421397,1.6560313419554205,22.881254190740744,5.281024900998278,1.0079272269881747,0.12672433323207236,0.0024027322310058797,0.8772921085356113,18.63521904401212,6.206223074202427,1.005508935516917,0.38204833361201684,0.002365053436701497,0.025491240221684277,16.887533752576754,6.70726056135402,1.0134748379033602,0.36764938483940063,0.002236893467831195,0.02402168904554329,5.3319862136139555,0.8203456033199256
4,36,2022092800568,2022-09-29T04:38:23.799991948Z,HD185975,empty,1.89907099984005,0,0,0,-300.8699115909757,60.41442358845356,120.896060637042,1,HD185975,-6.4999999999999e-05,holo4_003,0.4596630802610826,187.3498192802029,0.0,60.41442358845356,153.7551358705842,867.1319080713852,597.2571590735706,0.08671306849004934,0.07809531841881143,268.5749342028467,3.18325820832283,1.0,1.89907099984005,6.432011735842875,2.4,2,2022-09-29T04:38:23.799991948Z,30.0,1.89907099984005,-87.5138738968806,-300.8699115909757,0,0,0,empty,120.896060637042,-418.6353277325724,84.13190807138511,572,1708,783,968,1136,185,2,22666.66666666667,-418.6353277325724,84.13190807138511,572,1708,783,968,2,22666.66666666667,1136,185,0.012792671466036,0.0093650117313545,0.0947036851804616,0.0108854347603706,0.0093650117313545,0.0001285581982355,568,23.99406061901191,6.010196511229086,357.7440904424469,1.0181428757380693,0.09187082175575195,7.154379849026773,0.0008534003163591235,0.22564366725286414,11.241929204212637,5.8701920594987955,1.0158987969449034,0.097717314929945,0.0017716778166382407,0.1974014763451986,6.101990817682448,7.359964587822359,1.0228325539099963,0.2518243950969739,0.0014946893796095933,0.11390013793550455,5.632417305983197,7.248881364223963,1.031584457673027,0.22742510660658904,0.0013916345389034107,0.007888416556239444,6.128547247676277,0.8444364242482897
5,37,2022092800569,2022-09-29T04:39:06.609505316Z,HD185975,empty,1.89943104300407,0,0,0,-300.6910756299065,60.59543177820609,120.896215099578,1,HD185975,-6.4999999999999e-05,holo4_003,0.4634979374877353,187.4114340573446,0.0,60.59543177820609,155.7180326534259,866.7514735233708,597.2571590735706,0.1410823963272779,0.5195471896906277,224.5266570797946,5.226546526254458,1.0,1.89943104300407,6.184166378355479,2.4,2,2022-09-29T04:39:06.609505316Z,30.0,1.89943104300407,-87.5138726286297,-300.6910756299065,0,0,0,empty,120.896215099578,-418.5940161493201,83.7514735233708,574,1710,783,968,1136,185,2,22666.66666666667,-418.5940161493201,83.7514735233708,574,1710,783,968,2,22666.66666666667,1136,185,0.0127805648823079,0.0075060253888386,0.0890830615655595,0.0108759133891696,0.0075060253888386,0.0001209283236058,569,44.87155907187969,6.191396800524105,335.6058425287336,1.011195344288187,0.12158321476791115,9.689490533609813,0.0011504330184613928,0.37611863819814884,17.44289872431071,5.897666408273628,1.0004841364462551,0.11951615433520481,0.0021368401844997866,0.23858973140163955,18.058017159078215,6.440852503987313,1.0094345470363861,0.3819664720494691,0.002389978546011081,0.059918689325488966,13.654646057527879,7.122673158517322,1.0228393387524093,0.3431113303252531,0.0020751073692562485,0.0001259034574085437,6.119875362682317,0.5392406420287309
6,40,2022092800591,2022-09-29T04:53:33.118002418Z,HD185975,empty,1.90707986862763,0,0,0,-297.0046579502601,64.3233084521712,116.851635238048,1,HD185975,-6.4999999999999e-05,holo4_003,0.459958797797652,187.5538385898025,0.0,64.3233084521712,157.8527311411992,870.0219255289065,597.2571590735706,0.04651488100411041,0.8911226860421803,200.0537326092564,9.907184155717559,1.0,1.90707986862763,7.669063302522416,2.4,2,2022-09-29T04:53:33.118002418Z,30.0,1.90707986862763,-87.5142929717082,-297.0046579502601,0,0,0,empty,116.851635238048,-418.2676719279434,84.02192552890655,576,1712,786,971,1136,185,2,22666.66666666667,-418.2676719279434,84.02192552890655,576,1712,786,971,2,22666.66666666667,1136,185,0.0104559963756685,0.0089841078079572,0.1046324160078888,0.008911420708463,0.0089841078079572,0.0001420362349508,591,71.17004379860303,5.9948127613815565,330.5929310409194,1.0056427684436222,0.148357728989954,12.261442174992176,0.0014577447130817089,0.47481051461751894,29.292831845059485,5.571222850098723,0.9905263441453441,0.1575813375831614,0.002785847022350543,0.4048002926424789,28.71845445337075,5.626191731052521,0.9969492357935291,0.47242358219156855,0.0030079782306891324,0.04272021592475079,22.652901506617162,6.669274872492236,1.0116651335377718,0.439974434657188,0.0026907376490974693,0.05976037966004105,5.835131866729427,0.45678126371809175
7,41,2022092800592,2022-09-29T04:54:15.923498584Z,HD185975,empty,1.90745980657821,0,0,0,-296.8257725908007,64.50406553529272,116.851651549164,1,HD185975,-6.4999999999999e-05,holo4_003,0.4574258660745882,187.3209308264149,0.0,64.50406553529272,157.883700681,870.8539883653386,597.2571590735706,0.1480465945466539,0.7046930689671468,217.5563334114821,6.553372797756147,1.0,1.90745980657821,6.310621754483458,2.4,2,2022-09-29T04:54:15.923498584Z,30.0,1.90745980657821,-87.5142942210048,-296.8257725908007,0,0,0,empty,116.851651549164,-417.3904447688269,83.85398836533861,575,1712,787,972,1137,185,2,22666.66666666667,-417.3904447688269,83.85398836533861,575,1712,787,972,2,22666.66666666667,1137,185,0.008504028933445,0.0071357418235225,0.0850240655653527,0.0072483508447463,0.0071357418235225,0.0001154183245869,592,63.66589769348038,5.713635512325623,353.3504906513414,1.0119959359575703,0.13872291305951595,11.598472582655235,0.0013740840305772218,0.5107267992456601,24.72240430210387,5.499992370111633,1.0069242652823875,0.13335290160585106,0.002546708969045613,0.6453548712448498,22.891647463574014,5.99686678143544,1.0091711923446083,0.4009429683780774,0.002634222928358972,0.05747159076866731,16.127825841667995,6.800767465733979,1.02096684357335,0.36211427690009823,0.0022341100652793116,0.008478940630168885,5.697564926740707,0.5800712501751184
8,54,2022092800688,2022-09-29T06:02:11.042007314Z,HD185975,empty,1.94754640833509,0,0,0,-279.5284471404152,81.91524761645292,99.50725749824801,1,HD185975,-6.4999999999999e-05,holo4_003,0.4754832013680346,187.3835859382168,0.0,81.91524761645292,148.8394828503575,888.7304021708924,597.2571590735706,0.1484846393302016,0.1467236086907749,264.2087731571746,5.110942548637436,1.0,1.94754640833509,5.967246126964048,2.4,2,2022-09-29T06:02:11.042007314Z,30.0,1.94754640833509,-87.5138628073961,-279.5284471404152,0,0,0,empty,99.50725749824801,-417.4878919913567,83.73040217089238,566,1703,805,990,1137,185,2,22666.66666666667,-417.4878919913567,83.73040217089238,566,1703,805,990,2,22666.66666666667,1137,185,0.0094265176215027,0.0095473298131051,0.103565845823075,0.0080964064211441,0.0095473298131051,0.0001405883890619,688,27.92406690984544,6.144780494954966,345.58410296499045,1.0159788503795115,0.09444148283422553,7.440780396066458,0.0009109237702369463,0.21264346799868297,10.819500471441367,5.862596979195991,1.006478694106005,0.09309693135634205,0.0016903393822304078,0.11606167348038487,8.560116420257216,7.203414086828828,1.019518301144491,0.2802765685173684,0.00172415146139453,0.10047307524442019,6.147043530633461,7.043011195418279,1.0291010173976842,0.22738290142903564,0.0014093508059189043,0.009570763395973127,6.138196507594151,0.7122809416507846
9,55,2022092800689,2022-09-29T06:02:53.859495302Z,HD185975,empty,1.94799069622903,0,0,0,-279.3497351354097,82.09443103748006,99.50751353893,1,HD185975,-6.4999999999999e-05,holo4_003,0.4938678568661133,187.2012523751455,0.0,82.09443103748006,149.1148100141094,889.1729531762454,597.2571590735706,0.1153777901098563,0.3170479869191944,280.9321121574,9.098448322012208,1.0,1.94799069622903,5.244091679719166,2.4,2,2022-09-29T06:02:53.859495302Z,30.0,1.94799069622903,-87.5138603930598,-279.3497351354097,0,0,0,empty,99.50751353893,-416.9186350250145,83.17295317624536,565,1702,806,991,1137,185,2,22666.66666666667,-416.9186350250145,83.17295317624536,565,1702,806,991,2,22666.66666666667,1137,185,0.0070545030160223,0.0091105706395591,0.1045106314525418,0.0060595869812469,0.0091105706395591,0.0001418709150588,689,54.964476455798156,4.992994650064816,380.89701802532693,1.007072763278384,0.11204548868124531,10.513030553925697,0.0012627401243474052,3.067185689893526,39.51468214772495,4.954010491190578,1.0182199344330543,0.15356246324105083,0.003166210226251047,1.6692976474267165,13.209639781449624,6.875564919325167,1.0053039397060881,0.3234294648290318,0.0020382563613158596,0.034473675791798754,9.777066743466909,6.912887668919101,1.0145964028986865,0.27108313697689496,0.0016953980548635097,0.06578068024039008,5.285426365956653,1.1589352551000798
