,index,exposure,spec_date_obs,spec_target_label,spec_filter_label,spec_airmass,spec_pressure,spec_temperature,spec_humidity,spec_hour_angle,spec_parallactic_angle,spec_camera_angle,spec_order,spec_header_target,spec_header_redshift,spec_header_grating,spec_header_rotangle,spec_header_d2ccd,spec_header_lshift,spec_header_parangle,spec_header_targetx,spec_header_targety,spec_header_lbda_ref,spec_header_pixshift,spec_header_psf_reg,spec_header_trace_r,spec_header_chi2_fit,spec_header_a2_fit,spec_header_am_fit,spec_header_meanfwhm,spec_header_version,spec_header_rebin,spec_header_date-obs,spec_header_exptime,spec_header_airmass,spec_header_dec,spec_header_ha,spec_header_outtemp,spec_header_outpress,spec_header_outhum,spec_header_filter,spec_header_cam_rot,spec_header_s_x0,spec_header_s_y0,spec_header_s_xmin,spec_header_s_xmax,spec_header_s_ymin,spec_header_s_ymax,spec_header_s_nx,spec_header_s_ny,spec_header_s_dec,spec_header_s_sat,spec_spectrogram_x0,spec_spectrogram_y0,spec_spectrogram_xmin,spec_spectrogram_xmax,spec_spectrogram_ymin,spec_spectrogram_ymax,spec_spectrogram_deg,spec_spectrogram_saturation,spec_spectrogram_Nx,spec_spectrogram_Ny,number,chi2_1,pwv_1,oz_1,grey_1,epwv_1,eoz_1,egrey_1,SNR_1,chi2_2,pwv_2,grey_2,epwv_2,egrey_2,SNR_2,chi2_3,pwv_3,grey_3,epwv_3,egrey_3,SNR_3,chi2_4,pwv_4,grey_4,epwv_4,egrey_4,SNR_4,pwv_avg,pwv_sig
0,0,2022120900273,2022-12-10T03:46:52.548990275Z,HD185975,empty,2.04595737720579,0,0,0,-242.5661537052705,118.7064525216249,61.62087167519601,1,HD185975,-6.4999999999999e-05,holo4_003,0.4980784101184441,187.2407362988432,0.0,118.7064525216249,150.043998463132,867.8856929930753,597.2571590735706,0.1212441079690926,1.734303098481987,206.5555560505572,11.46194856512577,1.0,2.04595737720579,6.790987186764156,2.4,2,2022-12-10T03:46:52.548990275Z,30.0,2.04595737720579,-87.4666307280977,-242.5661537052705,0,0,0,empty,61.62087167519601,-417.2525191577532,82.88569299307522,567,1704,785,970,1137,185,2,22666.66666666667,-417.2525191577532,82.88569299307522,567,1704,785,970,2,22666.66666666667,1137,185,273,255.5400316315374,1.510860760265175,244.9391302757729,0.9818329382002237,0.16122590801384645,25.58740362374444,0.0031189600717085432,2.340769657034953,255.5400316315374,1.510860760265175,0.9818329382002237,0.16122590801384645,0.0031189600717085432,2.340769657034953,26.630670036241238,1.770817518126556,0.9835597678049008,0.2805154141101951,0.0028327081020999307,0.18882825403942013,21.862256728713124,1.964695243491216,0.9833667492945692,0.31468805356372465,0.0026845621774237104,0.13624333629593266,1.5899248053147288,0.21545144541091743
1,1,2022120900274,2022-12-10T03:47:35.460999425Z,HD185975,empty,2.04641011331252,0,0,0,-242.3902718790785,118.8800148092371,61.62461480155,1,HD185975,-6.4999999999999e-05,holo4_003,0.5012198198800977,187.2884552749915,0.0,118.8800148092371,148.4984553668711,867.2343527260128,597.2571590735706,0.01993911038353758,0.5405987037366861,253.6460631328404,7.403294478663077,1.0,2.04641011331252,5.003604524251827,2.4,2,2022-12-10T03:47:35.460999425Z,30.0,2.04641011331252,-87.4667703167205,-242.3902718790785,0,0,0,empty,61.62461480155,-417.6019644105967,83.23435272601284,566,1703,784,969,1137,185,2,22666.66666666667,-417.6019644105967,83.23435272601284,566,1703,784,969,2,22666.66666666667,1137,185,274,90.42998381306127,2.120513790159041,272.3202277951887,0.9954856025574601,0.10872972170551466,15.257055229197965,0.0018773845972058904,0.10094406764597436,90.42998381306127,2.120513790159041,0.9954856025574601,0.10872972170551466,0.0018773845972058904,0.10094406764597436,11.228028938834331,2.3966100370656886,0.9935978503572637,0.21740925357223387,0.0019626576641051567,0.008306013941247576,6.92911187739643,2.275001708414442,0.995650515884329,0.19273390484487216,0.0015596110724093685,0.06140110171362941,2.166544101224507,0.13127353738036085
2,16,2022120900305,2022-12-10T04:21:24.647999125Z,HD185975,empty,2.06775197787392,0,0,0,-233.8807993044665,127.2656924580548,52.86130297653401,1,HD185975,-6.4999999999999e-05,holo4_003,0.520140446114254,188.2053858243851,0.0,127.2656924580548,136.259516898944,775.3879111682382,597.2571590735706,-1.994806499901273,0.7204850936774869,254.0737980381851,10.39939923807058,1.0,2.06775197787392,4.972356126087105,2.4,2,2022-12-10T04:21:24.647999125Z,30.0,2.06775197787392,-87.4721885731278,-233.8807993044665,0,0,0,empty,52.86130297653401,-419.7499981534672,82.38791116823828,558,1695,693,878,1137,185,2,22666.66666666667,-419.7499981534672,82.38791116823828,558,1695,693,878,2,22666.66666666667,1137,185,305,539.2499309602167,1.8402696776984118,249.9482142901685,0.9910006368834889,0.22859082392535954,36.43997241275228,0.004528467570539309,0.6329779230617412,539.2499309602167,1.8402696776984118,0.9910006368834889,0.22859082392535954,0.004528467570539309,0.6329779230617412,20.650188598061632,2.1108151923283986,1.0007156252894371,0.29559216537002164,0.0025867997046211985,0.032237624635954545,9.719887473501295,2.219327329648032,0.999160104667163,0.22069316996742983,0.0018207035653179156,0.053269693107001984,1.9951285056920178,0.16704118903976234
3,17,2022120900306,2022-12-10T04:22:07.528995204Z,HD185975,empty,2.06817565190813,0,0,0,-233.7025169809655,127.4411533668255,52.86253326486701,1,HD185975,-6.4999999999999e-05,holo4_003,0.5468357847505319,187.9968382168313,0.0,127.4411533668255,136.4621058821411,774.9426329255218,597.2571590735706,-1.99996763850811,0.2017785514738799,312.3831599811874,10.76850138666347,1.0,2.06817565190813,4.837333477914788,2.4,2,2022-12-10T04:22:07.528995204Z,30.0,2.06817565190813,-87.4722637007931,-233.7025169809655,0,0,0,empty,52.86253326486701,-420.5379783337104,81.94263292552185,559,1695,693,878,1136,185,2,22666.66666666667,-420.5379783337104,81.94263292552185,559,1695,693,878,2,22666.66666666667,1136,185,306,177.37041619000166,1.8054747408908525,275.9627606389291,0.9951120552968606,0.13297482103242486,21.019278429830205,0.002606830062303889,1.1366652623013782,177.37041619000166,1.8054747408908525,0.9951120552968606,0.13297482103242486,0.002606830062303889,1.1366652623013782,6.959931137890779,2.659208859690484,1.008644106078603,0.19004862020133353,0.0015653536048176279,0.034196731523051686,3.19020719487698,2.3801626899948336,1.0014513220098515,0.12949730997845976,0.0010631069662827806,0.02390340622641591,2.094393220491524,0.3767056781140484
4,27,2022120900317,2022-12-10T04:50:56.519490383Z,HD185975,empty,2.08457858250281,0,0,0,-226.4811262432135,134.5417055074404,45.540337965547,1,HD185975,-6.4999999999999e-05,holo4_003,0.5105832480343966,187.2069669375768,0.0,134.5417055074404,54.96187419411806,885.55218254215,597.2571590735706,0.04659591626721031,0.1398379343334742,272.9482226181469,6.384471755637664,1.0,2.08457858250281,6.526422736667089,2.4,2,2022-12-10T04:50:56.519490383Z,30.0,2.08457858250281,-87.472182166003,-226.4811262432135,0,0,0,empty,45.540337965547,-418.1417383219235,82.55218254215009,473,1609,803,988,1136,185,2,22666.66666666667,-418.1417383219235,82.55218254215009,473,1609,803,988,2,22666.66666666667,1136,185,317,51.755214420002936,2.516302768674539,325.4567326341276,1.0022414995456534,0.09465194871607684,11.469124632490296,0.0014536627180654254,0.47079024034366507,51.755214420002936,2.516302768674539,1.0022414995456534,0.09465194871607684,0.0014536627180654254,0.47079024034366507,3.7168900827969904,2.6625099423281857,0.9923444605057156,0.14437778070744303,0.001214966757799306,0.0654164234800909,2.6261833034622235,2.163705309361233,0.9947595278245086,0.12524833627148305,0.0010094745531765302,0.06667492563680785,2.470139513687306,0.18382763368061802
5,28,2022120900318,2022-12-10T04:51:39.464994835Z,HD185975,empty,2.08496779507624,0,0,0,-226.2992672142015,134.7202796936055,45.538111022088,1,HD185975,-6.4999999999999e-05,holo4_003,0.5249048751418584,187.310511046614,0.0,134.7202796936055,52.7625915621671,885.4628139838596,597.2571590735706,-0.1819321101444241,0.02387811282913168,359.5040720144091,5.951620740379027,1.0,2.08496779507624,5.884230970874889,2.4,2,2022-12-10T04:51:39.464994835Z,30.0,2.08496779507624,-87.4723127225885,-226.2992672142015,0,0,0,empty,45.538111022088,-418.0257657275138,82.46281398385962,471,1608,803,988,1137,185,2,22666.66666666667,-418.0257657275138,82.46281398385962,471,1608,803,988,2,22666.66666666667,1137,185,318,39.98389706407677,1.9731246373537512,337.55087681481234,1.0025692197729295,0.06326590611391089,9.947283422091509,0.0012530732767025725,0.3486801767269327,39.98389706407677,1.9731246373537512,1.0025692197729295,0.06326590611391089,0.0012530732767025725,0.3486801767269327,2.350802391712899,2.677486087271733,1.000039122137674,0.11193724415149348,0.0009582993881395835,0.05109155294580561,1.3321123540932869,2.238745802014046,0.9960034168039135,0.08791216823899888,0.0007145384455180906,0.039431135066491506,2.100908440583592,0.30987833160867745
