,index,exposure,spec_date_obs,spec_target_label,spec_filter_label,spec_airmass,spec_pressure,spec_temperature,spec_humidity,spec_hour_angle,spec_parallactic_angle,spec_camera_angle,spec_order,spec_header_target,spec_header_redshift,spec_header_grating,spec_header_rotangle,spec_header_d2ccd,spec_header_lshift,spec_header_parangle,spec_header_targetx,spec_header_targety,spec_header_lbda_ref,spec_header_pixshift,spec_header_psf_reg,spec_header_trace_r,spec_header_chi2_fit,spec_header_a2_fit,spec_header_am_fit,spec_header_meanfwhm,spec_header_version,spec_header_rebin,spec_header_date-obs,spec_header_exptime,spec_header_airmass,spec_header_dec,spec_header_ha,spec_header_outtemp,spec_header_outpress,spec_header_outhum,spec_header_filter,spec_header_cam_rot,spec_header_s_x0,spec_header_s_y0,spec_header_s_xmin,spec_header_s_xmax,spec_header_s_ymin,spec_header_s_ymax,spec_header_s_nx,spec_header_s_ny,spec_header_s_dec,spec_header_s_sat,spec_spectrogram_x0,spec_spectrogram_y0,spec_spectrogram_xmin,spec_spectrogram_xmax,spec_spectrogram_ymin,spec_spectrogram_ymax,spec_spectrogram_deg,spec_spectrogram_saturation,spec_spectrogram_Nx,spec_spectrogram_Ny,me_az_rms,me_el_rms,me_rot_rms,me_image_az_rms,me_image_el_rms,me_image_rot_rms,number,chi2_1,pwv_1,oz_1,grey_1,epwv_1,eoz_1,egrey_1,SNR_1,chi2_2,pwv_2,grey_2,epwv_2,egrey_2,SNR_2,chi2_3,pwv_3,grey_3,epwv_3,egrey_3,SNR_3,chi2_4,pwv_4,grey_4,epwv_4,egrey_4,SNR_4,pwv_avg,pwv_sig
0,0,2022110900313,2022-11-10T00:37:55.117994989Z,HD185975,empty,1.86576436968504,0,0,0,-320.0407339363972,40.93870142782299,138.964315834042,1,HD185975,-6.4999999999999e-05,holo4_003,0.4908320997199195,185.8190011396165,0.0,40.93870142782299,162.173544403739,863.6594626094324,597.2571590735706,1.999996477412469,206.0333386124837,52.83369134667439,290.1381211204152,1.0,1.86576436968504,3.358293836945138,2.4,2,2022-11-10T00:37:55.117994989Z,30.0,1.86576436968504,-87.5069905499449,-320.0407339363972,0,0,0,empty,138.964315834042,-415.8433505562809,83.6594626094324,574,1711,780,965,1137,185,2,22666.66666666667,-415.8433505562809,83.6594626094324,574,1711,780,965,2,22666.66666666667,1137,185,0.0483822320247821,0.0611821708739251,0.0961971356431082,0.040883627483435,0.0611821708739251,0.0001305855248413,313,30063.47704621794,0.0010000000000293789,50.00000000000006,0.2745364395475724,0.7003813715029831,1295.0236966601974,0.025951339032939058,345.67043357997085,30063.47704621794,0.0010000000000293789,0.2745364395475724,0.7003813715029831,0.025951339032939058,345.67043357997085,10249.840297054867,0.001000000000000002,1.328928597631693,0.33961869375394466,0.0833649481897323,209.14358825057369,8178.14934845828,0.0010000000000000005,1.521746377186456,0.42794385239810695,0.07605248804960607,81.53702737369163,0.0010000000000065798,1.6779067955770355e-14
1,1,2022110900314,2022-11-10T00:38:38.161992592Z,HD185975,empty,1.86602134024431,0,0,0,-319.8621076933188,41.1208501053616,138.961374088639,1,HD185975,-6.4999999999999e-05,holo4_003,0.5024531123340863,187.484108526625,0.0,41.1208501053616,155.8278310264037,862.7581075124724,597.2571590735706,0.2910684149628795,0.3631825720751922,113.9908289659982,14.49052259712129,1.0,1.86602134024431,9.473132223700386,2.4,2,2022-11-10T00:38:38.161992592Z,30.0,1.86602134024431,-87.5069685302352,-319.8621076933188,0,0,0,empty,138.961374088639,-417.3244669999535,82.75810751247239,573,1710,780,965,1137,185,2,22666.66666666667,-417.3244669999535,82.75810751247239,573,1710,780,965,2,22666.66666666667,1137,185,0.0844787972933689,0.0720154735577859,0.0974966699451218,0.0713896284399292,0.0720154735577859,0.0001323496144656,314,4554.832974117155,0.0010000000000000002,50.00000000000001,1.9999999999999998,0.610413732191084,194.72436456173008,0.042594448044281585,17.275879643027327,4554.832974117155,0.0010000000000000002,1.9999999999999998,0.610413732191084,0.042594448044281585,17.275879643027327,527.7583738276687,0.001000000000004653,1.9999999999999998,1.1944589084340655,0.03973419862399794,28.54453558923374,1673.9955915964124,0.0010000000000000002,1.9999999999999998,3.5880341043920643,0.07881207824134849,31.17999479048437,0.0010000000000005308,2.1116727327157063e-15
2,36,2022110900409,2022-11-10T01:46:22.822501320Z,HD185975,empty,1.89565561979202,0,0,0,-302.7251646062276,58.53630769308012,121.494188648299,1,HD185975,-6.4999999999999e-05,holo4_003,0.4623528499316081,187.3622301820513,0.0,58.53630769308012,157.1266514472331,872.0719838121596,597.2571590735706,0.0866570556558591,1.308428514173724,174.0871361089189,1.085353586419574,1.0,1.89565561979202,10.44164421191769,2.4,2,2022-11-10T01:46:22.822501320Z,30.0,1.89565561979202,-87.5129793562504,-302.7251646062276,0,0,0,empty,121.494188648299,-417.0553408424316,84.07198381215956,574,1711,788,973,1137,185,2,22666.66666666667,-417.0553408424316,84.07198381215956,574,1711,788,973,2,22666.66666666667,1137,185,0.0227380195610013,0.091729054306341,0.0935292986638378,0.0193346981532185,0.091729054306341,0.000126963994015,409,68.00524207625065,6.021416053454102,50.000000031746694,0.1875033070300313,0.8399473511901155,51.74606460654336,0.0012267916963081993,0.13735530271183038,68.00524207625065,6.021416053454102,0.1875033070300313,0.8399473511901155,0.0012267916963081993,0.13735530271183038,11.440588194904828,5.83660338924086,0.16792375526147052,1.3950007762091425,0.0014634370328659343,0.02119256250317266,7.888274224184274,5.0850307797512855,0.17885119610950953,1.12702209871294,0.0013028443493688453,0.11101124026711867,5.82021185847052,0.39424806814547453
3,37,2022110900410,2022-11-10T01:47:05.731998813Z,HD185975,empty,1.89600840538182,0,0,0,-302.5446750886057,58.71911531059298,121.493027650315,1,HD185975,-6.4999999999999e-05,holo4_003,0.455253417250609,187.3007409598811,0.0,58.71911531059298,157.7873155871588,870.5549693119327,597.2571590735706,0.2340960885798464,0.7647156884388345,196.4260876176338,1.203670874877907,1.0,1.89600840538182,9.364697329104667,2.4,2,2022-11-10T01:47:05.731998813Z,30.0,1.89600840538182,-87.5130110430963,-302.5446750886057,0,0,0,empty,121.493027650315,-417.6819702371916,83.55496931193267,575,1712,787,972,1137,185,2,22666.66666666667,-417.6819702371916,83.55496931193267,575,1712,787,972,2,22666.66666666667,1137,185,0.0334019699662847,0.1366784354870778,0.0938836608167393,0.0284045694177009,0.1366784354870778,0.0001274450329504,410,75.60191833136861,6.581274692151889,84.5982627064746,0.2025154887600281,0.842247514580296,48.76079898171237,0.0012522829115361675,0.7178565297558607,75.60191833136861,6.581274692151889,0.2025154887600281,0.842247514580296,0.0012522829115361675,0.7178565297558607,6.00204357868737,7.3537185139255765,0.1819830122939914,0.992081002564142,0.0010506753028775126,0.01770067304712826,6.048460380455021,5.636055876909867,0.19288264980062983,0.8729344258014085,0.0010639034202012938,0.0022771095148477506,6.4927698354888586,0.6105034097021703
