,index,exposure,spec_date_obs,spec_target_label,spec_filter_label,spec_airmass,spec_pressure,spec_temperature,spec_humidity,spec_hour_angle,spec_parallactic_angle,spec_camera_angle,spec_order,spec_header_target,spec_header_redshift,spec_header_grating,spec_header_rotangle,spec_header_d2ccd,spec_header_lshift,spec_header_parangle,spec_header_targetx,spec_header_targety,spec_header_lbda_ref,spec_header_pixshift,spec_header_psf_reg,spec_header_trace_r,spec_header_chi2_fit,spec_header_a2_fit,spec_header_am_fit,spec_header_meanfwhm,spec_header_version,spec_header_rebin,spec_header_date-obs,spec_header_exptime,spec_header_airmass,spec_header_dec,spec_header_ha,spec_header_outtemp,spec_header_outpress,spec_header_outhum,spec_header_filter,spec_header_cam_rot,spec_header_s_x0,spec_header_s_y0,spec_header_s_xmin,spec_header_s_xmax,spec_header_s_ymin,spec_header_s_ymax,spec_header_s_nx,spec_header_s_ny,spec_header_s_dec,spec_header_s_sat,spec_spectrogram_x0,spec_spectrogram_y0,spec_spectrogram_xmin,spec_spectrogram_xmax,spec_spectrogram_ymin,spec_spectrogram_ymax,spec_spectrogram_deg,spec_spectrogram_saturation,spec_spectrogram_Nx,spec_spectrogram_Ny,number,chi2_1,pwv_1,oz_1,grey_1,epwv_1,eoz_1,egrey_1,SNR_1,chi2_2,pwv_2,grey_2,epwv_2,egrey_2,SNR_2,chi2_3,pwv_3,grey_3,epwv_3,egrey_3,SNR_3,chi2_4,pwv_4,grey_4,epwv_4,egrey_4,SNR_4,pwv_avg,pwv_sig
0,0,2023021500294,2023-02-16T02:20:14.274003145Z,HD185975,empty,2.13383974272945,0,0,0,-196.3924682528055,163.9972285545449,17.152280706109,1,HD185975,-6.4999999999999e-05,holo4_003,0.5055505731499668,187.4219387485803,0.0,163.9972285545449,150.2654647440044,875.2852672401604,597.2571590735706,0.001812336475227717,0.06255326747076054,226.2773249201315,1.883435017990365,1.0,2.13383974272945,9.8852654667129,2.4,2,2023-02-16T02:20:14.274003145Z,30.0,2.13383974272945,-87.483925695274,-196.3924682528055,0,0,0,empty,17.152280706109,-417.8499292503806,82.28526724016041,568,1705,793,978,1137,185,2,22666.66666666667,-417.8499292503806,82.28526724016041,568,1705,793,978,2,22666.66666666667,1137,185,294,13.046568343009518,6.447322574239504,353.0935813337416,1.0136395565055216,0.07531769322967571,5.453618982595242,0.000731162524362052,0.26755189334058654,7.673706741273949,6.323763371313446,1.0150431550516752,0.0966768021962395,0.0017076480522227758,0.1374690510790011,2.6588053443773245,8.18271815050837,1.0219031057910188,0.20932716729963227,0.0012670969008819516,0.03311339486731927,6.626334151927703,8.30300352435732,1.0281685933926177,0.30719004831923874,0.0019576919108205792,0.004842757281812564,6.592730123057335,1.1775592876187508
1,1,2023021500295,2023-02-16T02:20:57.362002161Z,HD185975,empty,2.13401653516105,0,0,0,-196.2123831173605,164.1731245323928,17.15239381838799,1,HD185975,-6.4999999999999e-05,holo4_003,0.4746883864627678,187.4769558326683,0.0,164.1731245323928,151.0385540360097,877.1987474055484,597.2571590735706,-0.09068624759522342,0.008209420471413586,250.9308852777443,1.901856721703499,1.0,2.13401653516105,10.25553367793611,2.4,2,2023-02-16T02:20:57.362002161Z,30.0,2.13401653516105,-87.4839429856662,-196.2123831173605,0,0,0,empty,17.15239381838799,-417.8064650262166,83.19874740554839,568,1705,794,979,1137,185,2,22666.66666666667,-417.8064650262166,83.19874740554839,568,1705,794,979,2,22666.66666666667,1137,185,295,13.148125260174856,7.056458547651389,373.11576809681713,1.0168459138459345,0.08985733771627612,5.483639407446194,0.0007478565000196596,0.15418103090440424,7.787271055690105,7.1758062927580655,1.0234431852979478,0.11374773160161693,0.0018281126028680552,0.0805467700619965,1.8659254359031003,9.009108361653789,1.0288759180480056,0.19572821900901316,0.0011446426112656108,0.026779906277543432,5.749508205177823,8.55850926416624,1.035394560090258,0.3013197488643882,0.0019229901756493484,0.008265774481303603,7.378542893487439,1.0241953960325865
2,22,2023021500349,2023-02-16T02:51:06.975495054Z,HD185975,empty,2.14036291024797,0,0,0,-188.6336749043775,171.5736837814708,9.540823928611019,1,HD185975,-6.4999999999999e-05,holo4_003,0.499002298764338,187.4256776851247,0.0,171.5736837814708,150.1924405520953,871.9227853963941,597.2571590735706,-0.00126000477203019,0.3114404369325093,214.9091941326853,1.993587009155106,1.0,2.14036291024797,8.252582787434436,2.4,2,2023-02-16T02:51:06.975495054Z,30.0,2.14036291024797,-87.4781385017629,-188.6336749043775,0,0,0,empty,9.540823928611019,-417.9323492423425,82.92278539639419,568,1705,789,974,1137,185,2,22666.66666666667,-417.9323492423425,82.92278539639419,568,1705,789,974,2,22666.66666666667,1137,185,349,26.631067818328418,5.445995780854807,341.75704293633237,1.022731846330498,0.09400228801893432,7.544564798112477,0.0010277782972147058,0.8393135461365375,14.488665278951135,5.332245808286001,1.0245408134812013,0.11463242001259254,0.0022756940225595354,0.5189830639530935,9.257750616125293,6.929916819305972,1.028445890223457,0.32613672586402687,0.002121802111467926,0.020085079613475484,11.188562058953524,7.406980059957167,1.0385357035101603,0.35262931738030223,0.0023455742474891477,0.08075708076276283,5.547901166539934,1.164370381108933
3,23,2023021500350,2023-02-16T02:51:49.918499506Z,HD185975,empty,2.14046739604342,0,0,0,-188.4550293453555,171.74806450549,9.541737353595977,1,HD185975,-6.4999999999999e-05,holo4_003,0.5042750435230717,187.6554948747893,0.0,171.74806450549,145.5479629091943,872.9582974214113,597.2571590735706,-0.1878932258559236,0.3849794077015277,228.936882498128,2.421480389703567,1.0,2.14046739604342,7.509802638071228,2.4,2,2023-02-16T02:51:49.918499506Z,30.0,2.14046739604342,-87.4781374010022,-188.4550293453555,0,0,0,empty,9.541737353595977,-417.3863176599502,82.95829742141129,565,1702,790,975,1137,185,2,22666.66666666667,-417.3863176599502,82.95829742141129,565,1702,790,975,2,22666.66666666667,1137,185,350,56.479106212220046,4.728154569603977,339.33127305935614,1.027566242621658,0.1265710706807451,10.952826459138235,0.0014934632344917047,1.1597798240369783,22.670617292286547,4.795447316976639,1.0327320779677753,0.13266321031434136,0.002846775262010824,0.8436152146271021,11.973394963862068,5.260514905218487,1.0304753431099076,0.3242576405302034,0.002309312796222031,0.19126374176993707,23.12246629184854,4.846495464281281,1.0297691963564137,0.43625088160615505,0.0032334357350344276,0.05336398163733319,4.7991108545435,0.23462055275444804
4,46,2023021500409,2023-02-16T03:24:24.390992918Z,HD185975,empty,2.14379162065317,0,0,0,-180.2789002027955,179.7278325963106,1.378282951795995,1,HD185975,-6.4999999999999e-05,holo4_003,0.4854135015514295,187.3862118947887,0.0,179.7278325963106,148.6131843871896,874.7977313731107,597.2571590735706,-0.01480832405708814,0.4534845547567645,182.7525611110925,2.672551332386924,1.0,2.14379162065317,9.62332697592293,2.4,2,2023-02-16T03:24:24.390992918Z,30.0,2.14379162065317,-87.4726660354117,-180.2789002027955,0,0,0,empty,1.378282951795995,-417.5852321672814,82.7977313731107,566,1703,792,977,1137,185,2,22666.66666666667,-417.5852321672814,82.7977313731107,566,1703,792,977,2,22666.66666666667,1137,185,409,60.99467660928392,3.999870620707945,392.531430335204,1.0165288459031678,0.1139751927523693,11.488502478341237,0.0015447267571973183,3.02702151115969,26.601307668069797,4.450379099820762,1.0528273971607283,0.13049736486033583,0.0030557897478893535,0.9784025263120519,13.591195456804984,6.227434820681907,1.0299690435066693,0.37877286132287286,0.002573278068422519,0.11399978881199027,12.41979652769349,7.799158298549918,1.0315866206220687,0.3836983525647853,0.002485864023104162,0.1418195489473671,4.453404424525514,1.9070235247520493
5,47,2023021500410,2023-02-16T03:25:07.292490129Z,HD185975,empty,2.14381575118268,0,0,0,-180.0952735544385,179.90702640848,1.374157385065018,1,HD185975,-6.4999999999999e-05,holo4_003,0.4807989722894931,187.3272159655913,0.0,179.90702640848,149.7906145380653,875.9862229435172,597.2571590735706,0.2178418633657331,3.583542009288581,138.9011717518003,3.14634353588237,1.0,2.14381575118268,9.872833941846617,2.4,2,2023-02-16T03:25:07.292490129Z,30.0,2.14381575118268,-87.4726635052041,-180.0952735544385,0,0,0,empty,1.374157385065018,-418.6585290551781,82.98622294351716,567,1703,793,978,1136,185,2,22666.66666666667,-418.6585290551781,82.98622294351716,567,1703,793,978,2,22666.66666666667,1136,185,410,202.50453477536675,3.6540703708644924,331.24416447916826,0.9993810638221916,0.20193660198304186,20.914272265138212,0.0027542188563838372,2.689365290031403,87.12793730388455,3.926426475690254,1.0145797113456498,0.21493085969971598,0.005309200005117718,1.3622852209207885,61.46539290951972,2.0554946156305824,0.990249588591644,0.3853436361271527,0.004102856727025352,0.47739531412754155,47.77014854942212,4.10212940717621,0.9986383662373203,0.5504672786459701,0.004248371363818395,0.23116155827107035,3.5937349067395767,0.8274920255729552
6,66,2023021500470,2023-02-16T03:59:57.762990811Z,HD185975,empty,2.14327354174886,0,0,0,-171.3797732943315,-171.5876823581604,-7.429063197312018,1,HD185975,-6.4999999999999e-05,holo4_003,0.5335358891953096,187.3627315325868,0.0,-171.5876823581604,150.6689013038737,873.3516510408007,597.2571590735706,0.01281570336277243,0.8241381150130023,257.1967045402546,6.787517299939076,1.0,2.14327354174886,5.016229354826406,2.4,2,2023-02-16T03:59:57.762990811Z,30.0,2.14327354174886,-87.4668156429805,-171.3797732943315,0,0,0,empty,-7.429063197312018,-418.4353329271582,82.35165104080069,569,1705,791,976,1136,185,2,22666.66666666667,-418.4353329271582,82.35165104080069,569,1705,791,976,2,22666.66666666667,1136,185,470,66.18142345412991,5.61262874653264,359.9700741515046,1.0102450707946895,0.14862626461019815,11.87833195449185,0.0015724856812775912,1.544483511820176,28.48756195073355,5.694284850012048,1.0179713425100354,0.16362713795488135,0.0030267764132768864,0.7244799636433695,26.176412982072495,6.353925590451126,1.0168593110982147,0.4563497120613655,0.0031620907547033395,0.057760602839267254,19.58741666015943,7.4367896661692985,1.0318104810952087,0.41096626796413793,0.0027371916170023944,0.020945461001394584,5.799147162438269,0.8711253208141426
7,67,2023021500471,2023-02-16T04:00:40.665508421Z,HD185975,empty,2.14321062747243,0,0,0,-171.1994909746605,-171.4117209228392,-7.429901906327984,1,HD185975,-6.4999999999999e-05,holo4_003,0.5271898259005028,187.285191023987,0.0,-171.4117209228392,149.0529728495539,872.2785079076934,597.2571590735706,0.01121117959917244,1.375822792844813,195.1860470022777,5.737467263022905,1.0,2.14321062747243,6.824349644992846,2.4,2,2023-02-16T04:00:40.665508421Z,30.0,2.14321062747243,-87.4668118663405,-171.1994909746605,0,0,0,empty,-7.429901906327984,-417.9876009265481,82.2785079076934,567,1704,790,975,1137,185,2,22666.66666666667,-417.9876009265481,82.2785079076934,567,1704,790,975,2,22666.66666666667,1137,185,471,85.14590987162815,5.938121875443746,333.5376317687136,1.0066060753345911,0.16664051431474883,13.351583223360254,0.0017780498183237708,0.48087692145870203,37.26511276794458,5.689343083896915,0.997396289758084,0.18889413650846273,0.0034462030888318036,0.06201832570291639,32.28667058173582,5.484044788536566,1.0033760792688289,0.4575827477429784,0.0033656607848398324,0.016604073275412676,25.478782082630225,7.161205404732075,1.0263960795975888,0.47287004668089266,0.0031345915390896192,0.06474809578472317,5.88802814059339,0.6756789231366617
