idx,num,object,date_obs,airmass,temperature,pressure,humidity,reftime,eqw_h2o,eqw_h2o_2,eqw_h2o_3,eqw_o2,eqw_o2b,eqw_halpha,eqw_hbeta,eqw_hgamma,eqw_h2o_err,eqw_h2o_2_err,eqw_h2o_3_err,eqw_o2_err,eqw_o2b_err,eqw_halpha_err,eqw_hbeta_err,eqw_hgamma_err
0,00330,ETA1 DOR,2022-03-17T01:59:23.629,1.38578152736243,10.6,743.55,44.0,0.0,389.9616332197286,53.47945049182905,103.66989110722068,-38.444504468565896,-274.4119779417778,20.008592062271777,-8.817166410911224,44.122841446394844,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
1,00331,ETA1 DOR,2022-03-17T01:59:56.544,1.386860919079735,10.6,743.55,44.0,0.0091430555555565,104.69141405421477,15.376629472121282,21.769382410280777,30.386135403416617,7.360638505387226,13.53844035064414,15.599162915952018,16.509247075063453,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
2,00337,ETA1 DOR,2022-03-17T02:02:50.136,1.39265123898976,10.6,743.55,43.0,0.05736305555555532,-252.88248288604007,27.828112425520906,6.00225670628255,-5.114281905284802,7.226987917223166,2.509400450326177,-5.814264100231835,-0.39874257086375126,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
3,00344,ETA1 DOR,2022-03-17T02:06:16.878,1.399702547342285,10.5,743.55,43.0,0.11479138888888851,11.817500174929219,-45.88659060316987,-23.18949930290399,-12.913620845297354,-4.930239992364942,-10.020436250762401,-4.776191472646495,-16.103702095964856,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
4,00345,ETA1 DOR,2022-03-17T02:06:49.784,1.40084340420123,10.5,743.55,43.0,0.123931944444446,111.27626252687789,13.81842466614013,21.950320638579328,30.402225942020745,7.552242588517647,12.303065597877383,15.475946755096407,16.650040404274694,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
5,00351,HD111980,2022-03-17T02:10:46.532,1.64619483587458,10.5,743.6,43.0,0.18969527777777717,103.5741409581306,17.46994703207559,18.0825184629538,32.30395920613075,7.020259056504558,2.708693678418062,0.35559881208762834,7.906991703725904,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
6,00358,HD111980,2022-03-17T02:14:16.103,1.61846887481788,10.5,743.55,43.0,0.24790944444444385,-22951.77248339225,61797.33063037347,1629.835880256391,398321.81787312694,206.50522923648208,265.30486977508076,3.3931048093017466,91.56013679866463,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
7,00366,HD111980,2022-03-17T02:18:18.332,1.58792523676416,10.5,743.6,42.0,0.31519527777777867,889.7214327460597,-547.8410044053953,-191.68021253078518,836.7924226818404,-627.3626840052169,532.3114958265988,-455.4550563343473,122.67084610656765,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
8,00372,ETA1 DOR,2022-03-17T02:22:24.873,1.43524917784451,10.5,743.55,42.0,0.38367888888888846,14.597519076682282,28.55729450077722,7.139013114580345,-4.752039673366584,7.641834894403563,2.946476550625577,-4.629545776496533,-0.48408047522143677,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
9,00373,ETA1 DOR,2022-03-17T02:22:57.958,1.436533837695115,10.4,743.5,42.0,0.39286916666666816,140.4402424008576,-12.956978017282427,6.731210039952673,-14.03675298474336,-8.176046031296613,-5.067894215643329,-9.185386815438227,-8.687180405059863,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
10,00379,ETA1 DOR,2022-03-17T02:25:53.644,1.443481311755965,10.5,743.45,42.0,0.4416708333333341,6.9686707684025215,-46.342515340197444,-21.353813428712993,-12.811644112096678,-5.488786738035856,-11.28169028361682,-4.415792717169654,-15.104249625389661,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
11,00380,ETA1 DOR,2022-03-17T02:26:26.585,1.44479852089136,10.5,743.45,42.0,0.4508211111111109,7.5134198834567485,-33.50172700118479,-23.65808626764038,-11.728462603889161,-3.8900871959903496,-8.972666711687644,-3.0365710080869723,-20.157507303601154,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
12,00386,ETA1 DOR,2022-03-17T02:29:22.897,1.45193736836627,10.5,743.5,42.0,0.49979666666666756,109.78216180580763,15.70453866395611,22.162442767513532,30.813882905279453,7.321445986986381,13.74189653260084,15.532423269361765,16.991990063121204,0.6823964309420196,0.17411049688658825,0.23721038184190774,0.09747883487337261,0.07568807838557569,0.08544727174590978,0.04832356751478039,0.06269282313409334
