,id,day_obs,seq_num,exposure,mjd,time,med,sig,N,band,physical_filter
0,0,20230119,392,2023011900392,59964.20488513889,2023-01-20 04:55:02.076,28.30420845110118,8.60639054354903,16288000.0,white,empty~holo4_003
1,1,20230119,354,2023011900354,59964.18664199074,2023-01-20 04:28:45.868,25.813118217615013,7.280437511826558,16288000.0,white,empty~holo4_003
2,2,20230119,198,2023011900198,59964.06166607639,2023-01-20 01:28:47.949,29.181160284051238,8.171530408756851,16288000.0,white,empty~holo4_003
3,3,20230119,190,2023011900190,59964.05735991898,2023-01-20 01:22:35.897,32.57981595870392,8.433680159873113,16288000.0,white,empty~holo4_003
4,4,20230119,305,2023011900305,59964.16218057871,2023-01-20 03:53:32.402,26.977219294052777,8.246312037869364,16288000.0,white,empty~holo4_003
5,5,20230119,362,2023011900362,59964.18988034722,2023-01-20 04:33:25.662,26.924334334664195,7.6776228130844615,16288000.0,white,empty~holo4_003
6,6,20230119,335,2023011900335,59964.17706822917,2023-01-20 04:14:58.695,33.28207674019582,10.722654175404854,16288000.0,white,empty~holo4_003
7,7,20230119,353,2023011900353,59964.18614409722,2023-01-20 04:28:02.850,26.26995013831165,7.356868957145321,16288000.0,white,empty~holo4_003
8,8,20230119,383,2023011900383,59964.20095912037,2023-01-20 04:49:22.868,33.016006984191065,10.715849080620748,16288000.0,white,empty~holo4_003
9,9,20230119,254,2023011900254,59964.12224309028,2023-01-20 02:56:01.803,46.80348083795828,10.95533966287759,16288000.0,white,empty~holo4_003
10,10,20230119,374,2023011900374,59964.197012557874,2023-01-20 04:43:41.885,45.07454532751927,12.197455293839514,16288000.0,white,empty~holo4_003
11,11,20230119,375,2023011900375,59964.1975080787,2023-01-20 04:44:24.698,44.99417332973341,12.22710798329403,16288000.0,white,empty~holo4_003
12,12,20230119,181,2023011900181,59964.05362011574,2023-01-20 01:17:12.778,32.730422484779524,8.697998084634738,16288000.0,white,empty~holo4_003
13,13,20230119,314,2023011900314,59964.16595953704,2023-01-20 03:58:58.904,26.87540163177125,8.19764166320289,16288000.0,white,empty~holo4_003
14,14,20230119,270,2023011900270,59964.13719243056,2023-01-20 03:17:33.426,29.585894924231955,7.259587744957003,16288000.0,white,empty~holo4_003
15,15,20230119,363,2023011900363,59964.190376018516,2023-01-20 04:34:08.488,27.11122296320167,7.742276848085903,16288000.0,white,empty~holo4_003
16,16,20230119,218,2023011900218,59964.07381173611,2023-01-20 01:46:17.334,51.76232028256164,12.78972931993036,16288000.0,white,empty~holo4_003
17,17,20230119,402,2023011900402,59964.20979927084,2023-01-20 05:02:06.657,47.75370186816075,14.12236873628707,16288000.0,white,empty~holo4_003
18,18,20230119,180,2023011900180,59964.05312431713,2023-01-20 01:16:29.941,32.65280570184247,8.695129510961442,16288000.0,white,empty~holo4_003
19,19,20230119,345,2023011900345,59964.181463726854,2023-01-20 04:21:18.466,28.088543045161824,8.51378556569914,16288000.0,white,empty~holo4_003
20,20,20230119,279,2023011900279,59964.141782453706,2023-01-20 03:24:10.004,24.61557433490649,6.881658890127075,16288000.0,white,empty~holo4_003
21,21,20230119,217,2023011900217,59964.073316284725,2023-01-20 01:45:34.527,51.96617477211633,13.080362342057278,16288000.0,white,empty~holo4_003
22,22,20230119,226,2023011900226,59964.077358842595,2023-01-20 01:51:23.804,36.854383714906184,11.928505069703327,16288000.0,white,empty~holo4_003
23,23,20230119,189,2023011900189,59964.05686314815,2023-01-20 01:21:52.976,32.340468370067775,8.643503373072313,16288000.0,white,empty~holo4_003
24,24,20230119,401,2023011900401,59964.20930388889,2023-01-20 05:01:23.856,46.95363027841413,14.14219865524007,16288000.0,white,empty~holo4_003
25,25,20230119,296,2023011900296,59964.156661354165,2023-01-20 03:45:35.541,34.12913990993736,10.906050701194811,16288000.0,white,empty~holo4_003
26,26,20230119,269,2023011900269,59964.13669638889,2023-01-20 03:16:50.568,29.183485904487636,7.42142110090817,16288000.0,white,empty~holo4_003
27,27,20230119,278,2023011900278,59964.14128505787,2023-01-20 03:23:27.029,24.47128156714607,6.904661199757583,16288000.0,white,empty~holo4_003
28,28,20230119,288,2023011900288,59964.153142476855,2023-01-20 03:40:31.510,47.66233267286898,11.643713646008305,16288000.0,white,empty~holo4_003
29,29,20230119,315,2023011900315,59964.16645715278,2023-01-20 03:59:41.898,26.842667924232966,8.205742237746295,16288000.0,white,empty~holo4_003
30,30,20230119,384,2023011900384,59964.20145436343,2023-01-20 04:50:05.657,33.50906337848209,10.871036853006421,16288000.0,white,empty~holo4_003
31,31,20230119,227,2023011900227,59964.0778566088,2023-01-20 01:52:06.811,36.57384182407294,11.8331480637815,16288000.0,white,empty~holo4_003
32,32,20230119,344,2023011900344,59964.180967025466,2023-01-20 04:20:35.551,27.808829534211192,8.430371672247876,16288000.0,white,empty~holo4_003
33,33,20230119,255,2023011900255,59964.122740810184,2023-01-20 02:56:44.806,46.75309062479943,10.82797688267067,16288000.0,white,empty~holo4_003
34,34,20230119,336,2023011900336,59964.17756379629,2023-01-20 04:15:41.512,33.12239377113502,10.674046318791337,16288000.0,white,empty~holo4_003
35,35,20230119,162,2023011900162,59964.04233273148,2023-01-20 01:00:57.548,98.20127171247368,21.5941373109868,16288000.0,white,empty~holo4_003
36,36,20230119,326,2023011900326,59964.173027083336,2023-01-20 04:09:09.540,49.91180705478119,12.708086337561454,16288000.0,white,empty~holo4_003
37,37,20230119,297,2023011900297,59964.157156875,2023-01-20 03:46:18.354,34.101849612550346,10.906349399010091,16288000.0,white,empty~holo4_003
38,38,20230119,327,2023011900327,59964.17352384259,2023-01-20 04:09:52.460,49.93520165175001,12.726671464015677,16288000.0,white,empty~holo4_003
39,39,20230119,199,2023011900199,59964.062161539354,2023-01-20 01:29:30.757,29.006351731384868,8.133100013368258,16288000.0,white,empty~holo4_003
40,40,20230119,306,2023011900306,59964.16267828704,2023-01-20 03:54:15.404,26.787437080691916,8.200252686625408,16288000.0,white,empty~holo4_003
41,41,20230119,393,2023011900393,59964.20538289352,2023-01-20 04:55:45.082,28.20480808186902,8.59653549470383,16288000.0,white,empty~holo4_003
42,42,20230119,163,2023011900163,59964.04283028935,2023-01-20 01:01:40.537,93.59249891572168,20.710779336439717,16288000.0,white,empty~holo4_003
43,43,20230119,287,2023011900287,59964.15264699074,2023-01-20 03:39:48.700,47.976563885790526,11.912510544338126,16288000.0,white,empty~holo4_003
