,id,day_obs,seq_num,exposure,mjd,time,med,sig,N,band,physical_filter
0,0,20230117,429,2023011700429,59962.2357328125,2023-01-18 05:39:27.315,41.31998574351325,9.737139208650605,16288000.0,white,empty~holo4_003
1,1,20230117,439,2023011700439,59962.240211331016,2023-01-18 05:45:54.259,39.194312396438896,8.613068261758528,16288000.0,white,empty~holo4_003
2,2,20230117,506,2023011700506,59962.26959023148,2023-01-18 06:28:12.596,43.152698289864745,10.81251134069432,16288000.0,white,empty~holo4_003
3,3,20230117,411,2023011700411,59962.22800525463,2023-01-18 05:28:19.654,49.61781291547088,11.164069531074679,16288000.0,white,empty~holo4_003
4,4,20230117,412,2023011700412,59962.22850293981,2023-01-18 05:29:02.654,49.1030020188723,11.067780400595094,16288000.0,white,empty~holo4_003
5,5,20230117,669,2023011700669,59962.35854648148,2023-01-18 08:36:18.416,34.35489001910469,7.863402173908892,16288000.0,white,empty~holo4_003
6,6,20230117,364,2023011700364,59962.195491238424,2023-01-18 04:41:30.443,32.153026829180156,10.860043926587391,16288000.0,white,empty~holo4_003
7,7,20230117,646,2023011700646,59962.346418078705,2023-01-18 08:18:50.522,61.03441176128324,14.466661347224608,16288000.0,white,empty~holo4_003
8,8,20230117,496,2023011700496,59962.26478233796,2023-01-18 06:21:17.194,38.922598163064364,12.67096278417828,16288000.0,white,empty~holo4_003
9,9,20230117,317,2023011700317,59962.170911724534,2023-01-18 04:06:06.773,27.966442654942522,9.731413257702387,16288000.0,white,empty~holo4_003
10,10,20230117,275,2023011700275,59962.14208243055,2023-01-18 03:24:35.922,28.0050895134375,9.762402609781002,16288000.0,white,empty~holo4_003
11,11,20230117,276,2023011700276,59962.14257927083,2023-01-18 03:25:18.849,27.825554530947134,9.721752671106731,16288000.0,white,empty~holo4_003
12,12,20230117,544,2023011700544,59962.29224517361,2023-01-18 07:00:49.983,55.49130937654897,13.242668794087198,16288000.0,white,empty~holo4_003
13,13,20230117,570,2023011700570,59962.30403005787,2023-01-18 07:17:48.197,41.76817210173913,9.225022447316231,16288000.0,white,empty~holo4_003
14,14,20230117,363,2023011700363,59962.194994375,2023-01-18 04:40:47.514,31.902181713171586,10.802105814510615,16288000.0,white,empty~holo4_003
15,15,20230117,525,2023011700525,59962.28381269676,2023-01-18 06:48:41.417,40.86062725554984,13.17919985899883,16288000.0,white,empty~holo4_003
16,16,20230117,617,2023011700617,59962.32873616898,2023-01-18 07:53:22.805,49.14244052098535,16.42716168844192,16288000.0,white,empty~holo4_003
17,17,20230117,430,2023011700430,59962.23622842593,2023-01-18 05:40:10.136,41.14125203920621,9.817590046178847,16288000.0,white,empty~holo4_003
18,18,20230117,598,2023011700598,59962.320109733795,2023-01-18 07:40:57.481,59.651405014626675,14.317572900951722,16288000.0,white,empty~holo4_003
19,19,20230117,678,2023011700678,59962.36266465278,2023-01-18 08:42:14.226,36.81874956591635,7.744578296198535,16288000.0,white,empty~holo4_003
20,20,20230117,390,2023011700390,59962.210855590274,2023-01-18 05:03:37.923,40.63768159757384,11.024714981067822,16288000.0,white,empty~holo4_003
21,21,20230117,679,2023011700679,59962.36316064815,2023-01-18 08:42:57.080,37.167950865703304,7.8789417889758235,16288000.0,white,empty~holo4_003
22,22,20230117,687,2023011700687,59962.367037094904,2023-01-18 08:48:32.005,83.09495039055791,17.822744468800853,16288000.0,white,empty~holo4_003
23,23,20230117,670,2023011700670,59962.35904398148,2023-01-18 08:37:01.400,34.36345398233132,7.813627323083956,16288000.0,white,empty~holo4_003
24,24,20230117,243,2023011700243,59962.114123252315,2023-01-18 02:44:20.249,23.545649438257932,5.613733246017633,16288000.0,white,empty~holo4_003
