,id,day_obs,seq_num,exposure,mjd,time,med,sig,N,band,physical_filter
0,0,20230201,651,2023020100651,59977.22758996528,2023-02-02 05:27:43.773,60.066360069670004,11.932590244715216,16288000.0,white,empty~holo4_003
1,1,20230201,606,2023020100606,59977.20678126157,2023-02-02 04:57:45.901,72.33196768363563,14.076069716366497,16288000.0,white,empty~holo4_003
2,2,20230201,596,2023020100596,59977.20030280093,2023-02-02 04:48:26.162,78.96819707988386,14.210729938988527,16288000.0,white,empty~holo4_003
3,3,20230201,605,2023020100605,59977.206284444444,2023-02-02 04:57:02.976,72.87332828416855,14.113992853219047,16288000.0,white,empty~holo4_003
4,4,20230201,480,2023020100480,59977.14498695602,2023-02-02 03:28:46.873,85.54471708621757,16.28190175765326,16288000.0,white,empty~holo4_003
5,5,20230201,415,2023020100415,59977.11139996528,2023-02-02 02:40:24.957,52.86446254031282,12.48116039502973,16288000.0,white,empty~holo4_003
6,6,20230201,517,2023020100517,59977.16131935185,2023-02-02 03:52:17.992,44.07462423397532,11.07769170091184,16288000.0,white,empty~holo4_003
7,7,20230201,472,2023020100472,59977.1386421412,2023-02-02 03:19:38.681,46.16245182162076,11.794052171865594,16288000.0,white,empty~holo4_003
8,8,20230201,471,2023020100471,59977.13814657407,2023-02-02 03:18:55.864,46.29436585411358,11.824970431995078,16288000.0,white,empty~holo4_003
9,9,20230201,454,2023020100454,59977.13060152778,2023-02-02 03:08:03.972,44.78095779616448,11.366277965467036,16288000.0,white,empty~holo4_003
10,10,20230201,633,2023020100633,59977.21963158565,2023-02-02 05:16:16.169,64.8009468837472,12.76505148779708,16288000.0,white,empty~holo4_003
11,11,20230201,641,2023020100641,59977.2231246875,2023-02-02 05:21:17.973,65.24788564298885,11.829321900132761,16288000.0,white,empty~holo4_003
12,12,20230201,405,2023020100405,59977.1068653125,2023-02-02 02:33:53.163,52.42219736474602,9.797951710132441,16288000.0,white,empty~holo4_003
13,13,20230201,414,2023020100414,59977.110904016205,2023-02-02 02:39:42.107,52.46279982411694,12.367850950156734,16288000.0,white,empty~holo4_003
14,14,20230201,560,2023020100560,59977.183900613425,2023-02-02 04:24:49.013,84.28443430949908,14.558522520814071,16288000.0,white,empty~holo4_003
15,15,20230201,396,2023020100396,59977.10112935185,2023-02-02 02:25:37.576,60.7241498747627,15.687686609254628,16288000.0,white,empty~holo4_003
