,id,day_obs,seq_num,exposure,mjd,time,med,sig,N,band,physical_filter
0,0,20230131,588,2023013100588,59976.23571136574,2023-02-01 05:39:25.462,41.54638677772722,7.745421548685306,16288000.0,white,empty~holo4_003
1,1,20230131,299,2023013100299,59976.08359353009,2023-02-01 02:00:22.481,400.1505139417606,75.76761874963789,16288000.0,white,empty~holo4_003
2,2,20230131,589,2023013100589,59976.23620900463,2023-02-01 05:40:08.458,41.75855205829099,7.810124026766049,16288000.0,white,empty~holo4_003
3,3,20230131,248,2023013100248,59976.05665853009,2023-02-01 01:21:35.297,982.1576466347847,130.8058658744494,16288000.0,white,empty~holo4_003
4,4,20230131,259,2023013100259,59976.063169664354,2023-02-01 01:30:57.859,364.4324967441937,70.05815843685318,16288000.0,white,empty~holo4_003
5,5,20230131,260,2023013100260,59976.06366731482,2023-02-01 01:31:40.856,365.03433073825425,69.96405491155866,16288000.0,white,empty~holo4_003
6,6,20230131,552,2023013100552,59976.2191009838,2023-02-01 05:15:30.325,51.363575148648074,9.116143208941375,16288000.0,white,empty~holo4_003
7,7,20230131,311,2023013100311,59976.09074864583,2023-02-01 02:10:40.683,377.14459918069196,72.97889262725096,16288000.0,white,empty~holo4_003
8,8,20230131,657,2023013100657,59976.269223159725,2023-02-01 06:27:40.881,26.253008884843343,5.621830248405371,16288000.0,white,empty~holo4_003
9,9,20230131,579,2023013100579,59976.23171961805,2023-02-01 05:33:40.575,41.02933380638847,8.80443132939982,16288000.0,white,empty~holo4_003
10,10,20230131,615,2023013100615,59976.248440787036,2023-02-01 05:57:45.284,34.366189809346515,7.317378329090169,16288000.0,white,empty~holo4_003
11,11,20230131,656,2023013100656,59976.26872649306,2023-02-01 06:26:57.969,25.683472221316638,5.430171147994864,16288000.0,white,empty~holo4_003
12,12,20230131,386,2023013100386,59976.12630498843,2023-02-01 03:01:52.751,398.9132356634566,74.3364809156662,16288000.0,white,empty~holo4_003
13,13,20230131,696,2023013100696,59976.29115092593,2023-02-01 06:59:15.440,27.249080937866545,6.056579445859001,16288000.0,white,empty~holo4_003
14,14,20230131,434,2023013100434,59976.149802789354,2023-02-01 03:35:42.961,53.79511181430523,12.078019209613815,16288000.0,white,empty~holo4_003
15,15,20230131,543,2023013100543,59976.215140231485,2023-02-01 05:09:48.116,48.62071102995867,9.394444138846488,16288000.0,white,empty~holo4_003
16,16,20230131,290,2023013100290,59976.07980679398,2023-02-01 01:54:55.307,396.4289808763571,75.89260793597062,16288000.0,white,empty~holo4_003
17,17,20230131,289,2023013100289,59976.07931085648,2023-02-01 01:54:12.458,396.06669341572984,75.93316940487888,16288000.0,white,empty~holo4_003
18,18,20230131,328,2023013100328,59976.09839021991,2023-02-01 02:21:40.915,399.3196935713997,73.56909431165118,16288000.0,white,empty~holo4_003
19,19,20230131,720,2023013100720,59976.3042250463,2023-02-01 07:18:05.044,39.08841182023157,10.101151759464228,16288000.0,white,empty~holo4_003
20,20,20230131,455,2023013100455,59976.16069979167,2023-02-01 03:51:24.462,69.06994582127112,13.202860686868119,16288000.0,white,empty~holo4_003
21,21,20230131,492,2023013100492,59976.17725298611,2023-02-01 04:15:14.658,57.50202250008594,12.93415071380474,16288000.0,white,empty~holo4_003
22,22,20230131,734,2023013100734,59976.31263847222,2023-02-01 07:30:11.964,27.98457341337475,6.179395089513358,16288000.0,white,empty~holo4_003
23,23,20230131,514,2023013100514,59976.188729166664,2023-02-01 04:31:46.200,65.7879312310947,10.804054207937853,16288000.0,white,empty~holo4_003
24,24,20230131,665,2023013100665,59976.2727405787,2023-02-01 06:32:44.786,25.86680278230545,6.1224125656860275,16288000.0,white,empty~holo4_003
25,25,20230131,562,2023013100562,59976.223904108796,2023-02-01 05:22:25.315,60.11547436820789,12.049145424808605,16288000.0,white,empty~holo4_003
26,26,20230131,310,2023013100310,59976.09025184028,2023-02-01 02:09:57.759,373.690755784156,72.25496433515428,16288000.0,white,empty~holo4_003
27,27,20230131,607,2023013100607,59976.244970706015,2023-02-01 05:52:45.469,37.94735931990894,7.419460831331748,16288000.0,white,empty~holo4_003
28,28,20230131,358,2023013100358,59976.11357349537,2023-02-01 02:43:32.750,367.2102104681264,70.93952740990913,16288000.0,white,empty~holo4_003
29,29,20230131,755,2023013100755,59976.32783238426,2023-02-01 07:52:04.718,39.729809196488524,10.384592036048181,16288000.0,white,empty~holo4_003
30,30,20230131,466,2023013100466,59976.16558122685,2023-02-01 03:58:26.218,46.316024692418104,12.55239905890952,16288000.0,white,empty~holo4_003
31,31,20230131,338,2023013100338,59976.102932222224,2023-02-01 02:28:13.344,365.431842958129,69.89540448240719,16288000.0,white,empty~holo4_003
32,32,20230131,408,2023013100408,59976.13783015047,2023-02-01 03:18:28.525,370.699158114364,71.7572590868224,16288000.0,white,empty~holo4_003
33,33,20230131,744,2023013100744,59976.31722224537,2023-02-01 07:36:48.002,27.317785083444424,6.74186673659922,16288000.0,white,empty~holo4_003
34,34,20230131,347,2023013100347,59976.10700711806,2023-02-01 02:34:05.415,388.25693911477924,70.36077474181883,16288000.0,white,empty~holo4_003
35,35,20230131,493,2023013100493,59976.177750902774,2023-02-01 04:15:57.678,57.25633581875816,12.852655953285716,16288000.0,white,empty~holo4_003
36,36,20230131,268,2023013100268,59976.06728101852,2023-02-01 01:36:53.080,434.97364940795416,80.2110539019012,16288000.0,white,empty~holo4_003
37,37,20230131,220,2023013100220,59976.040393703704,2023-02-01 00:58:10.016,406.4319113596104,78.64623072297158,16288000.0,white,empty~holo4_003
38,38,20230131,387,2023013100387,59976.12680096065,2023-02-01 03:02:35.603,399.82948732739544,74.3661697329011,16288000.0,white,empty~holo4_003
39,39,20230131,791,2023013100791,59976.374508981484,2023-02-01 08:59:17.576,53.789773477321596,12.290023499100753,16288000.0,white,empty~holo4_003
