,id,day_obs,seq_num,exposure,mjd,time,med,sig,N,band,physical_filter
0,0,20230118,337,2023011800337,59963.115216377315,2023-01-19 02:45:54.695,28.577287879356547,8.789680892349903,16288000.0,white,empty~holo4_003
1,1,20230118,740,2023011800740,59963.342770891206,2023-01-19 08:13:35.405,25.364108554248226,5.545095637522982,16288000.0,white,empty~holo4_003
2,2,20230118,249,2023011800249,59963.05953924768,2023-01-19 01:25:44.191,39.01751188559019,9.154043655006927,16288000.0,white,empty~holo4_003
3,3,20230118,722,2023011800722,59963.334722141204,2023-01-19 08:01:59.993,25.06468294101571,5.394546835401093,16288000.0,white,empty~holo4_003
4,4,20230118,608,2023011800608,59963.28205221065,2023-01-19 06:46:09.311,35.426228690410525,11.83990917353861,16288000.0,white,empty~holo4_003
5,5,20230118,396,2023011800396,59963.1503221875,2023-01-19 03:36:27.837,23.46775870671738,8.48318576118392,16288000.0,white,empty~holo4_003
6,6,20230118,482,2023011800482,59963.210081412035,2023-01-19 05:02:31.034,36.5670421124081,10.187487946136686,16288000.0,white,empty~holo4_003
7,7,20230118,708,2023011800708,59963.32579431713,2023-01-19 07:49:08.629,42.79646064767166,14.725079994915106,16288000.0,white,empty~holo4_003
8,8,20230118,445,2023011800445,59963.179374293984,2023-01-19 04:18:17.939,22.593363640788425,8.246954785124476,16288000.0,white,empty~holo4_003
9,9,20230118,609,2023011800609,59963.28254984954,2023-01-19 06:46:52.307,35.862524345713844,11.957299769618638,16288000.0,white,empty~holo4_003
10,10,20230118,346,2023011800346,59963.119517719904,2023-01-19 02:52:06.331,30.267143212362598,7.679130252260952,16288000.0,white,empty~holo4_003
11,11,20230118,263,2023011800263,59963.06775109954,2023-01-19 01:37:33.695,27.96456107163526,9.662854411734255,16288000.0,white,empty~holo4_003
12,12,20230118,355,2023011800355,59963.12383081018,2023-01-19 02:58:18.982,26.184514933771627,7.950504802319286,16288000.0,white,empty~holo4_003
13,13,20230118,680,2023011800680,59963.313051550926,2023-01-19 07:30:47.654,46.80216289903999,15.220256744370042,16288000.0,white,empty~holo4_003
14,14,20230118,600,2023011800600,59963.27880209491,2023-01-19 06:41:28.501,35.087175255199895,11.713305489047134,16288000.0,white,empty~holo4_003
15,15,20230118,730,2023011800730,59963.3382309375,2023-01-19 08:07:03.153,24.51397273130665,5.888800310351235,16288000.0,white,empty~holo4_003
16,16,20230118,690,2023011800690,59963.31729798611,2023-01-19 07:36:54.546,48.02955804980778,15.640702872289918,16288000.0,white,empty~holo4_003
17,17,20230118,554,2023011800554,59963.258498483796,2023-01-19 06:12:14.269,30.83413931621657,10.515142108161928,16288000.0,white,empty~holo4_003
18,18,20230118,501,2023011800501,59963.221090555555,2023-01-19 05:18:22.224,27.371091940149373,9.601054930060608,16288000.0,white,empty~holo4_003
19,19,20230118,636,2023011800636,59963.29379028935,2023-01-19 07:03:03.481,38.34654828809205,12.674937415739128,16288000.0,white,empty~holo4_003
