,wavelength,throu,errthrou,sedtoa,errsedtoa
0,350.0,0.01213703562839304,0.0014522892596586946,3.628413039477312e-14,4.341674069499414e-15
1,364.2857142857143,0.017742860474637842,0.0010766795238802372,1.1294930595506145e-13,6.85403602942896e-15
2,378.57142857142856,0.0363711032217233,0.0016376997881860258,2.4204918198901883e-13,1.0898869128535465e-14
3,392.8571428571429,0.06649298292720393,0.0029250662332809107,5.142146348938939e-13,2.2620610461011988e-14
4,407.14285714285717,0.09629076833405531,0.0029633913926901925,9.540986109386846e-13,2.936281079017423e-14
5,421.42857142857144,0.11739310848182696,0.003579150944760103,1.2578074358157587e-12,3.8348781546432685e-14
6,435.7142857142857,0.1343305099569637,0.003737420710040217,1.5123210723489744e-12,4.207666670690159e-14
7,450.0,0.1511239755275142,0.0031172544380556055,1.9038666542017977e-12,3.927131189184546e-14
8,464.2857142857143,0.16015712192811712,0.00356965843598726,2.102708162217159e-12,4.686616392274222e-14
9,478.57142857142856,0.16946809885688885,0.003988212038088411,2.1880854430213264e-12,5.149375465404259e-14
10,492.8571428571429,0.17516087902578273,0.0036754621587802173,2.2265449506578594e-12,4.672037361585488e-14
11,507.1428571428571,0.17025620564704944,0.003829471849282655,2.0979998007241688e-12,4.718906512770074e-14
12,521.4285714285714,0.17274137798039157,0.004223490410105563,2.1034945203952416e-12,5.1429999218874856e-14
13,535.7142857142858,0.1738382416088102,0.00458363608075464,2.1304250466305692e-12,5.617344619174038e-14
14,550.0,0.17728820382434252,0.002610590432909586,2.1536686309804387e-12,3.1713033368343284e-14
15,564.2857142857143,0.16792315053704968,0.0031567744917066847,2.0184138496726343e-12,3.794400792253031e-14
16,578.5714285714286,0.16725659390695244,0.00432567478569664,1.9858222968101147e-12,5.135834251751217e-14
17,592.8571428571429,0.16500444062734312,0.0008538763617460685,1.923995668860433e-12,9.956425508887185e-15
18,607.1428571428571,0.160326513040262,0.0033016676204526488,1.8143699865881144e-12,3.7364042432175474e-14
19,621.4285714285714,0.16462039210636176,0.0033077573537117514,1.8010766799534137e-12,3.618946933904443e-14
20,635.7142857142858,0.16130768497042386,0.0009024301144865224,1.7174861653209995e-12,9.608415352832245e-15
21,650.0,0.15735921512212853,0.0035179014157959215,1.6220259462791843e-12,3.626179355587573e-14
22,664.2857142857142,0.15489150853971,0.0030641843411546234,1.5597696754852656e-12,3.0856577358496474e-14
23,678.5714285714287,0.14734144957824152,0.002352983758267177,1.4545890894189845e-12,2.3229203405780426e-14
24,692.8571428571429,0.1474086706605052,0.0023081218385627793,1.4075066143052504e-12,2.2038708712607107e-14
25,707.1428571428571,0.14441108028523458,0.0016479281659426193,1.330310556085968e-12,1.5180665018880854e-14
26,721.4285714285714,0.1400662841232192,0.0008923426284737234,1.2483380236633207e-12,7.952986260986694e-15
27,735.7142857142858,0.13689036748127414,0.001026969225822588,1.1802350468789389e-12,8.854275831699798e-15
28,750.0,0.1261540069763511,0.0007956334740676936,1.0565088058593137e-12,6.663234817000577e-15
29,764.2857142857143,0.12027336809637564,0.0017399280340420942,9.789654571754863e-13,1.4162149694964703e-14
30,778.5714285714287,0.12391798045165835,0.002321696993185359,9.809987191015051e-13,1.8379752221229594e-14
31,792.8571428571429,0.12087813205953186,0.0016481245944258314,9.29164492412774e-13,1.2668783229198895e-14
32,807.1428571428571,0.1160867970073958,0.002359121361310913,8.61311534038155e-13,1.750361359839595e-14
33,821.4285714285714,0.11498593160487791,0.002296777554109862,8.245460810252977e-13,1.646983161153792e-14
34,835.7142857142858,0.10785330884240808,0.0018780297795794243,7.475489559133012e-13,1.3016932127228928e-14
35,850.0,0.10136955857686678,0.002655798859316427,6.75388247635598e-13,1.7694615255784252e-14
36,864.2857142857143,0.1019493909095726,0.0022740093871210366,6.524328836510595e-13,1.4552696084324027e-14
37,878.5714285714286,0.09565250769558402,0.00340918491101101,6.018780408904532e-13,2.1451748466468398e-14
38,892.8571428571429,0.0934372634173378,0.0031561675749170307,5.773032878735698e-13,1.950042040445139e-14
39,907.1428571428572,0.0885941751969201,0.0026731314562395444,5.314240310398969e-13,1.6034533769481414e-14
40,921.4285714285714,0.07776261970431382,0.0044535605413587856,4.509466374865318e-13,2.5826266638198566e-14
41,935.7142857142858,0.06865304994020466,0.004377664040910434,3.850626274992577e-13,2.4553531407128692e-14
42,950.0,0.06294685083260601,0.004382763678344576,3.4365899649539907e-13,2.392774455995807e-14
43,964.2857142857143,0.05645230999423167,0.003939633286967634,2.997293542895659e-13,2.091719083525805e-14
44,978.5714285714286,0.044662206950351814,0.004066698930245317,2.31533840275462e-13,2.1082218834606746e-14
45,992.8571428571429,0.03523820844688114,0.0034652433709921925,1.7792703058859752e-13,1.749692990768471e-14
46,1007.1428571428572,0.02545621574768434,0.0031578474206672346,1.246216110025826e-13,1.5459329727738475e-14
47,1021.4285714285714,0.016696492136122593,0.002896579494514344,7.934522633643782e-14,1.3765152208019328e-14
48,1035.7142857142858,0.010696048375367598,0.003229964168741739,4.726348355017151e-14,1.427250074041686e-14
49,1050.0,0.01628696733763899,0.008802687162895482,3.5413956556404206e-14,1.914033314513837e-14
