,dateobs,dZp_u,dZp_g,dZp_r,dZp_i,dZp_z,dZp_y
0,20230927.0,,,4.714482129874319,14.34510159675758,17.294658467593173,19.402946857934523
1,20230928.0,,8.0658711763224,8.062830249213125,12.366831616877121,13.301025939387026,18.100812597896635
2,20231010.0,,3.7627611000338845,4.335853034852582,6.232461622846007,7.416410914690358,15.444086349250904
3,20231107.0,,10.424177679356466,8.338610006645956,5.966334796100953,10.42568503670033,21.68173951406278
4,20231113.0,31.528765696688275,6.632212818219706,6.751070507506489,9.427933346062535,7.4812429958735835,11.403516514362313
5,20231114.0,35.95372336369677,5.139551950880807,5.152534259941717,7.117849977915065,5.840613825897644,23.410744412057838
6,20231115.0,,3.7098972817990274,4.5991537920766445,8.689033509127462,11.00286396484498,24.203947051512177
7,20231116.0,,4.036121540500854,5.1443466412204275,5.809473807151399,6.468794851237447,17.62081999583589
8,20231120.0,,3.4625116415758614,5.819858086397987,7.033721383322628,13.387564888023519,16.035349304390582
9,20231127.0,,4.628541966236141,5.710457991587251,4.518986296002439,7.054196017835741,15.810031810134905
10,20231128.0,,6.667671374878768,5.528467159474175,5.709705638555767,5.082737919988457,17.85198653720024
11,20231129.0,,6.167336138359639,6.350680540493286,7.026295499605769,10.09754078118189,23.387304545883037
12,20231130.0,,1.611764627158787,2.998880599044891,7.427514787127904,9.617832235772335,17.544446345921777
13,20231204.0,,4.073384097333036,3.494010807435222,4.310907822026788,7.362307364834747,17.810594233151445
14,20231205.0,7.109577204841936,3.9489812536270668,4.372521392906169,5.0541968342409325,6.199508833152012,10.906551543392421
15,20231206.0,,8.27303445325056,6.574762303070069,4.6618363107175735,5.2815758834977915,17.80106965309854
16,20231207.0,,4.286792080079191,3.738897919282731,2.5959084389997957,5.743335408180517,17.19883535020449
